sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  149.185439] Insert module 
[  149.206150] L(18, 12): 371 	
[  149.226785] L(16, 12): 370 	
[  149.247395] L(15, 12): 369 	
[  149.267994] L( 8, 12): 369 	
[  149.288599] L(13, 12): 369 	
[  149.309166] L(19, 12): 369 	
[  149.329773] L(14, 12): 369 	
[  149.350373] L(17, 12): 369 	
[  149.370632] L( 6, 12): 363 	
[  149.391204] L(11, 12): 369 	
[  149.411811] L(20, 12): 369 	
[  149.432414] L( 9, 12): 369 	
[  149.453022] L(10, 12): 369 	
[  149.473618] L(21, 12): 369 	
[  149.494194] L( 7, 12): 369 	
[  149.514801] L(12, 12): 369 	
[  149.540088] L(18,  8): 454 	
[  149.565588] L(16,  8): 458 	
[  149.591023] L(15,  8): 456 	
[  149.611615] L( 8,  8): 369 	
[  149.632223] L(13,  8): 369 	
[  149.657681] L(19,  8): 456 	
[  149.678780] L(14,  8): 378 	
[  149.704457] L(17,  8): 461 	
[  149.724634] L( 6,  8): 362 	
[  149.745249] L(11,  8): 369 	
[  149.770323] L(20,  8): 450 	
[  149.790881] L( 9,  8): 369 	
[  149.811486] L(10,  8): 369 	
[  149.836832] L(21,  8): 455 	
[  149.857395] L( 7,  8): 369 	
[  149.877989] L(12,  8): 369 	
[  149.906282] L(18, 17): 508 	
[  149.934890] L(16, 17): 513 	
[  149.963716] L(15, 17): 517 	
[  149.989397] L( 8, 17): 461 	
[  150.009951] L(13, 17): 368 	
[  150.038417] L(19, 17): 511 	
[  150.062364] L(14, 17): 430 	
[  150.091030] L(17, 17): 514 	
[  150.115901] L( 6, 17): 446 	
[  150.141611] L(11, 17): 461 	
[  150.169669] L(20, 17): 504 	
[  150.195427] L( 9, 17): 462 	
[  150.220991] L(10, 17): 459 	
[  150.249039] L(21, 17): 503 	
[  150.274534] L( 7, 17): 457 	
[  150.295124] L(12, 17): 369 	
[  150.322924] L(18, 16): 499 	
[  150.351618] L(16, 16): 515 	
[  150.379880] L(15, 16): 507 	
[  150.405662] L( 8, 16): 463 	
[  150.426219] L(13, 16): 369 	
[  150.454415] L(19, 16): 506 	
[  150.478394] L(14, 16): 430 	
[  150.506480] L(17, 16): 504 	
[  150.531852] L( 6, 16): 455 	
[  150.557621] L(11, 16): 462 	
[  150.585856] L(20, 16): 507 	
[  150.611670] L( 9, 16): 463 	
[  150.637233] L(10, 16): 459 	
[  150.665136] L(21, 16): 500 	
[  150.690844] L( 7, 16): 461 	
[  150.711433] L(12, 16): 369 	
[  150.739997] L(18, 19): 513 	
[  150.768334] L(16, 19): 508 	
[  150.797013] L(15, 19): 515 	
[  150.822488] L( 8, 19): 457 	
[  150.843054] L(13, 19): 369 	
[  150.871407] L(19, 19): 509 	
[  150.895621] L(14, 19): 434 	
[  150.923686] L(17, 19): 504 	
[  150.948975] L( 6, 19): 454 	
[  150.974352] L(11, 19): 455 	
[  151.002324] L(20, 19): 502 	
[  151.027269] L( 9, 19): 448 	
[  151.052836] L(10, 19): 459 	
[  151.080770] L(21, 19): 501 	
[  151.106617] L( 7, 19): 464 	
[  151.127180] L(12, 19): 369 	
[  151.151450] L(18, 14): 435 	
[  151.175173] L(16, 14): 426 	
[  151.199426] L(15, 14): 435 	
[  151.220519] L( 8, 14): 378 	
[  151.241081] L(13, 14): 369 	
[  151.265463] L(19, 14): 437 	
[  151.289552] L(14, 14): 432 	
[  151.313559] L(17, 14): 431 	
[  151.334171] L( 6, 14): 370 	
[  151.355145] L(11, 14): 376 	
[  151.379532] L(20, 14): 437 	
[  151.400840] L( 9, 14): 382 	
[  151.421819] L(10, 14): 376 	
[  151.445937] L(21, 14): 433 	
[  151.467247] L( 7, 14): 381 	
[  151.487844] L(12, 14): 369 	
[  151.508417] L(18, 13): 369 	
[  151.529010] L(16, 13): 369 	
[  151.549618] L(15, 13): 369 	
[  151.570219] L( 8, 13): 369 	
[  151.590782] L(13, 13): 369 	
[  151.611387] L(19, 13): 369 	
[  151.631987] L(14, 13): 369 	
[  151.652587] L(17, 13): 369 	
[  151.672859] L( 6, 13): 363 	
[  151.693461] L(11, 13): 369 	
[  151.714056] L(20, 13): 369 	
[  151.734667] L( 9, 13): 370 	
[  151.755264] L(10, 13): 369 	
[  151.775847] L(21, 13): 369 	
[  151.796457] L( 7, 13): 369 	
[  151.817057] L(12, 13): 369 	
[  151.842402] L(18,  7): 455 	
[  151.868192] L(16,  7): 463 	
[  151.893798] L(15,  7): 459 	
[  151.914401] L( 8,  7): 369 	
[  151.934998] L(13,  7): 369 	
[  151.960601] L(19,  7): 459 	
[  151.981474] L(14,  7): 374 	
[  152.006816] L(17,  7): 454 	
[  152.027205] L( 6,  7): 365 	
[  152.047819] L(11,  7): 369 	
[  152.073330] L(20,  7): 458 	
[  152.093886] L( 9,  7): 369 	
[  152.114466] L(10,  7): 369 	
[  152.140127] L(21,  7): 460 	
[  152.160678] L( 7,  7): 368 	
[  152.181270] L(12,  7): 369 	
[  152.208015] L(18,  9): 478 	
[  152.233667] L(16,  9): 460 	
[  152.258998] L(15,  9): 454 	
[  152.279583] L( 8,  9): 369 	
[  152.300187] L(13,  9): 369 	
[  152.325515] L(19,  9): 454 	
[  152.346322] L(14,  9): 373 	
[  152.371743] L(17,  9): 456 	
[  152.391918] L( 6,  9): 362 	
[  152.412508] L(11,  9): 369 	
[  152.437495] L(20,  9): 448 	
[  152.458045] L( 9,  9): 368 	
[  152.478642] L(10,  9): 369 	
[  152.503942] L(21,  9): 454 	
[  152.524497] L( 7,  9): 369 	
[  152.545108] L(12,  9): 370 	
[  152.570193] L(18,  6): 450 	
[  152.595587] L(16,  6): 456 	
[  152.620731] L(15,  6): 451 	
[  152.640923] L( 8,  6): 362 	
[  152.661202] L(13,  6): 364 	
[  152.686176] L(19,  6): 448 	
[  152.706861] L(14,  6): 370 	
[  152.732100] L(17,  6): 453 	
[  152.752352] L( 6,  6): 363 	
[  152.772610] L(11,  6): 363 	
[  152.797510] L(20,  6): 447 	
[  152.817750] L( 9,  6): 363 	
[  152.838007] L(10,  6): 363 	
[  152.863223] L(21,  6): 452 	
[  152.883472] L( 7,  6): 363 	
[  152.903739] L(12,  6): 363 	
[  152.928942] L(18, 11): 452 	
[  152.954687] L(16, 11): 462 	
[  152.980494] L(15, 11): 463 	
[  153.001089] L( 8, 11): 369 	
[  153.021806] L(13, 11): 370 	
[  153.047240] L(19, 11): 456 	
[  153.068281] L(14, 11): 377 	
[  153.093876] L(17, 11): 459 	
[  153.114121] L( 6, 11): 363 	
[  153.134717] L(11, 11): 369 	
[  153.159869] L(20, 11): 451 	
[  153.180464] L( 9, 11): 369 	
[  153.201057] L(10, 11): 369 	
[  153.226045] L(21, 11): 448 	
[  153.246646] L( 7, 11): 369 	
[  153.267243] L(12, 11): 369 	
[  153.295247] L(18, 21): 503 	
[  153.323489] L(16, 21): 507 	
[  153.351547] L(15, 21): 504 	
[  153.376695] L( 8, 21): 451 	
[  153.397290] L(13, 21): 369 	
[  153.424739] L(19, 21): 493 	
[  153.449038] L(14, 21): 436 	
[  153.477141] L(17, 21): 504 	
[  153.502175] L( 6, 21): 449 	
[  153.527176] L(11, 21): 449 	
[  153.554869] L(20, 21): 497 	
[  153.580198] L( 9, 21): 454 	
[  153.605392] L(10, 21): 452 	
[  153.633325] L(21, 21): 501 	
[  153.658214] L( 7, 21): 447 	
[  153.678807] L(12, 21): 369 	
[  153.706985] L(18, 15): 506 	
[  153.735519] L(16, 15): 512 	
[  153.764051] L(15, 15): 512 	
[  153.789605] L( 8, 15): 458 	
[  153.810167] L(13, 15): 369 	
[  153.838523] L(19, 15): 509 	
[  153.862298] L(14, 15): 426 	
[  153.890846] L(17, 15): 512 	
[  153.915976] L( 6, 15): 451 	
[  153.941239] L(11, 15): 453 	
[  153.969491] L(20, 15): 507 	
[  153.994921] L( 9, 15): 456 	
[  154.020756] L(10, 15): 464 	
[  154.048860] L(21, 15): 504 	
[  154.074019] L( 7, 15): 451 	
[  154.094609] L(12, 15): 369 	
[  154.119807] L(18, 10): 452 	
[  154.145345] L(16, 10): 458 	
[  154.170585] L(15, 10): 453 	
[  154.191144] L( 8, 10): 369 	
[  154.211739] L(13, 10): 369 	
[  154.236987] L(19, 10): 453 	
[  154.257879] L(14, 10): 375 	
[  154.283232] L(17, 10): 455 	
[  154.303490] L( 6, 10): 363 	
[  154.324049] L(11, 10): 369 	
[  154.349239] L(20, 10): 452 	
[  154.369827] L( 9, 10): 369 	
[  154.390404] L(10, 10): 369 	
[  154.415520] L(21, 10): 451 	
[  154.436110] L( 7, 10): 369 	
[  154.456704] L(12, 10): 369 	
[  154.484647] L(18, 20): 501 	
[  154.512214] L(16, 20): 495 	
[  154.540335] L(15, 20): 505 	
[  154.565603] L( 8, 20): 453 	
[  154.586203] L(13, 20): 369 	
[  154.613645] L(19, 20): 492 	
[  154.638284] L(14, 20): 442 	
