sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[   59.874950] latency: loading out-of-tree module taints kernel.
[   59.878360] Insert module 
[   63.770932] L(20, 16): 525 	
[   63.799941] L(21, 16): 521 	
[   63.820729] L(12, 16): 373 	
[   63.849858] L(15, 16): 523 	
[   63.878845] L(16, 16): 520 	
[   63.907980] L(19, 16): 523 	
[   63.934229] L( 8, 16): 471 	
[   63.960292] L(10, 16): 468 	
[   63.986200] L( 6, 16): 465 	
[   64.015422] L(18, 16): 524 	
[   64.036023] L(13, 16): 369 	
[   64.064998] L(17, 16): 520 	
[   64.091022] L( 9, 16): 467 	
[   64.117089] L( 7, 16): 468 	
[   64.137685] L(14, 12): 369 	
[   64.158251] L(11, 12): 369 	
[   64.178858] L(20, 12): 369 	
[   64.199464] L(21, 12): 369 	
[   64.220061] L(12, 12): 369 	
[   64.240640] L(15, 12): 369 	
[   64.261228] L(16, 12): 369 	
[   64.281833] L(19, 12): 369 	
[   64.302439] L( 8, 12): 369 	
[   64.323037] L(10, 12): 369 	
[   64.343267] L( 6, 12): 363 	
[   64.363870] L(18, 12): 369 	
[   64.384472] L(13, 12): 369 	
[   64.405076] L(17, 12): 369 	
[   64.425646] L( 9, 12): 369 	
[   64.446239] L( 7, 12): 369 	
[   64.469794] L(14, 17): 423 	
[   64.495829] L(11, 17): 467 	
[   64.524810] L(20, 17): 520 	
[   64.553806] L(21, 17): 520 	
[   64.574375] L(12, 17): 369 	
[   64.603680] L(15, 17): 526 	
[   64.632703] L(16, 17): 521 	
[   64.661814] L(19, 17): 522 	
[   64.688072] L( 8, 17): 471 	
[   64.714126] L(10, 17): 467 	
[   64.740008] L( 6, 17): 464 	
[   64.769148] L(18, 17): 523 	
[   64.789792] L(13, 17): 370 	
[   64.818830] L(17, 17): 521 	
[   64.845103] L( 9, 17): 471 	
[   64.872056] L( 7, 17): 484 	
[   64.895649] L(14, 18): 423 	
[   64.922041] L(11, 18): 474 	
[   64.951274] L(20, 18): 524 	
[   64.980285] L(21, 18): 521 	
[   65.000892] L(12, 18): 369 	
[   65.029886] L(15, 18): 520 	
[   65.058856] L(16, 18): 520 	
[   65.087861] L(19, 18): 521 	
[   65.113908] L( 8, 18): 467 	
[   65.139968] L(10, 18): 468 	
[   65.165700] L( 6, 18): 462 	
[   65.194673] L(18, 18): 520 	
[   65.215272] L(13, 18): 369 	
[   65.244265] L(17, 18): 520 	
[   65.270326] L( 9, 18): 468 	
[   65.296363] L( 7, 18): 467 	
[   65.319894] L(14, 21): 422 	
[   65.345945] L(11, 21): 467 	
[   65.374930] L(20, 21): 520 	
[   65.403944] L(21, 21): 521 	
[   65.424510] L(12, 21): 369 	
[   65.453514] L(15, 21): 521 	
[   65.482494] L(16, 21): 520 	
[   65.511467] L(19, 21): 520 	
[   65.537527] L( 8, 21): 468 	
[   65.563565] L(10, 21): 467 	
[   65.589318] L( 6, 21): 462 	
[   65.618281] L(18, 21): 520 	
[   65.638889] L(13, 21): 369 	
[   65.667876] L(17, 21): 520 	
[   65.693910] L( 9, 21): 467 	
[   65.719972] L( 7, 21): 468 	
[   65.740554] L(14,  9): 369 	
[   65.761151] L(11,  9): 369 	
[   65.787211] L(20,  9): 468 	
[   65.813237] L(21,  9): 467 	
[   65.833828] L(12,  9): 369 	
[   65.859865] L(15,  9): 467 	
[   65.886113] L(16,  9): 471 	
[   65.912164] L(19,  9): 467 	
[   65.932769] L( 8,  9): 369 	
[   65.953530] L(10,  9): 372 	
[   65.973762] L( 6,  9): 363 	
[   65.999816] L(18,  9): 467 	
[   66.020417] L(13,  9): 369 	
[   66.046449] L(17,  9): 467 	
[   66.067039] L( 9,  9): 369 	
[   66.087633] L( 7,  9): 369 	
[   66.110751] Remove module 
