sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  161.598132] Insert module 
[  161.623006] L(19,  6): 446 	
[  161.647693] L(18,  6): 443 	
[  161.667948] L(10,  6): 363 	
[  161.689213] L(14,  6): 381 	
[  161.709434] L( 9,  6): 362 	
[  161.729664] L( 7,  6): 363 	
[  161.754772] L(17,  6): 450 	
[  161.779450] L(15,  6): 443 	
[  161.799699] L(11,  6): 363 	
[  161.824133] L(20,  6): 438 	
[  161.844413] L(12,  6): 364 	
[  161.864738] L( 6,  6): 364 	
[  161.884973] L( 8,  6): 363 	
[  161.905231] L(13,  6): 363 	
[  161.928868] L(21,  6): 424 	
[  161.953440] L(16,  6): 441 	
[  161.981221] L(19, 19): 499 	
[  162.008883] L(18, 19): 496 	
[  162.033965] L(10, 19): 450 	
[  162.058956] L(14, 19): 448 	
[  162.083920] L( 9, 19): 448 	
[  162.108906] L( 7, 19): 448 	
[  162.136762] L(17, 19): 500 	
[  162.164148] L(15, 19): 491 	
[  162.188896] L(11, 19): 443 	
[  162.216629] L(20, 19): 498 	
[  162.237227] L(12, 19): 369 	
[  162.261637] L( 6, 19): 438 	
[  162.286282] L( 8, 19): 442 	
[  162.306876] L(13, 19): 369 	
[  162.333295] L(21, 19): 474 	
[  162.361508] L(16, 19): 506 	
[  162.382128] L(19, 12): 370 	
[  162.402738] L(18, 12): 369 	
[  162.423330] L(10, 12): 369 	
[  162.443901] L(14, 12): 369 	
[  162.464508] L( 9, 12): 369 	
[  162.485099] L( 7, 12): 369 	
[  162.505704] L(17, 12): 369 	
[  162.526277] L(15, 12): 369 	
[  162.546873] L(11, 12): 369 	
[  162.567479] L(20, 12): 369 	
[  162.588077] L(12, 12): 369 	
[  162.608312] L( 6, 12): 363 	
[  162.628917] L( 8, 12): 369 	
[  162.649517] L(13, 12): 369 	
[  162.670140] L(21, 12): 370 	
[  162.690719] L(16, 12): 369 	
[  162.718625] L(19, 16): 501 	
[  162.745903] L(18, 16): 490 	
[  162.770803] L(10, 16): 447 	
[  162.795525] L(14, 16): 444 	
[  162.820611] L( 9, 16): 450 	
[  162.845502] L( 7, 16): 447 	
[  162.873462] L(17, 16): 502 	
[  162.901685] L(15, 16): 507 	
[  162.926736] L(11, 16): 449 	
[  162.954046] L(20, 16): 490 	
[  162.974624] L(12, 16): 369 	
[  162.999545] L( 6, 16): 447 	
[  163.024123] L( 8, 16): 441 	
[  163.044725] L(13, 16): 369 	
[  163.070881] L(21, 16): 469 	
[  163.098647] L(16, 16): 498 	
[  163.126531] L(19, 17): 500 	
[  163.154990] L(18, 17): 511 	
[  163.179919] L(10, 17): 447 	
[  163.204381] L(14, 17): 438 	
[  163.229488] L( 9, 17): 450 	
[  163.254628] L( 7, 17): 451 	
[  163.282461] L(17, 17): 500 	
[  163.310800] L(15, 17): 509 	
[  163.336043] L(11, 17): 453 	
[  163.363547] L(20, 17): 494 	
[  163.384154] L(12, 17): 369 	
[  163.408562] L( 6, 17): 438 	
[  163.433747] L( 8, 17): 452 	
[  163.454348] L(13, 17): 369 	
[  163.481850] L(21, 17): 494 	
[  163.509789] L(16, 17): 501 	
[  163.537095] L(19, 15): 490 	
[  163.565311] L(18, 15): 506 	
[  163.590583] L(10, 15): 453 	
[  163.615378] L(14, 15): 445 	
[  163.640860] L( 9, 15): 457 	
[  163.665953] L( 7, 15): 450 	
[  163.693884] L(17, 15): 501 	
[  163.722170] L(15, 15): 508 	
[  163.747389] L(11, 15): 452 	
[  163.774344] L(20, 15): 484 	
[  163.794941] L(12, 15): 369 	
[  163.819687] L( 6, 15): 444 	
[  163.845119] L( 8, 15): 456 	
[  163.865701] L(13, 15): 369 	
[  163.892483] L(21, 15): 481 	
[  163.920439] L(16, 15): 502 	
[  163.944784] L(19,  7): 437 	
[  163.969921] L(18,  7): 451 	
[  163.990494] L(10,  7): 369 	
[  164.012059] L(14,  7): 387 	
[  164.032664] L( 9,  7): 369 	
[  164.053248] L( 7,  7): 369 	
[  164.078746] L(17,  7): 457 	
[  164.103763] L(15,  7): 449 	
[  164.124321] L(11,  7): 369 	
[  164.148474] L(20,  7): 433 	
[  164.169071] L(12,  7): 369 	
[  164.189333] L( 6,  7): 363 	
[  164.209899] L( 8,  7): 369 	
[  164.230550] L(13,  7): 370 	
[  164.254492] L(21,  7): 429 	
[  164.279101] L(16,  7): 441 	
[  164.299700] L(19, 13): 369 	
[  164.320309] L(18, 13): 369 	
[  164.340871] L(10, 13): 369 	
[  164.361473] L(14, 13): 369 	
[  164.382071] L( 9, 13): 369 	
[  164.402664] L( 7, 13): 369 	
[  164.423267] L(17, 13): 369 	
[  164.443832] L(15, 13): 369 	
[  164.464422] L(11, 13): 369 	
[  164.485025] L(20, 13): 369 	
[  164.505614] L(12, 13): 369 	
[  164.525833] L( 6, 13): 362 	
[  164.546436] L( 8, 13): 369 	
[  164.567025] L(13, 13): 369 	
[  164.587621] L(21, 13): 369 	
[  164.608191] L(16, 13): 369 	
[  164.635232] L(19, 21): 485 	
[  164.661812] L(18, 21): 477 	
[  164.686061] L(10, 21): 435 	
[  164.711828] L(14, 21): 462 	
[  164.735434] L( 9, 21): 423 	
[  164.759227] L( 7, 21): 427 	
[  164.786701] L(17, 21): 493 	
