sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  136.746340] Insert module 
[  136.774902] L(19, 19): 512 	
[  136.803695] L(15, 19): 517 	
[  136.832256] L(18, 19): 512 	
[  136.858006] L( 9, 19): 462 	
[  136.885697] L(21, 19): 497 	
[  136.906286] L(12, 19): 369 	
[  136.934715] L(16, 19): 510 	
[  136.960457] L(10, 19): 462 	
[  136.985750] L( 6, 19): 454 	
[  137.006399] L(13, 19): 370 	
[  137.032117] L(11, 19): 461 	
[  137.056052] L(14, 19): 429 	
[  137.081807] L( 7, 19): 462 	
[  137.107634] L( 8, 19): 463 	
[  137.136139] L(17, 19): 512 	
[  137.164523] L(20, 19): 509 	
[  137.192994] L(19, 18): 511 	
[  137.221672] L(15, 18): 515 	
[  137.250546] L(18, 18): 518 	
[  137.276412] L( 9, 18): 464 	
[  137.305091] L(21, 18): 515 	
[  137.325661] L(12, 18): 369 	
[  137.354443] L(16, 18): 517 	
[  137.380095] L(10, 18): 460 	
[  137.405464] L( 6, 18): 455 	
[  137.426026] L(13, 18): 369 	
[  137.451811] L(11, 18): 463 	
[  137.475529] L(14, 18): 425 	
[  137.501259] L( 7, 18): 462 	
[  137.526800] L( 8, 18): 458 	
[  137.555754] L(17, 18): 520 	
[  137.584346] L(20, 18): 513 	
[  137.610108] L(19, 11): 462 	
[  137.635950] L(15, 11): 464 	
[  137.661863] L(18, 11): 465 	
[  137.682457] L( 9, 11): 369 	
[  137.708206] L(21, 11): 462 	
[  137.728807] L(12, 11): 369 	
[  137.754587] L(16, 11): 463 	
[  137.775146] L(10, 11): 369 	
[  137.795399] L( 6, 11): 363 	
[  137.815998] L(13, 11): 369 	
[  137.836594] L(11, 11): 369 	
[  137.857235] L(14, 11): 370 	
[  137.877818] L( 7, 11): 369 	
[  137.898403] L( 8, 11): 369 	
[  137.924219] L(17, 11): 463 	
[  137.950117] L(20, 11): 465 	
[  137.973988] L(19, 14): 428 	
[  137.997744] L(15, 14): 426 	
[  138.021550] L(18, 14): 427 	
[  138.042233] L( 9, 14): 371 	
[  138.066150] L(21, 14): 429 	
[  138.086755] L(12, 14): 369 	
[  138.110539] L(16, 14): 427 	
[  138.131457] L(10, 14): 375 	
[  138.151947] L( 6, 14): 367 	
[  138.172541] L(13, 14): 369 	
[  138.193205] L(11, 14): 370 	
[  138.216817] L(14, 14): 424 	
[  138.237627] L( 7, 14): 373 	
[  138.258305] L( 8, 14): 371 	
[  138.282071] L(17, 14): 426 	
[  138.305928] L(20, 14): 428 	
[  138.334574] L(19, 16): 514 	
[  138.363502] L(15, 16): 519 	
[  138.392194] L(18, 16): 515 	
[  138.417974] L( 9, 16): 463 	
[  138.446405] L(21, 16): 510 	
[  138.467010] L(12, 16): 369 	
[  138.495719] L(16, 16): 515 	
[  138.521461] L(10, 16): 462 	
[  138.546851] L( 6, 16): 456 	
[  138.567455] L(13, 16): 369 	
[  138.593220] L(11, 16): 462 	
[  138.616894] L(14, 16): 425 	
[  138.642827] L( 7, 16): 465 	
[  138.668061] L( 8, 16): 453 	
[  138.696831] L(17, 16): 516 	
[  138.725479] L(20, 16): 514 	
[  138.751155] L(19,  8): 461 	
[  138.776916] L(15,  8): 462 	
[  138.802818] L(18,  8): 465 	
[  138.823410] L( 9,  8): 369 	
[  138.849182] L(21,  8): 462 	
[  138.869781] L(12,  8): 369 	
[  138.895703] L(16,  8): 465 	
[  138.916302] L(10,  8): 369 	
[  138.936545] L( 6,  8): 363 	
[  138.957145] L(13,  8): 369 	
[  138.977737] L(11,  8): 369 	
[  138.998554] L(14,  8): 373 	
[  139.019148] L( 7,  8): 369 	
[  139.039751] L( 8,  8): 369 	
[  139.065236] L(17,  8): 457 	
[  139.090787] L(20,  8): 458 	
[  139.116607] L(19,  9): 463 	
[  139.142360] L(15,  9): 462 	
[  139.168198] L(18,  9): 464 	
[  139.188784] L( 9,  9): 369 	
[  139.214430] L(21,  9): 460 	
[  139.235041] L(12,  9): 369 	
[  139.260916] L(16,  9): 464 	
[  139.281507] L(10,  9): 369 	
[  139.301740] L( 6,  9): 363 	
[  139.322345] L(13,  9): 369 	
[  139.342911] L(11,  9): 369 	
[  139.363781] L(14,  9): 374 	
[  139.384384] L( 7,  9): 369 	
[  139.404972] L( 8,  9): 369 	
[  139.430628] L(17,  9): 460 	
[  139.456360] L(20,  9): 462 	
[  139.484619] L(19, 17): 507 	
[  139.513207] L(15, 17): 513 	
[  139.542025] L(18, 17): 517 	
[  139.567755] L( 9, 17): 462 	
[  139.596237] L(21, 17): 511 	
[  139.616842] L(12, 17): 369 	
[  139.645483] L(16, 17): 514 	
[  139.671320] L(10, 17): 463 	
[  139.696816] L( 6, 17): 457 	
[  139.717412] L(13, 17): 369 	
[  139.743239] L(11, 17): 463 	
[  139.767036] L(14, 17): 427 	
[  139.792807] L( 7, 17): 462 	
[  139.818674] L( 8, 17): 464 	
[  139.847526] L(17, 17): 518 	
[  139.875932] L(20, 17): 510 	
[  139.901203] L(19,  6): 453 	
[  139.926517] L(15,  6): 454 	
[  139.951954] L(18,  6): 456 	
[  139.972270] L( 9,  6): 364 	
[  139.997749] L(21,  6): 457 	
[  140.018273] L(12,  6): 368 	
[  140.043856] L(16,  6): 459 	
[  140.064150] L(10,  6): 364 	
[  140.084520] L( 6,  6): 365 	
[  140.104822] L(13,  6): 364 	
[  140.125079] L(11,  6): 363 	
[  140.145497] L(14,  6): 366 	
[  140.165773] L( 7,  6): 363 	
[  140.186059] L( 8,  6): 364 	
[  140.213135] L(17,  6): 486 	
[  140.238870] L(20,  6): 462 	
[  140.267009] L(19, 21): 505 	
[  140.295770] L(15, 21): 516 	
[  140.324416] L(18, 21): 514 	
[  140.350187] L( 9, 21): 462 	
[  140.378836] L(21, 21): 514 	
[  140.399501] L(12, 21): 370 	
[  140.428285] L(16, 21): 517 	
[  140.453954] L(10, 21): 460 	
[  140.479571] L( 6, 21): 460 	
[  140.500177] L(13, 21): 369 	
[  140.525889] L(11, 21): 461 	
[  140.549665] L(14, 21): 426 	
[  140.575267] L( 7, 21): 459 	
[  140.601112] L( 8, 21): 464 	
[  140.629548] L(17, 21): 510 	
[  140.657929] L(20, 21): 509 	
[  140.686624] L(19, 15): 514 	
[  140.715283] L(15, 15): 514 	
[  140.743829] L(18, 15): 512 	
[  140.769406] L( 9, 15): 459 	
[  140.798175] L(21, 15): 516 	
[  140.818771] L(12, 15): 369 	
[  140.847690] L(16, 15): 519 	
[  140.873413] L(10, 15): 462 	
[  140.898922] L( 6, 15): 458 	
[  140.919506] L(13, 15): 369 	
[  140.945340] L(11, 15): 464 	
[  140.969206] L(14, 15): 428 	
[  140.994978] L( 7, 15): 462 	
[  141.020651] L( 8, 15): 461 	
[  141.049570] L(17, 15): 519 	
[  141.078264] L(20, 15): 515 	
[  141.098849] L(19, 12): 369 	
[  141.119452] L(15, 12): 369 	
[  141.140037] L(18, 12): 369 	
[  141.160591] L( 9, 12): 369 	
[  141.181187] L(21, 12): 369 	
[  141.201787] L(12, 12): 369 	
[  141.222379] L(16, 12): 369 	
[  141.242953] L(10, 12): 369 	
[  141.263189] L( 6, 12): 363 	
[  141.283783] L(13, 12): 369 	
[  141.304383] L(11, 12): 369 	
[  141.324944] L(14, 12): 369 	
[  141.345537] L( 7, 12): 369 	
[  141.366139] L( 8, 12): 369 	
[  141.386735] L(17, 12): 369 	
[  141.407305] L(20, 12): 369 	
[  141.432919] L(19, 10): 460 	
[  141.458730] L(15, 10): 463 	
[  141.484465] L(18, 10): 462 	
[  141.505099] L( 9, 10): 370 	
[  141.530820] L(21, 10): 461 	
[  141.551422] L(12, 10): 369 	
[  141.577296] L(16, 10): 464 	
[  141.597973] L(10, 10): 371 	
[  141.618217] L( 6, 10): 363 	
[  141.638820] L(13, 10): 369 	
[  141.659385] L(11, 10): 369 	
[  141.680255] L(14, 10): 374 	
[  141.700899] L( 7, 10): 369 	
[  141.721488] L( 8, 10): 369 	
[  141.747242] L(17, 10): 462 	
[  141.772768] L(20, 10): 458 	
[  141.800709] L(19, 20): 501 	
[  141.829365] L(15, 20): 514 	
[  141.858121] L(18, 20): 516 	
[  141.883969] L( 9, 20): 464 	
[  141.912017] L(21, 20): 503 	
[  141.932622] L(12, 20): 369 	
[  141.961061] L(16, 20): 510 	
[  141.986910] L(10, 20): 464 	
[  142.012409] L( 6, 20): 458 	
[  142.032996] L(13, 20): 369 	
[  142.058708] L(11, 20): 461 	
[  142.082742] L(14, 20): 431 	
[  142.108450] L( 7, 20): 461 	
[  142.134017] L( 8, 20): 459 	
[  142.162562] L(17, 20): 512 	
[  142.191059] L(20, 20): 511 	
[  142.211649] L(19, 13): 369 	
[  142.232252] L(15, 13): 369 	
[  142.252848] L(18, 13): 369 	
[  142.273435] L( 9, 13): 369 	
[  142.294012] L(21, 13): 369 	
