sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  179.728116] Insert module 
[  179.756693] L(20, 18): 511 	
[  179.785241] L(16, 18): 512 	
[  179.813416] L(21, 18): 506 	
[  179.841582] L(19, 18): 506 	
[  179.870279] L(17, 18): 515 	
[  179.896044] L( 8, 18): 462 	
[  179.916649] L(13, 18): 369 	
[  179.942352] L(11, 18): 461 	
[  179.968068] L( 7, 18): 461 	
[  179.996893] L(15, 18): 517 	
[  180.025492] L(18, 18): 513 	
[  180.046100] L(12, 18): 369 	
[  180.071888] L( 9, 18): 463 	
[  180.095736] L(14, 18): 428 	
[  180.121626] L(10, 18): 465 	
[  180.147070] L( 6, 18): 457 	
[  180.167672] L(20, 12): 369 	
[  180.188259] L(16, 12): 369 	
[  180.208837] L(21, 12): 369 	
[  180.229433] L(19, 12): 369 	
[  180.250018] L(17, 12): 369 	
[  180.270622] L( 8, 12): 369 	
[  180.291179] L(13, 12): 369 	
[  180.311767] L(11, 12): 369 	
[  180.332367] L( 7, 12): 369 	
[  180.352951] L(15, 12): 369 	
[  180.373537] L(18, 12): 369 	
[  180.394115] L(12, 12): 369 	
[  180.414693] L( 9, 12): 369 	
[  180.435287] L(14, 12): 369 	
[  180.455885] L(10, 12): 369 	
[  180.476105] L( 6, 12): 362 	
[  180.501733] L(20, 11): 460 	
[  180.527498] L(16, 11): 462 	
[  180.553281] L(21, 11): 463 	
[  180.579095] L(19, 11): 463 	
[  180.605040] L(17, 11): 466 	
[  180.625607] L( 8, 11): 369 	
[  180.646200] L(13, 11): 369 	
[  180.666785] L(11, 11): 369 	
[  180.687377] L( 7, 11): 369 	
[  180.713295] L(15, 11): 465 	
[  180.739088] L(18, 11): 463 	
[  180.759645] L(12, 11): 369 	
[  180.780233] L( 9, 11): 369 	
[  180.800949] L(14, 11): 371 	
[  180.821549] L(10, 11): 369 	
[  180.841761] L( 6, 11): 362 	
[  180.862373] L(20, 13): 370 	
[  180.882972] L(16, 13): 369 	
[  180.903578] L(21, 13): 369 	
[  180.924149] L(19, 13): 369 	
[  180.944752] L(17, 13): 369 	
[  180.965360] L( 8, 13): 369 	
[  180.985964] L(13, 13): 369 	
[  181.006603] L(11, 13): 370 	
[  181.027176] L( 7, 13): 369 	
[  181.047780] L(15, 13): 369 	
[  181.068374] L(18, 13): 369 	
[  181.088985] L(12, 13): 370 	
[  181.109553] L( 9, 13): 369 	
[  181.130153] L(14, 13): 369 	
[  181.150757] L(10, 13): 369 	
[  181.171024] L( 6, 13): 363 	
[  181.196674] L(20, 10): 460 	
[  181.222690] L(16, 10): 467 	
[  181.248672] L(21, 10): 466 	
[  181.274269] L(19, 10): 459 	
[  181.300166] L(17, 10): 465 	
[  181.320767] L( 8, 10): 369 	
[  181.341335] L(13, 10): 369 	
[  181.361924] L(11, 10): 369 	
[  181.382523] L( 7, 10): 369 	
[  181.408102] L(15, 10): 459 	
[  181.433785] L(18, 10): 461 	
[  181.454390] L(12, 10): 369 	
[  181.474942] L( 9, 10): 368 	
[  181.495819] L(14, 10): 374 	
[  181.516401] L(10, 10): 369 	
[  181.536625] L( 6, 10): 363 	
[  181.565338] L(20, 20): 515 	
[  181.593837] L(16, 20): 512 	
[  181.622019] L(21, 20): 506 	
[  181.650386] L(19, 20): 509 	
[  181.679153] L(17, 20): 516 	
[  181.704827] L( 8, 20): 461 	
[  181.725400] L(13, 20): 369 	
[  181.751240] L(11, 20): 464 	
[  181.777164] L( 7, 20): 465 	
[  181.805972] L(15, 20): 517 	
[  181.834145] L(18, 20): 506 	
[  181.854741] L(12, 20): 369 	
[  181.880322] L( 9, 20): 459 	
[  181.904186] L(14, 20): 428 	
[  181.929491] L(10, 20): 454 	
[  181.954981] L( 6, 20): 457 	
[  181.980850] L(20,  9): 464 	
[  182.006794] L(16,  9): 466 	
[  182.032715] L(21,  9): 465 	
[  182.058364] L(19,  9): 460 	
[  182.084420] L(17,  9): 468 	
[  182.105004] L( 8,  9): 369 	
[  182.125571] L(13,  9): 369 	
[  182.146169] L(11,  9): 369 	
[  182.166754] L( 7,  9): 369 	
[  182.192568] L(15,  9): 463 	
[  182.218468] L(18,  9): 465 	
