sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  124.225087] Insert module 
[  124.254226] L(21, 18): 523 	
[  124.280272] L( 9, 18): 467 	
[  124.303843] L(14, 18): 423 	
[  124.329871] L( 7, 18): 467 	
[  124.350543] L(12, 18): 371 	
[  124.376587] L(11, 18): 467 	
[  124.405592] L(18, 18): 521 	
[  124.434568] L(17, 18): 520 	
[  124.463565] L(16, 18): 520 	
[  124.492533] L(19, 18): 520 	
[  124.518595] L(10, 18): 468 	
[  124.544329] L( 6, 18): 462 	
[  124.573330] L(15, 18): 521 	
[  124.599359] L( 8, 18): 467 	
[  124.628332] L(20, 18): 520 	
[  124.648927] L(13, 18): 369 	
[  124.677906] L(21, 20): 520 	
[  124.703973] L( 9, 20): 468 	
[  124.727463] L(14, 20): 421 	
[  124.753526] L( 7, 20): 468 	
[  124.774080] L(12, 20): 369 	
[  124.800143] L(11, 20): 468 	
[  124.829131] L(18, 20): 520 	
[  124.858137] L(17, 20): 520 	
[  124.887140] L(16, 20): 521 	
[  124.916111] L(19, 20): 520 	
[  124.942142] L(10, 20): 467 	
[  124.967911] L( 6, 20): 462 	
[  124.996899] L(15, 20): 520 	
[  125.022969] L( 8, 20): 468 	
[  125.051943] L(20, 20): 520 	
[  125.072533] L(13, 20): 369 	
[  125.098589] L(21,  9): 467 	
[  125.119181] L( 9,  9): 369 	
[  125.139764] L(14,  9): 369 	
[  125.160324] L( 7,  9): 369 	
[  125.180927] L(12,  9): 369 	
[  125.201509] L(11,  9): 369 	
[  125.227550] L(18,  9): 467 	
[  125.253605] L(17,  9): 468 	
[  125.279645] L(16,  9): 467 	
[  125.305703] L(19,  9): 468 	
[  125.326278] L(10,  9): 369 	
[  125.346524] L( 6,  9): 363 	
[  125.372586] L(15,  9): 468 	
[  125.393148] L( 8,  9): 369 	
[  125.419204] L(20,  9): 468 	
[  125.439799] L(13,  9): 369 	
[  125.468769] L(21, 19): 520 	
[  125.494801] L( 9, 19): 467 	
[  125.518340] L(14, 19): 422 	
[  125.544364] L( 7, 19): 467 	
[  125.565089] L(12, 19): 370 	
[  125.591124] L(11, 19): 467 	
[  125.620110] L(18, 19): 520 	
[  125.649090] L(17, 19): 520 	
[  125.678063] L(16, 19): 520 	
[  125.707058] L(19, 19): 520 	
[  125.733104] L(10, 19): 467 	
[  125.758824] L( 6, 19): 461 	
[  125.787818] L(15, 19): 520 	
[  125.813851] L( 8, 19): 467 	
[  125.842888] L(20, 19): 520 	
[  125.863496] L(13, 19): 369 	
[  125.889550] L(21, 11): 467 	
[  125.910108] L( 9, 11): 369 	
[  125.930712] L(14, 11): 369 	
[  125.951319] L( 7, 11): 369 	
[  125.971920] L(12, 11): 369 	
[  125.992481] L(11, 11): 369 	
[  126.018538] L(18, 11): 468 	
[  126.044574] L(17, 11): 467 	
[  126.070629] L(16, 11): 468 	
[  126.096666] L(19, 11): 467 	
[  126.117259] L(10, 11): 369 	
[  126.137492] L( 6, 11): 363 	
[  126.163535] L(15, 11): 467 	
[  126.184123] L( 8, 11): 369 	
[  126.210154] L(20, 11): 467 	
[  126.230741] L(13, 11): 369 	
[  126.259722] L(21, 15): 520 	
[  126.285780] L( 9, 15): 468 	
[  126.309277] L(14, 15): 421 	
