sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  192.092954] Insert module 
[  192.121591] L(16, 15): 513 	
[  192.146724] L(10, 15): 451 	
[  192.172194] L( 7, 15): 457 	
[  192.197365] L( 6, 15): 452 	
[  192.221493] L(14, 15): 433 	
[  192.242077] L(13, 15): 369 	
[  192.267605] L( 9, 15): 458 	
[  192.295834] L(20, 15): 507 	
[  192.323859] L(17, 15): 503 	
[  192.349432] L(11, 15): 459 	
[  192.377275] L(21, 15): 500 	
[  192.405679] L(15, 15): 510 	
[  192.434161] L(18, 15): 511 	
[  192.459867] L( 8, 15): 461 	
[  192.480464] L(12, 15): 369 	
[  192.509053] L(19, 15): 513 	
[  192.534472] L(16,  6): 456 	
[  192.554724] L(10,  6): 363 	
[  192.574947] L( 7,  6): 363 	
[  192.595232] L( 6,  6): 364 	
[  192.616163] L(14,  6): 375 	
[  192.636442] L(13,  6): 364 	
[  192.656664] L( 9,  6): 363 	
[  192.681454] L(20,  6): 445 	
[  192.706102] L(17,  6): 442 	
[  192.726310] L(11,  6): 362 	
[  192.750801] L(21,  6): 439 	
[  192.775899] L(15,  6): 450 	
[  192.800878] L(18,  6): 448 	
[  192.821084] L( 8,  6): 362 	
[  192.841309] L(12,  6): 363 	
[  192.865967] L(19,  6): 442 	
[  192.894553] L(16, 18): 513 	
[  192.919655] L(10, 18): 450 	
[  192.944932] L( 7, 18): 454 	
[  192.969746] L( 6, 18): 445 	
[  192.994077] L(14, 18): 436 	
[  193.014688] L(13, 18): 370 	
[  193.039878] L( 9, 18): 452 	
[  193.067749] L(20, 18): 500 	
[  193.096009] L(17, 18): 507 	
[  193.121245] L(11, 18): 453 	
[  193.148813] L(21, 18): 495 	
[  193.176972] L(15, 18): 505 	
[  193.205324] L(18, 18): 509 	
[  193.230434] L( 8, 18): 451 	
[  193.251066] L(12, 18): 370 	
[  193.279450] L(19, 18): 509 	
[  193.308111] L(16, 16): 514 	
[  193.333754] L(10, 16): 460 	
