sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[   99.397559] Insert module 
[   99.421222] L(21, 14): 424 	
[   99.444738] L(19, 14): 422 	
[   99.468286] L(15, 14): 422 	
[   99.488894] L( 7, 14): 369 	
[   99.512404] L(17, 14): 422 	
[   99.536006] L(16, 14): 423 	
[   99.556607] L(12, 14): 369 	
[   99.577171] L(11, 14): 369 	
[   99.597782] L( 9, 14): 370 	
[   99.618376] L(13, 14): 369 	
[   99.638671] L( 6, 14): 364 	
[   99.659251] L( 8, 14): 369 	
[   99.682784] L(18, 14): 422 	
[   99.706328] L(14, 14): 422 	
[   99.729841] L(20, 14): 422 	
[   99.750444] L(10, 14): 369 	
[   99.776483] L(21,  7): 467 	
[   99.802535] L(19,  7): 467 	
[   99.828577] L(15,  7): 467 	
[   99.849170] L( 7,  7): 369 	
[   99.875221] L(17,  7): 467 	
[   99.901279] L(16,  7): 468 	
[   99.921881] L(12,  7): 369 	
[   99.942447] L(11,  7): 369 	
[   99.963062] L( 9,  7): 370 	
[   99.983671] L(13,  7): 369 	
[  100.003933] L( 6,  7): 363 	
[  100.024480] L( 8,  7): 368 	
[  100.050544] L(18,  7): 468 	
[  100.071161] L(14,  7): 369 	
[  100.097197] L(20,  7): 467 	
[  100.117788] L(10,  7): 369 	
[  100.138378] L(21, 12): 369 	
[  100.158948] L(19, 12): 369 	
[  100.179551] L(15, 12): 369 	
[  100.200135] L( 7, 12): 369 	
[  100.220731] L(17, 12): 369 	
[  100.241296] L(16, 12): 369 	
[  100.261917] L(12, 12): 370 	
[  100.282522] L(11, 12): 369 	
[  100.303124] L( 9, 12): 369 	
[  100.323701] L(13, 12): 369 	
[  100.343960] L( 6, 12): 363 	
[  100.364558] L( 8, 12): 369 	
[  100.385148] L(18, 12): 369 	
[  100.405750] L(14, 12): 369 	
[  100.426309] L(20, 12): 369 	
[  100.446898] L(10, 12): 369 	
[  100.475880] L(21, 20): 520 	
[  100.504873] L(19, 20): 520 	
[  100.533859] L(15, 20): 520 	
[  100.559882] L( 7, 20): 467 	
[  100.588883] L(17, 20): 521 	
[  100.617868] L(16, 20): 520 	
[  100.638470] L(12, 20): 369 	
[  100.664498] L(11, 20): 467 	
[  100.690537] L( 9, 20): 467 	
[  100.711130] L(13, 20): 369 	
[  100.736871] L( 6, 20): 462 	
[  100.762907] L( 8, 20): 467 	
[  100.791885] L(18, 20): 520 	
[  100.815452] L(14, 20): 423 	
[  100.844424] L(20, 20): 520 	
[  100.870484] L(10, 20): 468 	
[  100.899465] L(21, 19): 520 	
[  100.928444] L(19, 19): 520 	
[  100.957436] L(15, 19): 520 	
[  100.983505] L( 7, 19): 468 	
[  101.012480] L(17, 19): 520 	
[  101.041454] L(16, 19): 520 	
[  101.062052] L(12, 19): 369 	
[  101.088115] L(11, 19): 468 	
[  101.114136] L( 9, 19): 467 	
[  101.134731] L(13, 19): 369 	
[  101.160449] L( 6, 19): 461 	
[  101.186514] L( 8, 19): 468 	
[  101.215480] L(18, 19): 520 	
[  101.239014] L(14, 19): 422 	
[  101.267970] L(20, 19): 520 	
[  101.294003] L(10, 19): 467 	
[  101.322996] L(21, 21): 520 	
[  101.351942] L(19, 21): 520 	
[  101.380895] L(15, 21): 520 	
[  101.406972] L( 7, 21): 468 	
[  101.435949] L(17, 21): 520 	
[  101.464909] L(16, 21): 520 	
[  101.485499] L(12, 21): 369 	
[  101.511536] L(11, 21): 467 	
[  101.537595] L( 9, 21): 468 	
[  101.558164] L(13, 21): 369 	
[  101.583920] L( 6, 21): 462 	
[  101.609956] L( 8, 21): 467 	
[  101.638972] L(18, 21): 521 	
[  101.662459] L(14, 21): 421 	
[  101.691413] L(20, 21): 520 	
[  101.717465] L(10, 21): 467 	
[  101.743189] L(21,  6): 462 	
[  101.768937] L(19,  6): 462 	
[  101.794667] L(15,  6): 462 	
[  101.814926] L( 7,  6): 363 	
[  101.840645] L(17,  6): 461 	
[  101.866393] L(16,  6): 462 	
[  101.886665] L(12,  6): 363 	
[  101.906898] L(11,  6): 363 	
[  101.927136] L( 9,  6): 363 	
[  101.947399] L(13,  6): 363 	
[  101.967688] L( 6,  6): 364 	
[  101.987933] L( 8,  6): 363 	
[  102.013657] L(18,  6): 462 	
[  102.033930] L(14,  6): 363 	
[  102.059640] L(20,  6): 461 	
[  102.079871] L(10,  6): 363 	
[  102.100478] L(21, 13): 369 	
[  102.121073] L(19, 13): 369 	
[  102.141639] L(15, 13): 369 	
[  102.162242] L( 7, 13): 369 	
[  102.182840] L(17, 13): 369 	
[  102.203436] L(16, 13): 369 	
[  102.224010] L(12, 13): 369 	
[  102.244600] L(11, 13): 369 	
[  102.265199] L( 9, 13): 369 	
[  102.285802] L(13, 13): 369 	
[  102.306056] L( 6, 13): 363 	
[  102.326629] L( 8, 13): 369 	
[  102.347231] L(18, 13): 369 	
[  102.367834] L(14, 13): 369 	
[  102.388434] L(20, 13): 369 	
[  102.408997] L(10, 13): 369 	
[  102.437995] L(21, 15): 520 	
[  102.466965] L(19, 15): 520 	
[  102.495948] L(15, 15): 520 	
[  102.522000] L( 7, 15): 467 	
[  102.550988] L(17, 15): 520 	
[  102.579972] L(16, 15): 520 	
[  102.600563] L(12, 15): 369 	
[  102.626604] L(11, 15): 467 	
[  102.652663] L( 9, 15): 468 	
[  102.673264] L(13, 15): 369 	
[  102.698987] L( 6, 15): 462 	
[  102.725011] L( 8, 15): 467 	
[  102.754016] L(18, 15): 521 	
[  102.777521] L(14, 15): 422 	
[  102.806520] L(20, 15): 521 	
[  102.832552] L(10, 15): 467 	
[  102.861538] L(21, 17): 520 	
[  102.890515] L(19, 17): 520 	
[  102.919513] L(15, 17): 521 	
[  102.945543] L( 7, 17): 467 	
[  102.974529] L(17, 17): 520 	
[  103.003538] L(16, 17): 521 	
[  103.024116] L(12, 17): 369 	
[  103.050174] L(11, 17): 468 	
[  103.076217] L( 9, 17): 467 	
[  103.096817] L(13, 17): 369 	
[  103.122566] L( 6, 17): 462 	
[  103.148614] L( 8, 17): 467 	
[  103.177591] L(18, 17): 520 	
[  103.202498] L(14, 17): 447 	
[  103.231507] L(20, 17): 521 	
[  103.257544] L(10, 17): 467 	
[  103.283601] L(21, 10): 468 	
[  103.309653] L(19, 10): 467 	
[  103.335720] L(15, 10): 468 	
[  103.356310] L( 7, 10): 369 	
[  103.382353] L(17, 10): 467 	
[  103.408384] L(16, 10): 467 	
[  103.429002] L(12, 10): 370 	
[  103.449600] L(11, 10): 369 	
[  103.470192] L( 9, 10): 369 	
[  103.490773] L(13, 10): 369 	
[  103.511027] L( 6, 10): 363 	
[  103.531616] L( 8, 10): 369 	
[  103.557641] L(18, 10): 467 	
[  103.578242] L(14, 10): 369 	
[  103.604298] L(20, 10): 468 	
[  103.624863] L(10, 10): 369 	
[  103.653862] L(21, 18): 521 	
[  103.682844] L(19, 18): 520 	
[  103.711820] L(15, 18): 520 	
[  103.737884] L( 7, 18): 468 	
[  103.766861] L(17, 18): 520 	
[  103.795837] L(16, 18): 520 	
[  103.816433] L(12, 18): 369 	
[  103.842465] L(11, 18): 467 	
[  103.868527] L( 9, 18): 468 	
[  103.889125] L(13, 18): 369 	
[  103.914854] L( 6, 18): 462 	
[  103.940880] L( 8, 18): 467 	
[  103.969899] L(18, 18): 521 	
[  103.993413] L(14, 18): 422 	
[  104.022499] L(20, 18): 522 	
[  104.048546] L(10, 18): 467 	
[  104.077535] L(21, 16): 520 	
[  104.106547] L(19, 16): 521 	
[  104.135523] L(15, 16): 520 	
[  104.161555] L( 7, 16): 467 	
[  104.190532] L(17, 16): 520 	
[  104.219526] L(16, 16): 520 	
[  104.240129] L(12, 16): 369 	
[  104.266159] L(11, 16): 467 	
[  104.292193] L( 9, 16): 467 	
[  104.312800] L(13, 16): 369 	
[  104.338539] L( 6, 16): 462 	
[  104.364577] L( 8, 16): 467 	
[  104.393552] L(18, 16): 520 	
[  104.417088] L(14, 16): 422 	
[  104.446071] L(20, 16): 520 	
[  104.472129] L(10, 16): 468 	
[  104.498164] L(21,  8): 467 	
[  104.524197] L(19,  8): 467 	
[  104.550257] L(15,  8): 468 	
[  104.570849] L( 7,  8): 369 	
[  104.596884] L(17,  8): 467 	
[  104.622937] L(16,  8): 467 	
[  104.643501] L(12,  8): 369 	
[  104.664096] L(11,  8): 369 	
[  104.684679] L( 9,  8): 369 	
[  104.705273] L(13,  8): 369 	
[  104.725483] L( 6,  8): 362 	
[  104.746060] L( 8,  8): 369 	
[  104.772118] L(18,  8): 468 	
[  104.792673] L(14,  8): 369 	
[  104.818736] L(20,  8): 468 	
[  104.839336] L(10,  8): 369 	
[  104.865361] L(21,  9): 467 	
[  104.891406] L(19,  9): 467 	
[  104.917466] L(15,  9): 468 	
[  104.938057] L( 7,  9): 369 	
[  104.964102] L(17,  9): 467 	
[  104.990162] L(16,  9): 468 	
[  105.010738] L(12,  9): 369 	
[  105.031332] L(11,  9): 369 	
[  105.051927] L( 9,  9): 369 	
[  105.072548] L(13,  9): 370 	
[  105.092747] L( 6,  9): 362 	
[  105.113332] L( 8,  9): 369 	
[  105.139392] L(18,  9): 468 	
[  105.159952] L(14,  9): 369 	
[  105.186013] L(20,  9): 468 	
[  105.206600] L(10,  9): 369 	
[  105.232642] L(21, 11): 467 	
[  105.258669] L(19, 11): 467 	
[  105.284728] L(15, 11): 468 	
[  105.305338] L( 7, 11): 370 	
[  105.331373] L(17, 11): 467 	
[  105.357413] L(16, 11): 467 	
[  105.378017] L(12, 11): 369 	
[  105.398603] L(11, 11): 369 	
[  105.419200] L( 9, 11): 369 	
[  105.439793] L(13, 11): 369 	
[  105.459996] L( 6, 11): 362 	
[  105.480593] L( 8, 11): 369 	
[  105.506641] L(18, 11): 467 	
[  105.527217] L(14, 11): 369 	
[  105.553271] L(20, 11): 468 	
[  105.573836] L(10, 11): 369 	
[  105.593045] Remove module 
