sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[   66.181850] Insert module 
[   70.079962] L(18, 19): 0 	
[   70.106018] L( 8, 19): 0 	
[   70.135128] L(17, 19): 0 	
[   70.164262] L(15, 19): 0 	
[   70.193246] L(21, 19): 0 	
[   70.219484] L(10, 19): 0 	
[   70.248604] L(20, 19): 0 	
[   70.277588] L(16, 19): 0 	
[   70.298592] L(13, 19): 0 	
[   70.324833] L( 7, 19): 0 	
[   70.350750] L( 6, 19): 0 	
[   70.379762] L(19, 19): 0 	
[   70.403314] L(14, 19): 0 	
[   70.424031] L(12, 12): 0 	
[   70.444781] L( 9, 12): 0 	
[   70.465391] L(11, 12): 0 	
[   70.486138] L(18, 12): 0 	
[   70.506892] L( 8, 12): 0 	
[   70.527502] L(17, 12): 0 	
[   70.548100] L(15, 12): 0 	
[   70.568841] L(21, 12): 0 	
[   70.589612] L(10, 12): 0 	
[   70.610185] L(20, 12): 0 	
[   70.630782] L(16, 12): 0 	
[   70.651545] L(13, 12): 0 	
[   70.672313] L( 7, 12): 0 	
[   70.692558] L( 6, 12): 0 	
[   70.713156] L(19, 12): 0 	
[   70.733915] L(14, 12): 0 	
[   70.754678] L(12, 21): 0 	
[   70.780724] L( 9, 21): 0 	
[   70.806941] L(11, 21): 0 	
[   70.836073] L(18, 21): 0 	
[   70.862109] L( 8, 21): 0 	
[   70.891384] L(17, 21): 0 	
[   70.920416] L(15, 21): 0 	
[   70.949537] L(21, 21): 0 	
[   70.975771] L(10, 21): 0 	
[   71.004799] L(20, 21): 0 	
[   71.033919] L(16, 21): 0 	
[   71.054697] L(13, 21): 0 	
[   71.080737] L( 7, 21): 0 	
[   71.106625] L( 6, 21): 0 	
[   71.135759] L(19, 21): 0 	
[   71.159278] L(14, 21): 0 	
[   71.180033] L(12, 18): 0 	
[   71.206272] L( 9, 18): 0 	
[   71.232346] L(11, 18): 0 	
[   71.261447] L(18, 18): 0 	
[   71.287702] L( 8, 18): 0 	
[   71.316682] L(17, 18): 0 	
[   71.345796] L(15, 18): 0 	
[   71.375006] L(21, 18): 0 	
[   71.401258] L(10, 18): 0 	
[   71.430503] L(20, 18): 0 	
[   71.459498] L(16, 18): 0 	
[   71.480095] L(13, 18): 0 	
[   71.506476] L( 7, 18): 0 	
[   71.532229] L( 6, 18): 0 	
[   71.561335] L(19, 18): 0 	
[   71.585040] L(14, 18): 0 	
[   71.605640] L(12, 17): 0 	
[   71.631814] L( 9, 17): 0 	
[   71.658029] L(11, 17): 0 	
[   71.687034] L(18, 17): 0 	
[   71.713195] L( 8, 17): 0 	
[   71.742314] L(17, 17): 0 	
[   71.771325] L(15, 17): 0 	
[   71.800452] L(21, 17): 0 	
[   71.826656] L(10, 17): 0 	
[   71.855662] L(20, 17): 0 	
[   71.884901] L(16, 17): 0 	
[   71.905550] L(13, 17): 0 	
[   71.931738] L( 7, 17): 0 	
[   71.957639] L( 6, 17): 0 	
[   71.986648] L(19, 17): 0 	
[   72.010294] L(14, 17): 0 	
