sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[   74.462132] Insert module 
[   78.509942] L(21, 11): 467 	
[   78.530529] L( 7, 11): 369 	
[   78.556602] L(17, 11): 468 	
[   78.582632] L(19, 11): 467 	
[   78.603231] L(13, 11): 369 	
[   78.629269] L(15, 11): 467 	
[   78.649929] L(11, 11): 369 	
[   78.670534] L(10, 11): 369 	
[   78.696580] L(18, 11): 467 	
[   78.717169] L( 8, 11): 369 	
[   78.737765] L( 9, 11): 369 	
[   78.763792] L(20, 11): 467 	
[   78.784044] L( 6, 11): 363 	
[   78.804648] L(14,  7): 369 	
[   78.830682] L(16,  7): 467 	
[   78.851307] L(12,  7): 370 	
[   78.877347] L(21,  7): 467 	
[   78.897937] L( 7,  7): 369 	
[   78.923985] L(17,  7): 467 	
[   78.950056] L(19,  7): 468 	
[   78.970656] L(13,  7): 369 	
[   78.996688] L(15,  7): 467 	
[   79.017284] L(11,  7): 369 	
[   79.037877] L(10,  7): 369 	
[   79.063900] L(18,  7): 467 	
[   79.084496] L( 8,  7): 369 	
[   79.105079] L( 9,  7): 369 	
[   79.131123] L(20,  7): 467 	
[   79.151378] L( 6,  7): 363 	
[   79.171972] L(14,  8): 369 	
[   79.197999] L(16,  8): 467 	
[   79.218598] L(12,  8): 369 	
[   79.244647] L(21,  8): 467 	
[   79.265244] L( 7,  8): 369 	
[   79.291285] L(17,  8): 467 	
[   79.317361] L(19,  8): 468 	
[   79.337961] L(13,  8): 369 	
[   79.363986] L(15,  8): 467 	
[   79.384584] L(11,  8): 369 	
[   79.405172] L(10,  8): 369 	
[   79.431218] L(18,  8): 467 	
[   79.451810] L( 8,  8): 369 	
[   79.472451] L( 9,  8): 369 	
[   79.498485] L(20,  8): 467 	
[   79.518698] L( 6,  8): 362 	
[   79.538974] L(14,  6): 364 	
[   79.564684] L(16,  6): 461 	
[   79.584932] L(12,  6): 363 	
[   79.610661] L(21,  6): 462 	
[   79.630866] L( 7,  6): 362 	
[   79.656618] L(17,  6): 462 	
[   79.682338] L(19,  6): 461 	
[   79.702583] L(13,  6): 363 	
[   79.728315] L(15,  6): 462 	
[   79.748522] L(11,  6): 362 	
[   79.768751] L(10,  6): 363 	
[   79.794473] L(18,  6): 462 	
[   79.814679] L( 8,  6): 362 	
[   79.834921] L( 9,  6): 363 	
[   79.860650] L(20,  6): 461 	
[   79.880922] L( 6,  6): 363 	
[   79.904477] L(14, 18): 423 	
[   79.933463] L(16, 18): 520 	
[   79.954213] L(12, 18): 371 	
[   79.983211] L(21, 18): 520 	
[   80.009449] L( 7, 18): 470 	
[   80.039015] L(17, 18): 526 	
[   80.068046] L(19, 18): 521 	
[   80.088655] L(13, 18): 369 	
[   80.117621] L(15, 18): 520 	
[   80.143656] L(11, 18): 467 	
[   80.169713] L(10, 18): 468 	
[   80.198689] L(18, 18): 520 	
[   80.224717] L( 8, 18): 467 	
[   80.250781] L( 9, 18): 468 	
[   80.279780] L(20, 18): 521 	
[   80.305530] L( 6, 18): 462 	
[   80.326099] L(14,  9): 369 	
[   80.352161] L(16,  9): 468 	
[   80.372762] L(12,  9): 369 	
[   80.398784] L(21,  9): 467 	
[   80.419383] L( 7,  9): 369 	
[   80.445413] L(17,  9): 467 	
[   80.471478] L(19,  9): 468 	
[   80.492332] L(13,  9): 371 	
[   80.518405] L(15,  9): 468 	
[   80.539006] L(11,  9): 369 	
[   80.559565] L(10,  9): 369 	
[   80.585628] L(18,  9): 468 	
[   80.606233] L( 8,  9): 369 	
[   80.626787] L( 9,  9): 368 	
[   80.652847] L(20,  9): 468 	
[   80.673104] L( 6,  9): 363 	
[   80.692430] Remove module 
