sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  111.929222] Insert module 
[  115.736455] L(17, 11): 437 	
[  115.757029] L(10, 11): 369 	
[  115.777601] L( 9, 11): 369 	
[  115.797851] L( 6, 11): 363 	
[  115.821180] L(21, 11): 418 	
[  115.841911] L(13, 11): 372 	
[  115.866437] L(20, 11): 440 	
[  115.887026] L(11, 11): 369 	
[  115.911476] L(15, 11): 439 	
[  115.932063] L( 7, 11): 369 	
[  115.952684] L(12, 11): 370 	
[  115.973279] L( 8, 11): 369 	
[  115.997288] L(19, 11): 431 	
[  116.024068] L(18, 19): 481 	
[  116.047757] L(14, 19): 425 	
[  116.074258] L(16, 19): 476 	
[  116.100977] L(17, 19): 479 	
[  116.125260] L(10, 19): 436 	
[  116.149678] L( 9, 19): 438 	
[  116.173967] L( 6, 19): 436 	
[  116.199449] L(21, 19): 457 	
[  116.221106] L(13, 19): 388 	
[  116.246904] L(20, 19): 463 	
[  116.271542] L(11, 19): 442 	
[  116.298235] L(15, 19): 479 	
[  116.322817] L( 7, 19): 441 	
[  116.343366] L(12, 19): 368 	
[  116.367686] L( 8, 19): 436 	
[  116.394478] L(19, 19): 481 	
[  116.415103] L(18, 13): 370 	
[  116.435793] L(14, 13): 371 	
[  116.456748] L(16, 13): 376 	
[  116.477998] L(17, 13): 381 	
[  116.498711] L(10, 13): 371 	
[  116.519361] L( 9, 13): 370 	
[  116.539683] L( 6, 13): 364 	
[  116.560649] L(21, 13): 376 	
[  116.581299] L(13, 13): 370 	
[  116.602519] L(20, 13): 380 	
[  116.623382] L(11, 13): 374 	
[  116.644237] L(15, 13): 374 	
[  116.664837] L( 7, 13): 369 	
[  116.685427] L(12, 13): 369 	
[  116.706137] L( 8, 13): 371 	
[  116.727443] L(19, 13): 382 	
[  116.754583] L(18, 16): 487 	
[  116.778822] L(14, 16): 435 	
[  116.806047] L(16, 16): 489 	
[  116.833957] L(17, 16): 501 	
[  116.858605] L(10, 16): 442 	
[  116.883572] L( 9, 16): 448 	
[  116.907863] L( 6, 16): 436 	
[  116.934159] L(21, 16): 472 	
[  116.954979] L(13, 16): 373 	
[  116.981623] L(20, 16): 478 	
[  117.005831] L(11, 16): 434 	
[  117.033159] L(15, 16): 490 	
[  117.057557] L( 7, 16): 438 	
[  117.078147] L(12, 16): 369 	
[  117.102506] L( 8, 16): 437 	
[  117.128675] L(19, 16): 469 	
[  117.155547] L(18, 17): 482 	
[  117.179952] L(14, 17): 438 	
[  117.206956] L(16, 17): 485 	
[  117.233508] L(17, 17): 476 	
[  117.258066] L(10, 17): 441 	
[  117.282533] L( 9, 17): 439 	
[  117.306806] L( 6, 17): 435 	
[  117.331971] L(21, 17): 452 	
[  117.352857] L(13, 17): 374 	
[  117.379850] L(20, 17): 484 	
[  117.404591] L(11, 17): 444 	
[  117.432363] L(15, 17): 498 	
[  117.456778] L( 7, 17): 438 	
[  117.477348] L(12, 17): 369 	
[  117.501769] L( 8, 17): 438 	
[  117.529225] L(19, 17): 493 	
[  117.553365] L(18,  7): 433 	
[  117.575301] L(14,  7): 393 	
[  117.600384] L(16,  7): 450 	
[  117.624826] L(17,  7): 439 	
[  117.645425] L(10,  7): 369 	
[  117.666013] L( 9,  7): 369 	
[  117.686239] L( 6,  7): 363 	
[  117.709482] L(21,  7): 417 	
[  117.730190] L(13,  7): 371 	
[  117.754996] L(20,  7): 445 	
[  117.775561] L(11,  7): 369 	
[  117.800144] L(15,  7): 441 	
[  117.820736] L( 7,  7): 369 	
[  117.841305] L(12,  7): 369 	
[  117.861887] L( 8,  7): 369 	
[  117.886483] L(19,  7): 441 	
[  117.906814] Remove module 
