sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  105.658553] Insert module 
[  105.684805] L(18,  7): 470 	
[  105.710895] L(15,  7): 468 	
[  105.736954] L(20,  7): 468 	
[  105.762999] L(19,  7): 467 	
[  105.783600] L( 9,  7): 369 	
[  105.804190] L(14,  7): 369 	
[  105.824765] L(11,  7): 369 	
[  105.850814] L(16,  7): 467 	
[  105.876869] L(17,  7): 467 	
[  105.897466] L( 8,  7): 369 	
[  105.918060] L(13,  7): 369 	
[  105.938653] L(10,  7): 369 	
[  105.959239] L( 7,  7): 369 	
[  105.985300] L(21,  7): 468 	
[  106.005553] L( 6,  7): 363 	
[  106.026134] L(12,  7): 369 	
[  106.051892] L(18,  6): 462 	
[  106.077613] L(15,  6): 462 	
[  106.103359] L(20,  6): 462 	
[  106.129118] L(19,  6): 462 	
[  106.149356] L( 9,  6): 363 	
[  106.169630] L(14,  6): 363 	
[  106.189883] L(11,  6): 363 	
[  106.215596] L(16,  6): 461 	
[  106.241323] L(17,  6): 462 	
[  106.261554] L( 8,  6): 363 	
[  106.281822] L(13,  6): 363 	
[  106.302069] L(10,  6): 363 	
[  106.322288] L( 7,  6): 362 	
[  106.348007] L(21,  6): 461 	
[  106.368292] L( 6,  6): 364 	
[  106.388555] L(12,  6): 363 	
[  106.417528] L(18, 20): 520 	
[  106.446509] L(15, 20): 520 	
[  106.475490] L(20, 20): 520 	
[  106.504478] L(19, 20): 520 	
[  106.530519] L( 9, 20): 467 	
[  106.554048] L(14, 20): 422 	
[  106.580070] L(11, 20): 467 	
[  106.609043] L(16, 20): 520 	
[  106.638046] L(17, 20): 521 	
[  106.664075] L( 8, 20): 467 	
[  106.684667] L(13, 20): 369 	
[  106.710694] L(10, 20): 467 	
[  106.736778] L( 7, 20): 468 	
[  106.765759] L(21, 20): 520 	
[  106.791463] L( 6, 20): 461 	
[  106.812064] L(12, 20): 369 	
[  106.841054] L(18, 16): 520 	
[  106.870052] L(15, 16): 520 	
[  106.899026] L(20, 16): 520 	
[  106.928012] L(19, 16): 520 	
[  106.954070] L( 9, 16): 468 	
[  106.977576] L(14, 16): 422 	
[  107.003640] L(11, 16): 468 	
[  107.032609] L(16, 16): 520 	
[  107.061588] L(17, 16): 520 	
[  107.087642] L( 8, 16): 467 	
[  107.108213] L(13, 16): 369 	
[  107.134267] L(10, 16): 468 	
[  107.160345] L( 7, 16): 468 	
[  107.189340] L(21, 16): 520 	
[  107.215055] L( 6, 16): 461 	
[  107.235733] L(12, 16): 371 	
[  107.264801] L(18, 19): 522 	
[  107.293792] L(15, 19): 520 	
[  107.322828] L(20, 19): 521 	
[  107.351814] L(19, 19): 520 	
[  107.377904] L( 9, 19): 468 	
[  107.401500] L(14, 19): 423 	
[  107.427615] L(11, 19): 469 	
[  107.456688] L(16, 19): 522 	
[  107.485729] L(17, 19): 521 	
[  107.511841] L( 8, 19): 469 	
[  107.532441] L(13, 19): 369 	
[  107.558471] L(10, 19): 467 	
[  107.584578] L( 7, 19): 468 	
[  107.613602] L(21, 19): 521 	
[  107.639441] L( 6, 19): 464 	
[  107.660065] L(12, 19): 370 	
[  107.689143] L(18, 21): 522 	
[  107.718200] L(15, 21): 522 	
[  107.747269] L(20, 21): 521 	
[  107.776279] L(19, 21): 521 	
[  107.802406] L( 9, 21): 469 	
[  107.825969] L(14, 21): 423 	
[  107.852041] L(11, 21): 468 	
[  107.881047] L(16, 21): 521 	
[  107.910108] L(17, 21): 522 	
[  107.936322] L( 8, 21): 470 	
[  107.956953] L(13, 21): 370 	
[  107.983014] L(10, 21): 468 	
[  108.009061] L( 7, 21): 467 	
[  108.038066] L(21, 21): 521 	
[  108.063789] L( 6, 21): 462 	
[  108.084389] L(12, 21): 369 	
[  108.113369] L(18, 18): 520 	
[  108.142347] L(15, 18): 520 	
[  108.171391] L(20, 18): 521 	
[  108.200374] L(19, 18): 520 	
[  108.226413] L( 9, 18): 467 	
[  108.249946] L(14, 18): 422 	
