sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  117.990264] Insert module 
[  118.011028] L(15, 12): 372 	
[  118.031636] L( 9, 12): 369 	
[  118.052251] L(13, 12): 370 	
[  118.072854] L( 7, 12): 369 	
[  118.093420] L(11, 12): 369 	
[  118.114114] L( 8, 12): 371 	
[  118.134741] L(20, 12): 370 	
[  118.155404] L(18, 12): 370 	
[  118.175984] L(21, 12): 369 	
[  118.196251] L( 6, 12): 363 	
[  118.216852] L(17, 12): 369 	
[  118.237461] L(16, 12): 369 	
[  118.258059] L(12, 12): 369 	
[  118.278670] L(14, 12): 370 	
[  118.299276] L(10, 12): 369 	
[  118.319871] L(19, 12): 369 	
[  118.345848] L(15, 11): 466 	
[  118.366444] L( 9, 11): 369 	
[  118.387047] L(13, 11): 369 	
[  118.407615] L( 7, 11): 369 	
[  118.428208] L(11, 11): 369 	
[  118.448799] L( 8, 11): 369 	
[  118.474237] L(20, 11): 456 	
[  118.500138] L(18, 11): 465 	
[  118.526009] L(21, 11): 464 	
[  118.546257] L( 6, 11): 363 	
[  118.572090] L(17, 11): 464 	
[  118.598118] L(16, 11): 467 	
[  118.618715] L(12, 11): 369 	
[  118.639592] L(14, 11): 374 	
[  118.660151] L(10, 11): 369 	
[  118.685941] L(19, 11): 463 	
[  118.706552] L(15, 13): 370 	
[  118.727122] L( 9, 13): 369 	
[  118.747719] L(13, 13): 369 	
[  118.768324] L( 7, 13): 369 	
[  118.788917] L(11, 13): 369 	
[  118.809486] L( 8, 13): 369 	
[  118.830089] L(20, 13): 369 	
[  118.850706] L(18, 13): 369 	
[  118.871317] L(21, 13): 370 	
[  118.891548] L( 6, 13): 363 	
[  118.912142] L(17, 13): 369 	
[  118.932747] L(16, 13): 369 	
[  118.953368] L(12, 13): 370 	
[  118.973943] L(14, 13): 369 	
[  118.994544] L(10, 13): 369 	
[  119.015244] L(19, 13): 371 	
[  119.041265] L(15,  9): 467 	
[  119.061861] L( 9,  9): 369 	
[  119.082451] L(13,  9): 369 	
[  119.103050] L( 7,  9): 369 	
[  119.123630] L(11,  9): 369 	
[  119.144196] L( 8,  9): 369 	
[  119.170139] L(20,  9): 465 	
[  119.195951] L(18,  9): 463 	
[  119.221582] L(21,  9): 460 	
[  119.241797] L( 6,  9): 362 	
[  119.267754] L(17,  9): 466 	
[  119.293781] L(16,  9): 467 	
[  119.314375] L(12,  9): 369 	
[  119.335092] L(14,  9): 371 	
[  119.355688] L(10,  9): 369 	
[  119.381554] L(19,  9): 464 	
[  119.410317] L(15, 17): 516 	
[  119.436328] L( 9, 17): 467 	
[  119.456928] L(13, 17): 369 	
[  119.482862] L( 7, 17): 465 	
[  119.508723] L(11, 17): 464 	
[  119.534499] L( 8, 17): 463 	
[  119.563152] L(20, 17): 514 	
[  119.591644] L(18, 17): 511 	
[  119.620037] L(21, 17): 510 	
[  119.645694] L( 6, 17): 460 	
[  119.674558] L(17, 17): 518 	
[  119.703189] L(16, 17): 514 	
[  119.723762] L(12, 17): 369 	
[  119.747568] L(14, 17): 427 	
[  119.773180] L(10, 17): 460 	
[  119.801716] L(19, 17): 512 	
[  119.827694] L(15,  8): 466 	
[  119.848287] L( 9,  8): 369 	
[  119.868888] L(13,  8): 369 	
[  119.889465] L( 7,  8): 369 	
[  119.910030] L(11,  8): 369 	
[  119.930617] L( 8,  8): 369 	
[  119.956251] L(20,  8): 460 	
[  119.982178] L(18,  8): 465 	
[  120.007935] L(21,  8): 462 	
[  120.028175] L( 6,  8): 363 	
[  120.053971] L(17,  8): 463 	
[  120.079971] L(16,  8): 466 	
[  120.100578] L(12,  8): 369 	
[  120.121338] L(14,  8): 372 	
[  120.141896] L(10,  8): 369 	
[  120.167526] L(19,  8): 460 	
[  120.191046] L(15, 14): 422 	
[  120.211732] L( 9, 14): 370 	
[  120.232325] L(13, 14): 369 	
[  120.253081] L( 7, 14): 372 	
[  120.273733] L(11, 14): 370 	
[  120.294582] L( 8, 14): 374 	
[  120.318273] L(20, 14): 425 	
[  120.342223] L(18, 14): 430 	
[  120.366080] L(21, 14): 428 	
[  120.386579] L( 6, 14): 368 	
[  120.410374] L(17, 14): 427 	
[  120.433961] L(16, 14): 423 	
[  120.454658] L(12, 14): 371 	
[  120.478370] L(14, 14): 425 	
[  120.499376] L(10, 14): 377 	
[  120.523511] L(19, 14): 433 	
[  120.552390] L(15, 20): 518 	
[  120.578368] L( 9, 20): 466 	
[  120.599187] L(13, 20): 373 	
[  120.625115] L( 7, 20): 465 	
[  120.651057] L(11, 20): 466 	
[  120.676867] L( 8, 20): 463 	
[  120.705548] L(20, 20): 515 	
[  120.733928] L(18, 20): 509 	
[  120.762522] L(21, 20): 513 	
[  120.788051] L( 6, 20): 458 	
[  120.816383] L(17, 20): 509 	
[  120.845085] L(16, 20): 515 	
[  120.865689] L(12, 20): 369 	
[  120.889609] L(14, 20): 429 	
[  120.915263] L(10, 20): 460 	
[  120.943867] L(19, 20): 513 	
[  120.972836] L(15, 16): 520 	
[  120.998806] L( 9, 16): 466 	
[  121.019413] L(13, 16): 369 	
[  121.045442] L( 7, 16): 467 	
[  121.071397] L(11, 16): 466 	
[  121.097383] L( 8, 16): 466 	
[  121.126182] L(20, 16): 517 	
[  121.154802] L(18, 16): 514 	
[  121.183511] L(21, 16): 515 	
[  121.210450] L( 6, 16): 483 	
[  121.239528] L(17, 16): 521 	
[  121.268402] L(16, 16): 518 	
[  121.289004] L(12, 16): 369 	
[  121.312792] L(14, 16): 427 	
[  121.338827] L(10, 16): 467 	
[  121.367537] L(19, 16): 515 	
[  121.393092] L(15,  6): 459 	
[  121.413323] L( 9,  6): 363 	
[  121.433626] L(13,  6): 364 	
[  121.453879] L( 7,  6): 363 	
[  121.474084] L(11,  6): 362 	
[  121.494350] L( 8,  6): 363 	
[  121.519776] L(20,  6): 456 	
[  121.545123] L(18,  6): 455 	
[  121.570599] L(21,  6): 457 	
[  121.590847] L( 6,  6): 363 	
[  121.616487] L(17,  6): 460 	
[  121.642152] L(16,  6): 461 	
[  121.662435] L(12,  6): 364 	
[  121.682818] L(14,  6): 365 	
[  121.703044] L(10,  6): 363 	
[  121.728274] L(19,  6): 453 	
[  121.757108] L(15, 15): 518 	
[  121.782994] L( 9, 15): 464 	
[  121.803590] L(13, 15): 369 	
[  121.829413] L( 7, 15): 463 	
[  121.855312] L(11, 15): 465 	
[  121.881178] L( 8, 15): 464 	
[  121.909932] L(20, 15): 516 	
[  121.938769] L(18, 15): 518 	
[  121.967611] L(21, 15): 518 	
[  121.993214] L( 6, 15): 459 	
[  122.021975] L(17, 15): 516 	
[  122.050876] L(16, 15): 519 	
[  122.071483] L(12, 15): 369 	
[  122.095053] L(14, 15): 423 	
[  122.120853] L(10, 15): 463 	
[  122.149503] L(19, 15): 514 	
[  122.178339] L(15, 19): 518 	
[  122.204243] L( 9, 19): 465 	
[  122.224796] L(13, 19): 368 	
[  122.250742] L( 7, 19): 465 	
[  122.276547] L(11, 19): 463 	
[  122.302456] L( 8, 19): 465 	
[  122.331057] L(20, 19): 513 	
[  122.359616] L(18, 19): 512 	
[  122.387961] L(21, 19): 509 	
[  122.413402] L( 6, 19): 456 	
[  122.441895] L(17, 19): 511 	
[  122.470568] L(16, 19): 515 	
[  122.491143] L(12, 19): 369 	
[  122.515226] L(14, 19): 432 	
[  122.541148] L(10, 19): 465 	
[  122.569826] L(19, 19): 515 	
[  122.595750] L(15, 10): 465 	
[  122.616348] L( 9, 10): 369 	
[  122.636939] L(13, 10): 369 	
[  122.657507] L( 7, 10): 369 	
[  122.678098] L(11, 10): 369 	
[  122.698683] L( 8, 10): 369 	
[  122.724228] L(20, 10): 458 	
[  122.750006] L(18, 10): 463 	
[  122.775935] L(21, 10): 465 	
[  122.796174] L( 6, 10): 363 	
[  122.822030] L(17, 10): 464 	
[  122.847948] L(16, 10): 465 	
[  122.868545] L(12, 10): 369 	
[  122.889364] L(14, 10): 373 	
[  122.909927] L(10, 10): 369 	
[  122.935448] L(19, 10): 458 	
[  122.964329] L(15, 18): 518 	
[  122.989996] L( 9, 18): 461 	
[  123.010579] L(13, 18): 369 	
[  123.036145] L( 7, 18): 459 	
[  123.061967] L(11, 18): 463 	
[  123.087754] L( 8, 18): 463 	
[  123.116241] L(20, 18): 511 	
[  123.144904] L(18, 18): 514 	
[  123.173200] L(21, 18): 508 	
[  123.198541] L( 6, 18): 455 	
[  123.226653] L(17, 18): 505 	
[  123.255437] L(16, 18): 517 	
[  123.276038] L(12, 18): 369 	
[  123.299974] L(14, 18): 429 	
[  123.325731] L(10, 18): 462 	
[  123.353921] L(19, 18): 506 	
[  123.382535] L(15, 21): 514 	
[  123.408494] L( 9, 21): 466 	
[  123.429122] L(13, 21): 370 	
[  123.454882] L( 7, 21): 462 	
[  123.480390] L(11, 21): 458 	
[  123.506207] L( 8, 21): 463 	
[  123.534587] L(20, 21): 509 	
[  123.562761] L(18, 21): 506 	
[  123.591349] L(21, 21): 513 	
[  123.616776] L( 6, 21): 456 	
[  123.645530] L(17, 21): 516 	
[  123.674232] L(16, 21): 515 	
[  123.694838] L(12, 21): 369 	
[  123.718829] L(14, 21): 430 	
[  123.744584] L(10, 21): 462 	
[  123.773160] L(19, 21): 513 	
[  123.799124] L(15,  7): 466 	
[  123.819724] L( 9,  7): 369 	
[  123.840319] L(13,  7): 369 	
[  123.860883] L( 7,  7): 369 	
[  123.881482] L(11,  7): 369 	
[  123.902072] L( 8,  7): 369 	
[  123.927784] L(20,  7): 461 	
[  123.953634] L(18,  7): 464 	
[  123.979339] L(21,  7): 461 	
[  123.999604] L( 6,  7): 363 	
[  124.025527] L(17,  7): 465 	
[  124.051586] L(16,  7): 468 	
[  124.072192] L(12,  7): 369 	
[  124.092918] L(14,  7): 372 	
[  124.113513] L(10,  7): 369 	
[  124.139247] L(19,  7): 462 	
[  124.158383] Remove module 
