sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  185.965676] Insert module 
[  185.986955] L(13,  9): 372 	
[  186.007540] L( 9,  9): 369 	
[  186.032765] L(16,  9): 453 	
[  186.053409] L( 7,  9): 370 	
[  186.073986] L( 8,  9): 369 	
[  186.099063] L(17,  9): 450 	
[  186.124175] L(15,  9): 451 	
[  186.148176] L(21,  9): 431 	
[  186.169487] L(14,  9): 382 	
[  186.194597] L(20,  9): 451 	
[  186.215202] L(12,  9): 369 	
[  186.235796] L(10,  9): 369 	
[  186.256035] L( 6,  9): 363 	
[  186.280531] L(19,  9): 439 	
[  186.305121] L(18,  9): 441 	
[  186.325704] L(11,  9): 369 	
[  186.346315] L(13, 17): 369 	
[  186.371281] L( 9, 17): 448 	
[  186.398944] L(16, 17): 496 	
[  186.423738] L( 7, 17): 445 	
[  186.449308] L( 8, 17): 459 	
[  186.477626] L(17, 17): 508 	
[  186.505540] L(15, 17): 501 	
[  186.532010] L(21, 17): 475 	
[  186.556698] L(14, 17): 443 	
[  186.584260] L(20, 17): 495 	
[  186.604860] L(12, 17): 369 	
[  186.629910] L(10, 17): 449 	
[  186.654949] L( 6, 17): 449 	
[  186.682063] L(19, 17): 487 	
[  186.710067] L(18, 17): 503 	
[  186.735524] L(11, 17): 457 	
[  186.756127] L(13, 20): 369 	
[  186.780950] L( 9, 20): 445 	
[  186.809379] L(16, 20): 510 	
[  186.834731] L( 7, 20): 455 	
[  186.859720] L( 8, 20): 448 	
[  186.887357] L(17, 20): 496 	
[  186.915085] L(15, 20): 498 	
[  186.941659] L(21, 20): 477 	
[  186.966141] L(14, 20): 439 	
[  186.993700] L(20, 20): 495 	
[  187.014299] L(12, 20): 369 	
[  187.039218] L(10, 20): 447 	
[  187.063938] L( 6, 20): 443 	
[  187.091506] L(19, 20): 495 	
[  187.119523] L(18, 20): 503 	
[  187.144628] L(11, 20): 450 	
[  187.165223] L(13, 15): 369 	
[  187.190557] L( 9, 15): 455 	
[  187.218623] L(16, 15): 504 	
[  187.243667] L( 7, 15): 449 	
[  187.268958] L( 8, 15): 454 	
[  187.297339] L(17, 15): 509 	
[  187.325273] L(15, 15): 501 	
[  187.352641] L(21, 15): 491 	
[  187.377144] L(14, 15): 440 	
[  187.404886] L(20, 15): 498 	
[  187.425451] L(12, 15): 369 	
[  187.450539] L(10, 15): 450 	
[  187.475369] L( 6, 15): 445 	
[  187.503166] L(19, 15): 499 	
[  187.531041] L(18, 15): 500 	
[  187.556175] L(11, 15): 451 	
[  187.576748] L(13,  7): 369 	
[  187.597336] L( 9,  7): 369 	
[  187.622145] L(16,  7): 445 	
[  187.642697] L( 7,  7): 368 	
[  187.663286] L( 8,  7): 369 	
[  187.688362] L(17,  7): 450 	
[  187.713577] L(15,  7): 452 	
[  187.737950] L(21,  7): 437 	
[  187.759387] L(14,  7): 384 	
[  187.784323] L(20,  7): 447 	
[  187.804928] L(12,  7): 369 	
[  187.825486] L(10,  7): 369 	
[  187.845748] L( 6,  7): 363 	
[  187.870581] L(19,  7): 446 	
[  187.894679] L(18,  7): 432 	
[  187.915290] L(11,  7): 370 	
[  187.935927] L(13, 13): 370 	
[  187.956590] L( 9, 13): 370 	
[  187.977203] L(16, 13): 369 	
[  187.997835] L( 7, 13): 370 	
[  188.018668] L( 8, 13): 373 	
[  188.039318] L(17, 13): 370 	
[  188.059889] L(15, 13): 369 	
[  188.080503] L(21, 13): 370 	
[  188.101102] L(14, 13): 369 	
[  188.121699] L(20, 13): 369 	
[  188.142278] L(12, 13): 369 	
[  188.162871] L(10, 13): 369 	
