sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[   80.761764] Insert module 
[   84.654696] L(13, 17): 369 	
[   84.683669] L(18, 17): 520 	
[   84.709698] L( 7, 17): 467 	
[   84.738691] L(15, 17): 520 	
[   84.762195] L(14, 17): 422 	
[   84.791172] L(21, 17): 520 	
[   84.817219] L( 9, 17): 467 	
[   84.846187] L(17, 17): 520 	
[   84.872237] L(10, 17): 467 	
[   84.892801] L(12, 17): 369 	
[   84.918863] L(11, 17): 468 	
[   84.947853] L(16, 17): 520 	
[   84.976835] L(20, 17): 520 	
[   84.997146] L( 6,  6): 364 	
[   85.017410] L( 8,  6): 363 	
[   85.043139] L(19,  6): 462 	
[   85.063425] L(13,  6): 363 	
[   85.089180] L(18,  6): 462 	
[   85.109394] L( 7,  6): 362 	
[   85.135139] L(15,  6): 462 	
[   85.155427] L(14,  6): 364 	
[   85.181136] L(21,  6): 461 	
[   85.201399] L( 9,  6): 363 	
[   85.227123] L(17,  6): 462 	
[   85.247359] L(10,  6): 363 	
[   85.267637] L(12,  6): 364 	
[   85.287868] L(11,  6): 363 	
[   85.313595] L(16,  6): 462 	
[   85.339344] L(20,  6): 462 	
[   85.365052] L( 6, 21): 461 	
[   85.391131] L( 8, 21): 467 	
[   85.420139] L(19, 21): 521 	
[   85.440713] L(13, 21): 369 	
[   85.469695] L(18, 21): 520 	
[   85.495738] L( 7, 21): 467 	
[   85.524715] L(15, 21): 520 	
[   85.548267] L(14, 21): 422 	
[   85.577252] L(21, 21): 520 	
[   85.603319] L( 9, 21): 468 	
[   85.632293] L(17, 21): 520 	
[   85.658320] L(10, 21): 467 	
[   85.678922] L(12, 21): 369 	
[   85.704976] L(11, 21): 468 	
[   85.733958] L(16, 21): 520 	
[   85.762944] L(20, 21): 520 	
[   85.788697] L( 6, 18): 462 	
[   85.814716] L( 8, 18): 467 	
[   85.843689] L(19, 18): 520 	
[   85.864274] L(13, 18): 369 	
[   85.893260] L(18, 18): 520 	
[   85.919314] L( 7, 18): 468 	
[   85.948297] L(15, 18): 520 	
[   85.971834] L(14, 18): 422 	
[   86.000815] L(21, 18): 520 	
[   86.026906] L( 9, 18): 468 	
[   86.055918] L(17, 18): 521 	
[   86.081954] L(10, 18): 467 	
[   86.102557] L(12, 18): 369 	
[   86.128597] L(11, 18): 467 	
[   86.157589] L(16, 18): 520 	
[   86.186594] L(20, 18): 521 	
[   86.206870] L( 6, 13): 363 	
[   86.227441] L( 8, 13): 369 	
[   86.248046] L(19, 13): 369 	
[   86.268643] L(13, 13): 369 	
[   86.289228] L(18, 13): 369 	
[   86.309803] L( 7, 13): 369 	
[   86.330398] L(15, 13): 369 	
[   86.350992] L(14, 13): 369 	
[   86.371592] L(21, 13): 369 	
[   86.392154] L( 9, 13): 369 	
[   86.412800] L(17, 13): 370 	
[   86.433405] L(10, 13): 369 	
[   86.453996] L(12, 13): 369 	
[   86.474561] L(11, 13): 369 	
[   86.495167] L(16, 13): 369 	
[   86.515768] L(20, 13): 369 	
[   86.541491] L( 6, 15): 462 	
[   86.567545] L( 8, 15): 468 	
[   86.596522] L(19, 15): 520 	
[   86.617124] L(13, 15): 369 	
[   86.646101] L(18, 15): 520 	
[   86.672161] L( 7, 15): 468 	
[   86.701161] L(15, 15): 521 	
[   86.724677] L(14, 15): 422 	
[   86.753667] L(21, 15): 520 	
[   86.779707] L( 9, 15): 467 	
[   86.808681] L(17, 15): 520 	
[   86.834741] L(10, 15): 468 	
[   86.855336] L(12, 15): 369 	
[   86.881373] L(11, 15): 467 	
[   86.910347] L(16, 15): 520 	
[   86.939355] L(20, 15): 521 	
[   86.958547] Remove module 
