sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  198.273168] Insert module 
[  198.293946] L(13, 17): 372 	
[  198.321711] L(20, 17): 498 	
[  198.349734] L(16, 17): 503 	
[  198.377745] L(18, 17): 503 	
[  198.405918] L(15, 17): 506 	
[  198.433158] L(21, 17): 489 	
[  198.458233] L( 8, 17): 450 	
[  198.483525] L(11, 17): 454 	
[  198.507603] L(14, 17): 432 	
[  198.532634] L(10, 17): 449 	
[  198.553239] L(12, 17): 369 	
[  198.578414] L( 9, 17): 452 	
[  198.606589] L(17, 17): 506 	
[  198.633990] L(19, 17): 492 	
[  198.659135] L( 7, 17): 451 	
[  198.684071] L( 6, 17): 447 	
[  198.704669] L(13,  8): 369 	
[  198.729444] L(20,  8): 444 	
[  198.754687] L(16,  8): 453 	
[  198.779724] L(18,  8): 449 	
[  198.805240] L(15,  8): 458 	
[  198.830130] L(21,  8): 447 	
[  198.850764] L( 8,  8): 370 	
[  198.871353] L(11,  8): 369 	
[  198.892238] L(14,  8): 374 	
[  198.912829] L(10,  8): 369 	
[  198.933424] L(12,  8): 369 	
[  198.954035] L( 9,  8): 370 	
[  198.979145] L(17,  8): 450 	
[  199.003994] L(19,  8): 446 	
[  199.024559] L( 7,  8): 369 	
[  199.044805] L( 6,  8): 363 	
[  199.065410] L(13, 10): 369 	
[  199.090230] L(20, 10): 445 	
[  199.115772] L(16, 10): 458 	
[  199.140714] L(18, 10): 447 	
[  199.165575] L(15, 10): 446 	
[  199.190689] L(21, 10): 451 	
[  199.211284] L( 8, 10): 369 	
[  199.231873] L(11, 10): 369 	
[  199.252800] L(14, 10): 375 	
[  199.273391] L(10, 10): 369 	
[  199.293961] L(12, 10): 369 	
[  199.314556] L( 9, 10): 369 	
[  199.339684] L(17, 10): 451 	
[  199.364951] L(19, 10): 453 	
[  199.385546] L( 7, 10): 369 	
[  199.405758] L( 6, 10): 362 	
[  199.426328] L(13, 16): 369 	
[  199.454189] L(20, 16): 500 	
[  199.482403] L(16, 16): 506 	
[  199.510445] L(18, 16): 503 	
[  199.538400] L(15, 16): 502 	
[  199.565747] L(21, 16): 491 	
[  199.591339] L( 8, 16): 459 	
[  199.616576] L(11, 16): 453 	
[  199.641389] L(14, 16): 445 	
[  199.666803] L(10, 16): 456 	
[  199.687400] L(12, 16): 369 	
[  199.712506] L( 9, 16): 450 	
[  199.740572] L(17, 16): 504 	
[  199.768953] L(19, 16): 509 	
[  199.794548] L( 7, 16): 459 	
[  199.819514] L( 6, 16): 448 	
[  199.840118] L(13, 13): 369 	
[  199.860687] L(20, 13): 369 	
[  199.881273] L(16, 13): 369 	
[  199.901915] L(18, 13): 370 	
[  199.922519] L(15, 13): 369 	
[  199.943085] L(21, 13): 369 	
[  199.963705] L( 8, 13): 370 	
[  199.984308] L(11, 13): 369 	
[  200.004905] L(14, 13): 369 	
[  200.025540] L(10, 13): 370 	
[  200.046152] L(12, 13): 370 	
[  200.066762] L( 9, 13): 370 	
[  200.087368] L(17, 13): 369 	
[  200.107928] L(19, 13): 369 	
[  200.128529] L( 7, 13): 369 	
[  200.148829] L( 6, 13): 364 	
[  200.169425] L(13, 12): 369 	
[  200.190032] L(20, 12): 369 	
[  200.210606] L(16, 12): 369 	
[  200.231199] L(18, 12): 369 	
[  200.251802] L(15, 12): 369 	
[  200.272409] L(21, 12): 369 	
[  200.292973] L( 8, 12): 369 	
[  200.313583] L(11, 12): 370 	
[  200.334189] L(14, 12): 369 	
[  200.354790] L(10, 12): 369 	
[  200.375365] L(12, 12): 369 	
[  200.395956] L( 9, 12): 369 	
