sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  130.488409] Insert module 
[  130.514516] L(21, 10): 468 	
[  130.534796] L( 6, 10): 364 	
[  130.560832] L(17, 10): 467 	
[  130.581436] L( 9, 10): 369 	
[  130.602162] L(14, 10): 372 	
[  130.622970] L(12, 10): 372 	
[  130.648979] L(20, 10): 467 	
[  130.674964] L(15, 10): 466 	
[  130.700868] L(18, 10): 465 	
[  130.721461] L(10, 10): 369 	
[  130.747346] L(19, 10): 464 	
[  130.767947] L( 8, 10): 369 	
[  130.788531] L( 7, 10): 369 	
[  130.809102] L(13, 10): 369 	
[  130.835169] L(16, 10): 468 	
[  130.855791] L(11, 10): 369 	
[  130.881710] L(21, 11): 465 	
[  130.901936] L( 6, 11): 363 	
[  130.927755] L(17, 11): 463 	
[  130.948366] L( 9, 11): 370 	
[  130.969078] L(14, 11): 371 	
[  130.989689] L(12, 11): 370 	
[  131.015606] L(20, 11): 465 	
[  131.041635] L(15, 11): 467 	
[  131.067632] L(18, 11): 466 	
[  131.088218] L(10, 11): 369 	
[  131.114092] L(19, 11): 464 	
[  131.134674] L( 8, 11): 369 	
[  131.155265] L( 7, 11): 369 	
[  131.175833] L(13, 11): 369 	
[  131.201840] L(16, 11): 467 	
[  131.222442] L(11, 11): 369 	
[  131.248362] L(21,  9): 465 	
[  131.268610] L( 6,  9): 363 	
[  131.294637] L(17,  9): 467 	
[  131.315231] L( 9,  9): 369 	
[  131.335831] L(14,  9): 369 	
[  131.356434] L(12,  9): 369 	
[  131.382363] L(20,  9): 465 	
[  131.408278] L(15,  9): 465 	
[  131.434221] L(18,  9): 466 	
[  131.454831] L(10,  9): 370 	
[  131.480702] L(19,  9): 464 	
[  131.501291] L( 8,  9): 369 	
[  131.521888] L( 7,  9): 369 	
[  131.542449] L(13,  9): 369 	
[  131.568409] L(16,  9): 466 	
[  131.589000] L(11,  9): 369 	
[  131.617762] L(21, 21): 516 	
[  131.643432] L( 6, 21): 461 	
[  131.672154] L(17, 21): 516 	
[  131.698016] L( 9, 21): 464 	
[  131.721616] L(14, 21): 423 	
[  131.742189] L(12, 21): 369 	
[  131.770872] L(20, 21): 515 	
[  131.799520] L(15, 21): 514 	
[  131.828277] L(18, 21): 516 	
[  131.854312] L(10, 21): 467 	
[  131.882995] L(19, 21): 514 	
[  131.908815] L( 8, 21): 463 	
[  131.934715] L( 7, 21): 465 	
[  131.955438] L(13, 21): 372 	
[  131.984315] L(16, 21): 518 	
[  132.010271] L(11, 21): 466 	
[  132.039220] L(21, 15): 520 	
[  132.064877] L( 6, 15): 460 	
[  132.093637] L(17, 15): 516 	
[  132.119634] L( 9, 15): 466 	
[  132.143203] L(14, 15): 423 	
[  132.163804] L(12, 15): 369 	
[  132.192787] L(20, 15): 520 	
[  132.221689] L(15, 15): 519 	
[  132.250565] L(18, 15): 518 	
[  132.276436] L(10, 15): 464 	
[  132.305273] L(19, 15): 518 	
[  132.331263] L( 8, 15): 466 	
[  132.357305] L( 7, 15): 467 	
[  132.377894] L(13, 15): 369 	
[  132.406789] L(16, 15): 519 	
[  132.432767] L(11, 15): 466 	
[  132.453369] L(21, 12): 369 	
[  132.473617] L( 6, 12): 363 	
[  132.494217] L(17, 12): 369 	
[  132.514824] L( 9, 12): 369 	
[  132.535419] L(14, 12): 369 	
[  132.556018] L(12, 12): 369 	
[  132.576591] L(20, 12): 369 	
[  132.597182] L(15, 12): 369 	
[  132.617783] L(18, 12): 369 	
[  132.638387] L(10, 12): 369 	
[  132.658953] L(19, 12): 369 	
[  132.679658] L( 8, 12): 371 	
[  132.700479] L( 7, 12): 373 	
[  132.721288] L(13, 12): 373 	
[  132.742010] L(16, 12): 372 	
[  132.762595] L(11, 12): 369 	
[  132.783192] L(21, 13): 369 	
[  132.803469] L( 6, 13): 364 	
[  132.824025] L(17, 13): 369 	
[  132.844641] L( 9, 13): 369 	
[  132.865243] L(14, 13): 369 	
[  132.885834] L(12, 13): 369 	
[  132.906436] L(20, 13): 369 	
[  132.927003] L(15, 13): 369 	
[  132.947600] L(18, 13): 369 	
[  132.968207] L(10, 13): 369 	
[  132.988797] L(19, 13): 369 	
[  133.009366] L( 8, 13): 369 	
[  133.029971] L( 7, 13): 369 	
[  133.050561] L(13, 13): 369 	
[  133.071162] L(16, 13): 369 	
[  133.091736] L(11, 13): 369 	
[  133.115263] L(21, 14): 422 	
[  133.135582] L( 6, 14): 364 	
[  133.159201] L(17, 14): 424 	
[  133.179779] L( 9, 14): 369 	
[  133.203330] L(14, 14): 422 	
[  133.223902] L(12, 14): 369 	
[  133.247421] L(20, 14): 422 	
[  133.271076] L(15, 14): 424 	
[  133.294620] L(18, 14): 422 	
[  133.315225] L(10, 14): 369 	
[  133.338761] L(19, 14): 422 	
[  133.359326] L( 8, 14): 369 	
[  133.379932] L( 7, 14): 369 	
[  133.400532] L(13, 14): 369 	
[  133.424152] L(16, 14): 424 	
[  133.444755] L(11, 14): 369 	
[  133.473691] L(21, 19): 519 	
[  133.499429] L( 6, 19): 462 	
[  133.528315] L(17, 19): 518 	
[  133.554323] L( 9, 19): 467 	
[  133.577977] L(14, 19): 424 	
