sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[   93.133389] Insert module 
[   93.159571] L(11, 18): 469 	
[   93.185593] L( 9, 18): 467 	
[   93.211324] L( 6, 18): 462 	
[   93.237330] L( 8, 18): 467 	
[   93.266258] L(21, 18): 519 	
[   93.289805] L(14, 18): 422 	
[   93.318790] L(20, 18): 520 	
[   93.339392] L(13, 18): 369 	
[   93.359963] L(12, 18): 369 	
[   93.388791] L(15, 18): 517 	
[   93.417761] L(16, 18): 520 	
[   93.446744] L(19, 18): 520 	
[   93.472695] L( 7, 18): 466 	
[   93.498722] L(10, 18): 467 	
[   93.527648] L(17, 18): 519 	
[   93.556646] L(18, 18): 520 	
[   93.582642] L(11, 20): 466 	
[   93.608673] L( 9, 20): 467 	
[   93.634420] L( 6, 20): 462 	
[   93.660450] L( 8, 20): 467 	
[   93.689382] L(21, 20): 519 	
[   93.712905] L(14, 20): 422 	
[   93.741835] L(20, 20): 519 	
[   93.762445] L(13, 20): 370 	
[   93.783051] L(12, 20): 369 	
[   93.812030] L(15, 20): 520 	
[   93.840853] L(16, 20): 517 	
[   93.869833] L(19, 20): 520 	
[   93.895819] L( 7, 20): 466 	
[   93.921873] L(10, 20): 467 	
[   93.950867] L(17, 20): 520 	
[   93.979850] L(18, 20): 520 	
[   94.000121] L(11,  6): 363 	
[   94.020354] L( 9,  6): 363 	
[   94.040617] L( 6,  6): 363 	
[   94.060879] L( 8,  6): 363 	
[   94.086626] L(21,  6): 462 	
[   94.106943] L(14,  6): 364 	
[   94.132673] L(20,  6): 462 	
[   94.152928] L(13,  6): 363 	
[   94.173207] L(12,  6): 364 	
[   94.198875] L(15,  6): 461 	
[   94.224594] L(16,  6): 461 	
[   94.250287] L(19,  6): 461 	
[   94.270517] L( 7,  6): 363 	
[   94.290750] L(10,  6): 363 	
[   94.316505] L(17,  6): 462 	
[   94.342173] L(18,  6): 461 	
[   94.362775] L(11, 13): 369 	
[   94.383366] L( 9, 13): 369 	
[   94.403645] L( 6, 13): 364 	
[   94.424216] L( 8, 13): 369 	
[   94.444815] L(21, 13): 369 	
[   94.465421] L(14, 13): 369 	
[   94.486017] L(20, 13): 369 	
[   94.506617] L(13, 13): 369 	
[   94.527191] L(12, 13): 369 	
[   94.547787] L(15, 13): 369 	
[   94.568386] L(16, 13): 369 	
[   94.588988] L(19, 13): 369 	
[   94.609552] L( 7, 13): 369 	
[   94.630153] L(10, 13): 369 	
[   94.650754] L(17, 13): 369 	
[   94.671346] L(18, 13): 369 	
[   94.697379] L(11, 21): 467 	
[   94.723433] L( 9, 21): 468 	
[   94.749156] L( 6, 21): 462 	
[   94.775131] L( 8, 21): 466 	
[   94.804153] L(21, 21): 521 	
[   94.827723] L(14, 21): 423 	
[   94.856722] L(20, 21): 521 	
[   94.877293] L(13, 21): 369 	
[   94.897896] L(12, 21): 369 	
[   94.926821] L(15, 21): 519 	
[   94.955726] L(16, 21): 519 	
[   94.984701] L(19, 21): 520 	
[   95.010733] L( 7, 21): 467 	
[   95.036795] L(10, 21): 468 	
[   95.065738] L(17, 21): 519 	
[   95.094711] L(18, 21): 520 	
[   95.115320] L(11, 12): 369 	
[   95.135918] L( 9, 12): 369 	
[   95.156187] L( 6, 12): 363 	
[   95.176756] L( 8, 12): 369 	
[   95.197383] L(21, 12): 370 	
[   95.217988] L(14, 12): 369 	
[   95.238592] L(20, 12): 369 	
[   95.259163] L(13, 12): 369 	
[   95.279771] L(12, 12): 369 	
[   95.300376] L(15, 12): 369 	
[   95.320971] L(16, 12): 369 	
[   95.341545] L(19, 12): 369 	
[   95.362145] L( 7, 12): 369 	
[   95.382744] L(10, 12): 369 	
