sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  142.978074] Insert module 
[  143.003964] L(16,  8): 464 	
[  143.029861] L(17,  8): 464 	
[  143.055230] L(21,  8): 455 	
[  143.075972] L(14,  8): 372 	
[  143.101490] L(20,  8): 458 	
[  143.122085] L( 8,  8): 369 	
[  143.147906] L(18,  8): 463 	
[  143.168511] L( 9,  8): 369 	
[  143.188745] L( 6,  8): 363 	
[  143.214221] L(19,  8): 457 	
[  143.239845] L(15,  8): 460 	
[  143.260388] L(11,  8): 368 	
[  143.280993] L(13,  8): 369 	
[  143.301587] L(10,  8): 369 	
[  143.322187] L(12,  8): 369 	
[  143.342790] L( 7,  8): 369 	
[  143.371362] L(16, 19): 513 	
[  143.399197] L(17, 19): 500 	
[  143.427317] L(21, 19): 504 	
[  143.451794] L(14, 19): 439 	
[  143.479740] L(20, 19): 502 	
[  143.505088] L( 8, 19): 454 	
[  143.533532] L(18, 19): 511 	
[  143.559195] L( 9, 19): 460 	
[  143.584691] L( 6, 19): 457 	
[  143.613393] L(19, 19): 515 	
[  143.641836] L(15, 19): 511 	
[  143.667294] L(11, 19): 457 	
[  143.687898] L(13, 19): 369 	
[  143.713217] L(10, 19): 454 	
[  143.733815] L(12, 19): 369 	
[  143.759416] L( 7, 19): 459 	
[  143.785051] L(16,  6): 460 	
[  143.810656] L(17,  6): 459 	
[  143.835957] L(21,  6): 454 	
[  143.856598] L(14,  6): 370 	
[  143.881710] L(20,  6): 451 	
[  143.901926] L( 8,  6): 362 	
[  143.927474] L(18,  6): 458 	
[  143.947713] L( 9,  6): 363 	
[  143.968006] L( 6,  6): 364 	
[  143.992798] L(19,  6): 445 	
[  144.018004] L(15,  6): 452 	
[  144.038263] L(11,  6): 363 	
[  144.058475] L(13,  6): 362 	
[  144.078703] L(10,  6): 363 	
[  144.098979] L(12,  6): 363 	
[  144.119193] L( 7,  6): 362 	
[  144.139785] L(16, 13): 369 	
[  144.160361] L(17, 13): 369 	
[  144.180948] L(21, 13): 369 	
[  144.201549] L(14, 13): 369 	
[  144.222147] L(20, 13): 369 	
[  144.242706] L( 8, 13): 369 	
[  144.263302] L(18, 13): 369 	
[  144.283900] L( 9, 13): 369 	
[  144.304131] L( 6, 13): 363 	
[  144.324701] L(19, 13): 369 	
[  144.345296] L(15, 13): 369 	
[  144.365882] L(11, 13): 369 	
[  144.386484] L(13, 13): 369 	
[  144.407069] L(10, 13): 369 	
[  144.427642] L(12, 13): 369 	
[  144.448239] L( 7, 13): 369 	
[  144.476777] L(16, 21): 512 	
[  144.505181] L(17, 21): 510 	
[  144.533797] L(21, 21): 513 	
[  144.557967] L(14, 21): 434 	
[  144.585881] L(20, 21): 501 	
[  144.611447] L( 8, 21): 459 	
[  144.639473] L(18, 21): 503 	
[  144.664844] L( 9, 21): 455 	
[  144.689720] L( 6, 21): 446 	
[  144.717383] L(19, 21): 496 	
[  144.745591] L(15, 21): 506 	
[  144.771097] L(11, 21): 458 	
[  144.791663] L(13, 21): 369 	
[  144.817190] L(10, 21): 458 	
[  144.837789] L(12, 21): 369 	
[  144.862904] L( 7, 21): 451 	
[  144.891449] L(16, 16): 512 	
[  144.920290] L(17, 16): 518 	
[  144.949001] L(21, 16): 515 	
[  144.972781] L(14, 16): 427 	
[  145.001222] L(20, 16): 510 	
[  145.027049] L( 8, 16): 463 	
[  145.055780] L(18, 16): 516 	
[  145.081424] L( 9, 16): 460 	
[  145.106858] L( 6, 16): 456 	
[  145.135393] L(19, 16): 512 	
[  145.164202] L(15, 16): 517 	
[  145.189980] L(11, 16): 463 	
[  145.210557] L(13, 16): 369 	
[  145.236176] L(10, 16): 460 	
[  145.256773] L(12, 16): 369 	
[  145.282373] L( 7, 16): 459 	
[  145.311195] L(16, 15): 517 	
[  145.339595] L(17, 15): 510 	
[  145.367916] L(21, 15): 508 	
[  145.391697] L(14, 15): 426 	
[  145.420202] L(20, 15): 512 	
[  145.445533] L( 8, 15): 454 	
[  145.473807] L(18, 15): 507 	
[  145.499425] L( 9, 15): 460 	
