sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  132.324481] Insert module 
[  132.348109] L(17,  4): 419 	
[  132.369136] L(12,  4): 377 	
[  132.392309] L(18,  4): 415 	
[  132.412952] L(10,  4): 370 	
[  132.432965] L( 5,  4): 359 	
[  132.455763] L(20,  4): 409 	
[  132.475716] L( 4,  4): 358 	
[  132.495682] L( 1,  4): 358 	
[  132.518643] L(19,  4): 412 	
[  132.539277] L(11,  4): 370 	
[  132.559917] L( 7,  4): 370 	
[  132.582933] L(16,  4): 413 	
[  132.605630] L(21,  4): 407 	
[  132.628348] L(13,  4): 407 	
[  132.648951] L( 9,  4): 369 	
[  132.672285] L(14,  4): 419 	
[  132.695897] L(15,  4): 424 	
[  132.716505] L( 8,  4): 369 	
[  132.736797] L( 6,  4): 364 	
[  132.756766] L( 3,  4): 358 	
[  132.776711] L( 2,  4): 358 	
[  132.798565] L(17,  8): 392 	
[  132.819355] L(12,  8): 373 	
[  132.841152] L(18,  8): 391 	
[  132.861744] L(10,  8): 369 	
[  132.882491] L( 5,  8): 372 	
[  132.903691] L(20,  8): 380 	
[  132.924333] L( 4,  8): 370 	
[  132.944941] L( 1,  8): 369 	
[  132.966352] L(19,  8): 384 	
[  132.986949] L(11,  8): 369 	
[  133.007535] L( 7,  8): 369 	
[  133.029184] L(16,  8): 388 	
[  133.050625] L(21,  8): 384 	
[  133.072317] L(13,  8): 389 	
[  133.092916] L( 9,  8): 369 	
[  133.114816] L(14,  8): 393 	
[  133.136647] L(15,  8): 391 	
[  133.157245] L( 8,  8): 369 	
[  133.177474] L( 6,  8): 363 	
[  133.198250] L( 3,  8): 372 	
[  133.218837] L( 2,  8): 369 	
[  133.241744] L(17, 17): 411 	
[  133.262748] L(12, 17): 377 	
[  133.286288] L(18, 17): 422 	
[  133.307875] L(10, 17): 387 	
[  133.331425] L( 5, 17): 422 	
[  133.354262] L(20, 17): 410 	
[  133.377097] L( 4, 17): 410 	
[  133.399747] L( 1, 17): 406 	
[  133.423401] L(19, 17): 424 	
[  133.445109] L(11, 17): 389 	
[  133.466921] L( 7, 17): 391 	
[  133.489548] L(16, 17): 406 	
[  133.511535] L(21, 17): 394 	
[  133.534611] L(13, 17): 414 	
[  133.556312] L( 9, 17): 389 	
[  133.580041] L(14, 17): 426 	
[  133.603021] L(15, 17): 412 	
[  133.624440] L( 8, 17): 384 	
[  133.645834] L( 6, 17): 384 	
[  133.669178] L( 3, 17): 419 	
[  133.692088] L( 2, 17): 411 	
[  133.713388] L(17,  9): 382 	
[  133.734124] L(12,  9): 372 	
[  133.755980] L(18,  9): 392 	
[  133.776570] L(10,  9): 369 	
[  133.797396] L( 5,  9): 373 	
[  133.819109] L(20,  9): 389 	
[  133.839746] L( 4,  9): 370 	
[  133.860344] L( 1,  9): 369 	
[  133.881804] L(19,  9): 385 	
[  133.902373] L(11,  9): 369 	
[  133.922971] L( 7,  9): 369 	
[  133.944784] L(16,  9): 391 	
[  133.966344] L(21,  9): 387 	
[  133.987818] L(13,  9): 385 	
[  134.008411] L( 9,  9): 369 	
[  134.030377] L(14,  9): 394 	
[  134.052419] L(15,  9): 395 	
[  134.073015] L( 8,  9): 369 	
[  134.093277] L( 6,  9): 363 	
[  134.113871] L( 3,  9): 369 	
[  134.134439] L( 2,  9): 369 	
[  134.156846] L(17, 18): 402 	
[  134.178036] L(12, 18): 380 	
[  134.200861] L(18, 18): 409 	
[  134.222480] L(10, 18): 387 	
[  134.246204] L( 5, 18): 426 	
[  134.268925] L(20, 18): 408 	
[  134.292102] L( 4, 18): 416 	
[  134.315358] L( 1, 18): 417 	
[  134.337880] L(19, 18): 404 	
[  134.359625] L(11, 18): 390 	
[  134.381693] L( 7, 18): 396 	
[  134.404070] L(16, 18): 401 	
[  134.426612] L(21, 18): 404 	
[  134.449448] L(13, 18): 409 	
[  134.471254] L( 9, 18): 391 	
[  134.495115] L(14, 18): 428 	
[  134.518024] L(15, 18): 411 	
[  134.539836] L( 8, 18): 391 	
[  134.561700] L( 6, 18): 392 	
[  134.584698] L( 3, 18): 413 	
[  134.607833] L( 2, 18): 415 	
[  134.630829] L(17,  2): 412 	
[  134.651735] L(12,  2): 375 	
[  134.674171] L(18,  2): 402 	
[  134.694760] L(10,  2): 369 	
[  134.714753] L( 5,  2): 358 	
[  134.737483] L(20,  2): 408 	
[  134.757436] L( 4,  2): 358 	
[  134.777345] L( 1,  2): 357 	
[  134.800338] L(19,  2): 412 	
[  134.820935] L(11,  2): 369 	
[  134.841527] L( 7,  2): 369 	
[  134.864421] L(16,  2): 411 	
[  134.887405] L(21,  2): 412 	
[  134.909956] L(13,  2): 404 	
[  134.930540] L( 9,  2): 369 	
[  134.953231] L(14,  2): 407 	
[  134.976331] L(15,  2): 414 	
[  134.996918] L( 8,  2): 369 	
[  135.017169] L( 6,  2): 363 	
[  135.037065] L( 3,  2): 357 	
[  135.056967] L( 2,  2): 357 	
[  135.078821] L(17,  7): 392 	
[  135.099487] L(12,  7): 371 	
[  135.121340] L(18,  7): 392 	
[  135.141926] L(10,  7): 369 	
[  135.162716] L( 5,  7): 373 	
[  135.184327] L(20,  7): 388 	
[  135.204957] L( 4,  7): 370 	
[  135.225545] L( 1,  7): 369 	
[  135.247402] L(19,  7): 392 	
[  135.267962] L(11,  7): 369 	
[  135.288557] L( 7,  7): 369 	
[  135.310147] L(16,  7): 387 	
[  135.331775] L(21,  7): 388 	
[  135.353278] L(13,  7): 386 	
[  135.373876] L( 9,  7): 369 	
[  135.396288] L(14,  7): 402 	
[  135.417797] L(15,  7): 386 	
[  135.438391] L( 8,  7): 369 	
[  135.458656] L( 6,  7): 363 	
[  135.479263] L( 3,  7): 369 	
[  135.499823] L( 2,  7): 369 	
[  135.523043] L(17,  5): 416 	
[  135.544268] L(12,  5): 381 	
[  135.567455] L(18,  5): 416 	
[  135.588281] L(10,  5): 373 	
