sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  161.382166] Insert module 
[  161.404744] L(15, 14): 404 	
[  161.426828] L(11, 14): 396 	
[  161.449763] L(18, 14): 411 	
[  161.473116] L( 2, 14): 419 	
[  161.496118] L(19, 14): 413 	
[  161.518960] L(14, 14): 410 	
[  161.540870] L( 7, 14): 393 	
[  161.562250] L( 9, 14): 383 	
[  161.585242] L(16, 14): 412 	
[  161.608382] L( 4, 14): 415 	
[  161.629137] L(12, 14): 372 	
[  161.652376] L( 1, 14): 417 	
[  161.675919] L( 5, 14): 422 	
[  161.697728] L(10, 14): 391 	
[  161.719546] L( 6, 14): 391 	
[  161.742472] L(20, 14): 411 	
[  161.765245] L(17, 14): 408 	
[  161.787239] L(21, 14): 394 	
[  161.810440] L(13, 14): 416 	
[  161.833561] L( 3, 14): 414 	
[  161.855551] L( 8, 14): 394 	
[  161.877407] L(15, 10): 392 	
[  161.897988] L(11, 10): 369 	
[  161.919378] L(18, 10): 384 	
[  161.939970] L( 2, 10): 369 	
[  161.961673] L(19, 10): 389 	
[  161.983452] L(14, 10): 391 	
[  162.004031] L( 7, 10): 369 	
[  162.024623] L( 9, 10): 369 	
[  162.046537] L(16, 10): 393 	
[  162.067138] L( 4, 10): 369 	
[  162.087904] L(12, 10): 372 	
[  162.108505] L( 1, 10): 369 	
[  162.129269] L( 5, 10): 372 	
[  162.149828] L(10, 10): 369 	
[  162.170069] L( 6, 10): 363 	
[  162.191860] L(20, 10): 391 	
[  162.213771] L(17, 10): 393 	
[  162.235700] L(21, 10): 393 	
[  162.257332] L(13, 10): 388 	
[  162.277945] L( 3, 10): 370 	
[  162.298516] L( 8, 10): 369 	
[  162.321107] L(15, 21): 405 	
[  162.343076] L(11, 21): 394 	
[  162.365827] L(18, 21): 408 	
[  162.388365] L( 2, 21): 404 	
[  162.411100] L(19, 21): 408 	
[  162.433716] L(14, 21): 406 	
[  162.455414] L( 7, 21): 389 	
[  162.477145] L( 9, 21): 390 	
[  162.499715] L(16, 21): 405 	
[  162.522486] L( 4, 21): 408 	
[  162.544033] L(12, 21): 386 	
[  162.566614] L( 1, 21): 405 	
[  162.589428] L( 5, 21): 409 	
[  162.611229] L(10, 21): 391 	
[  162.632444] L( 6, 21): 380 	
[  162.654632] L(20, 21): 398 	
[  162.676795] L(17, 21): 397 	
[  162.699902] L(21, 21): 414 	
[  162.722845] L(13, 21): 412 	
[  162.745532] L( 3, 21): 407 	
[  162.766807] L( 8, 21): 381 	
[  162.789499] L(15, 20): 407 	
[  162.810653] L(11, 20): 379 	
[  162.833039] L(18, 20): 401 	
[  162.856312] L( 2, 20): 417 	
[  162.878340] L(19, 20): 395 	
[  162.900911] L(14, 20): 405 	
[  162.923110] L( 7, 20): 398 	
[  162.945082] L( 9, 20): 394 	
[  162.968187] L(16, 20): 414 	
[  162.991044] L( 4, 20): 410 	
[  163.012696] L(12, 20): 388 	
[  163.035034] L( 1, 20): 400 	
