sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  103.008033] Insert module 
[  103.031879] L(15, 11): 420 	
[  103.054313] L( 8, 11): 401 	
[  103.076958] L(17, 11): 403 	
[  103.097572] L( 3, 11): 370 	
[  103.118123] L( 1, 11): 368 	
[  103.140371] L(18, 11): 399 	
[  103.161252] L( 5, 11): 374 	
[  103.183999] L(19, 11): 408 	
[  103.206250] L(20, 11): 399 	
[  103.227775] L(16, 11): 386 	
[  103.248361] L( 9, 11): 369 	
[  103.269057] L(12, 11): 371 	
[  103.290479] L(13, 11): 384 	
[  103.311074] L( 7, 11): 369 	
[  103.333337] L(14, 11): 399 	
[  103.353564] L( 6, 11): 363 	
[  103.375256] L(21, 11): 389 	
[  103.395900] L( 4, 11): 370 	
[  103.416451] L(11, 11): 368 	
[  103.437053] L(10, 11): 369 	
[  103.457644] L( 2, 11): 369 	
[  103.480151] L(15,  7): 404 	
[  103.500726] L( 8,  7): 369 	
[  103.522415] L(17,  7): 389 	
[  103.543027] L( 3,  7): 370 	
[  103.563627] L( 1,  7): 369 	
[  103.585778] L(18,  7): 397 	
[  103.606609] L( 5,  7): 373 	
[  103.628787] L(19,  7): 398 	
[  103.650500] L(20,  7): 389 	
[  103.672743] L(16,  7): 399 	
[  103.693329] L( 9,  7): 369 	
[  103.714092] L(12,  7): 372 	
[  103.735267] L(13,  7): 380 	
[  103.755855] L( 7,  7): 369 	
[  103.777823] L(14,  7): 394 	
[  103.798074] L( 6,  7): 363 	
[  103.820057] L(21,  7): 394 	
[  103.840689] L( 4,  7): 370 	
[  103.861279] L(11,  7): 369 	
[  103.881879] L(10,  7): 369 	
[  103.902449] L( 2,  7): 369 	
[  103.926359] L(15, 14): 429 	
[  103.948460] L( 8, 14): 396 	
[  103.972292] L(17, 14): 427 	
[  103.996145] L( 3, 14): 428 	
[  104.020266] L( 1, 14): 433 	
[  104.044668] L(18, 14): 438 	
[  104.068923] L( 5, 14): 435 	
[  104.092991] L(19, 14): 432 	
[  104.116321] L(20, 14): 418 	
[  104.139466] L(16, 14): 415 	
[  104.162003] L( 9, 14): 404 	
[  104.182770] L(12, 14): 372 	
[  104.205214] L(13, 14): 403 	
[  104.227063] L( 7, 14): 392 	
[  104.250463] L(14, 14): 420 	
[  104.272432] L( 6, 14): 394 	
[  104.296238] L(21, 14): 427 	
[  104.320319] L( 4, 14): 432 	
[  104.342276] L(11, 14): 394 	
[  104.364782] L(10, 14): 404 	
[  104.388197] L( 2, 14): 420 	
