sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[ 1036.699339] Insert module 
[ 1040.876445] L(21, 14): 455 	
[ 1040.901934] L(21, 14): 457 	
[ 1040.927396] L(21, 14): 457 	
[ 1040.953995] L(21, 14): 477 	
[ 1040.983021] L(21, 14): 521 	
[ 1041.011983] L(21, 14): 520 	
[ 1041.040077] L(21, 14): 504 	
[ 1041.068206] L(21, 14): 505 	
[ 1041.097751] L(21, 14): 530 	
[ 1041.136302] L(21, 14): 545 	
[ 1041.182296] L(21, 14): 520 	

[ 1041.215903] L(21, 18): 522 	
[ 1041.249619] L(21, 18): 556 	
[ 1041.278146] L(21, 18): 512 	
[ 1041.312096] L(21, 18): 609 	
[ 1041.349665] L(21, 18): 674 	
[ 1041.375146] L(21, 18): 457 	
[ 1041.400618] L(21, 18): 457 	
[ 1041.425991] L(21, 18): 455 	
[ 1041.451026] L(21, 18): 449 	
[ 1041.476449] L(21, 18): 456 	
[ 1041.501811] L(21, 18): 454 	
[ 1041.527055] L(21, 18): 453 	
[ 1041.552696] L(21, 18): 460 	
[ 1041.578301] L(21, 18): 459 	
[ 1041.603451] L(21, 18): 451 	
[ 1041.628672] L(21, 18): 452 	

[ 1041.650632] L(21, 11): 394 	
[ 1041.673099] L(21, 11): 403 	
[ 1041.695872] L(21, 11): 408 	
[ 1041.718683] L(21, 11): 409 	
[ 1041.740958] L(21, 11): 399 	
[ 1041.763329] L(21, 11): 401 	
[ 1041.785837] L(21, 11): 404 	
[ 1041.808455] L(21, 11): 405 	
[ 1041.831055] L(21, 11): 405 	
[ 1041.853789] L(21, 11): 408 	
[ 1041.876608] L(21, 11): 409 	
[ 1041.899544] L(21, 11): 411 	
[ 1041.926433] L(21, 11): 482 	
[ 1041.952148] L(21, 11): 461 	
[ 1041.977594] L(21, 11): 456 	
[ 1042.002385] L(21, 11): 445 	

[ 1042.027447] L(21,  6): 449 	
[ 1042.052602] L(21,  6): 451 	
[ 1042.078372] L(21,  6): 462 	
[ 1042.103931] L(21,  6): 458 	
[ 1042.130118] L(21,  6): 470 	
[ 1042.156094] L(21,  6): 466 	
[ 1042.184742] L(21,  6): 460 	
[ 1042.209950] L(21,  6): 452 	
[ 1042.247830] L(21,  6): 618 	
[ 1042.279174] L(21,  6): 562 	
[ 1042.302490] L(21,  6): 414 	
[ 1042.324384] L(21,  6): 392 	
[ 1042.346789] L(21,  6): 402 	
[ 1042.368774] L(21,  6): 394 	
[ 1042.391301] L(21,  6): 404 	
[ 1042.413268] L(21,  6): 394 	

[ 1042.435791] L(21,  7): 404 	
[ 1042.458753] L(21,  7): 412 	
[ 1042.480934] L(21,  7): 398 	
[ 1042.503172] L(21,  7): 399 	
[ 1042.525887] L(21,  7): 407 	
[ 1042.548549] L(21,  7): 406 	
[ 1042.570492] L(21,  7): 394 	
[ 1042.593194] L(21,  7): 407 	
[ 1042.615587] L(21,  7): 402 	
[ 1042.638107] L(21,  7): 404 	
[ 1042.660584] L(21,  7): 403 	
[ 1042.683289] L(21,  7): 407 	
[ 1042.705541] L(21,  7): 399 	
[ 1042.727872] L(21,  7): 400 	
[ 1042.750308] L(21,  7): 402 	
[ 1042.773060] L(21,  7): 408 	

[ 1042.795809] L(21, 10): 408 	
[ 1042.818130] L(21, 10): 400 	
[ 1042.840506] L(21, 10): 401 	
[ 1042.863267] L(21, 10): 408 	
[ 1042.885528] L(21, 10): 399 	
[ 1042.908220] L(21, 10): 407 	
[ 1042.930076] L(21, 10): 392 	
[ 1042.952024] L(21, 10): 394 	
[ 1042.974522] L(21, 10): 403 	
[ 1042.996828] L(21, 10): 400 	
[ 1043.019103] L(21, 10): 399 	
[ 1043.041805] L(21, 10): 407 	
[ 1043.064065] L(21, 10): 399 	
[ 1043.086395] L(21, 10): 400 	
[ 1043.109047] L(21, 10): 406 	
[ 1043.131265] L(21, 10): 398 	

[ 1043.155950] L(21, 15): 443 	
[ 1043.180957] L(21, 15): 449 	
[ 1043.205744] L(21, 15): 445 	
