sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  603.857215] Insert module 
[  603.878847] L(10, 10): 381 	
[  603.899938] L(13, 10): 377 	
[  603.920896] L(11, 10): 375 	
[  603.941826] L(12, 10): 375 	
[  603.967021] L(15, 10): 451 	
[  603.987579] L( 6, 10): 368 	
[  604.008455] L( 8, 10): 374 	
[  604.033573] L(16, 10): 449 	
[  604.058680] L(17, 10): 450 	
[  604.079550] L( 7, 10): 374 	
[  604.104127] L(18, 10): 440 	
[  604.125008] L( 9, 10): 374 	
[  604.146946] L(14, 10): 393 	
[  604.172116] L(19, 10): 450 	
[  604.197018] L(20, 10): 446 	
[  604.220880] L(21, 10): 427 	
[  604.241777] L(10,  8): 374 	
[  604.262671] L(13,  8): 374 	
[  604.283672] L(11,  8): 375 	
[  604.304324] L(12,  8): 370 	
[  604.329190] L(15,  8): 446 	
[  604.349417] L( 6,  8): 363 	
[  604.370015] L( 8,  8): 369 	
[  604.394620] L(16,  8): 440 	
[  604.418879] L(17,  8): 435 	
[  604.439686] L( 7,  8): 373 	
[  604.463870] L(18,  8): 434 	
[  604.484650] L( 9,  8): 373 	
[  604.506185] L(14,  8): 386 	
[  604.530481] L(19,  8): 436 	
[  604.555022] L(20,  8): 440 	
[  604.579261] L(21,  8): 435 	
[  604.603967] L(10, 15): 443 	
[  604.624919] L(13, 15): 376 	
[  604.649912] L(11, 15): 448 	
[  604.670720] L(12, 15): 373 	
[  604.698095] L(15, 15): 491 	
[  604.722614] L( 6, 15): 440 	
[  604.747510] L( 8, 15): 447 	
[  604.775516] L(16, 15): 502 	
[  604.802568] L(17, 15): 485 	
[  604.827813] L( 7, 15): 453 	
[  604.855047] L(18, 15): 489 	
[  604.879998] L( 9, 15): 448 	
[  604.905002] L(14, 15): 449 	
[  604.932591] L(19, 15): 495 	
[  604.959777] L(20, 15): 488 	
[  604.985660] L(21, 15): 464 	
[  605.010202] L(10, 16): 440 	
[  605.030886] L(13, 16): 371 	
[  605.055444] L(11, 16): 440 	
[  605.076039] L(12, 16): 369 	
[  605.104186] L(15, 16): 505 	
[  605.127963] L( 6, 16): 427 	
[  605.152519] L( 8, 16): 441 	
[  605.179228] L(16, 16): 479 	
[  605.206610] L(17, 16): 491 	
[  605.230214] L( 7, 16): 423 	
[  605.256883] L(18, 16): 479 	
[  605.281477] L( 9, 16): 441 	
[  605.306376] L(14, 16): 447 	
[  605.333428] L(19, 16): 485 	
[  605.360757] L(20, 16): 490 	
[  605.386656] L(21, 16): 465 	
[  605.407328] L(10,  7): 371 	
[  605.428025] L(13,  7): 371 	
[  605.448596] L(11,  7): 369 	
[  605.469188] L(12,  7): 369 	
[  605.493936] L(15,  7): 444 	
[  605.514187] L( 6,  7): 363 	
[  605.534736] L( 8,  7): 368 	
[  605.558824] L(16,  7): 432 	
[  605.583650] L(17,  7): 445 	
[  605.604223] L( 7,  7): 369 	
[  605.628201] L(18,  7): 430 	
[  605.648755] L( 9,  7): 369 	
[  605.670467] L(14,  7): 389 	
[  605.695107] L(19,  7): 442 	
[  605.719320] L(20,  7): 434 	
[  605.742274] L(21,  7): 412 	
[  605.762516] L(10,  6): 363 	
[  605.782772] L(13,  6): 363 	
[  605.803047] L(11,  6): 363 	
[  605.823323] L(12,  6): 363 	
[  605.848140] L(15,  6): 445 	
[  605.868409] L( 6,  6): 363 	
[  605.888651] L( 8,  6): 363 	
[  605.912319] L(16,  6): 425 	
[  605.936568] L(17,  6): 435 	
[  605.956809] L( 7,  6): 363 	
[  605.980754] L(18,  6): 430 	
[  606.000966] L( 9,  6): 362 	
[  606.022116] L(14,  6): 379 	
[  606.046332] L(19,  6): 434 	
[  606.070391] L(20,  6): 432 	
[  606.093399] L(21,  6): 413 	
[  606.114098] L(10,  9): 371 	
[  606.134761] L(13,  9): 370 	
[  606.155395] L(11,  9): 370 	
[  606.176025] L(12,  9): 370 	
[  606.200286] L(15,  9): 435 	
[  606.220570] L( 6,  9): 364 	
[  606.241183] L( 8,  9): 370 	
[  606.265689] L(16,  9): 439 	
[  606.290578] L(17,  9): 446 	
[  606.311190] L( 7,  9): 370 	
[  606.335283] L(18,  9): 432 	
[  606.355905] L( 9,  9): 370 	
[  606.377360] L(14,  9): 385 	
[  606.401633] L(19,  9): 435 	
[  606.426229] L(20,  9): 441 	
[  606.450083] L(21,  9): 428 	
[  606.473791] L(10, 19): 425 	
[  606.494706] L(13, 19): 375 	
[  606.518788] L(11, 19): 432 	
[  606.539381] L(12, 19): 369 	
[  606.566042] L(15, 19): 478 	
[  606.590086] L( 6, 19): 431 	
[  606.614564] L( 8, 19): 439 	
[  606.641621] L(16, 19): 486 	
[  606.668508] L(17, 19): 483 	
[  606.692718] L( 7, 19): 434 	
[  606.719266] L(18, 19): 476 	
[  606.743902] L( 9, 19): 442 	
[  606.769445] L(14, 19): 458 	
[  606.796280] L(19, 19): 482 	
[  606.823461] L(20, 19): 488 	
[  606.848538] L(21, 19): 450 	
[  606.870317] L(10, 14): 391 	
[  606.891069] L(13, 14): 372 	
[  606.912654] L(11, 14): 387 	
[  606.933214] L(12, 14): 369 	
[  606.958032] L(15, 14): 445 	
[  606.979389] L( 6, 14): 383 	
[  607.001094] L( 8, 14): 389 	
[  607.026201] L(16, 14): 450 	
[  607.051099] L(17, 14): 447 	
[  607.072672] L( 7, 14): 387 	
[  607.097471] L(18, 14): 445 	
[  607.119391] L( 9, 14): 393 	
[  607.144012] L(14, 14): 442 	
[  607.169560] L(19, 14): 458 	
[  607.194482] L(20, 14): 447 	
[  607.219943] L(21, 14): 457 	
[  607.240522] L(10, 11): 369 	
[  607.261128] L(13, 11): 369 	
[  607.281705] L(11, 11): 369 	
[  607.302276] L(12, 11): 369 	
[  607.327192] L(15, 11): 447 	
[  607.347396] L( 6, 11): 362 	
[  607.367955] L( 8, 11): 369 	
[  607.391993] L(16, 11): 431 	
[  607.415997] L(17, 11): 431 	
[  607.436591] L( 7, 11): 369 	
[  607.460465] L(18, 11): 428 	
[  607.481050] L( 9, 11): 369 	
[  607.502548] L(14, 11): 385 	
[  607.526748] L(19, 11): 434 	
[  607.550914] L(20, 11): 434 	
[  607.574404] L(21, 11): 421 	
[  607.597787] L(10, 21): 419 	
[  607.618568] L(13, 21): 373 	
[  607.641837] L(11, 21): 417 	
[  607.662435] L(12, 21): 369 	
[  607.688534] L(15, 21): 468 	
[  607.711539] L( 6, 21): 413 	
[  607.734945] L( 8, 21): 420 	
[  607.760740] L(16, 21): 463 	
[  607.786803] L(17, 21): 468 	
[  607.810293] L( 7, 21): 421 	
[  607.835808] L(18, 21): 458 	
[  607.859539] L( 9, 21): 425 	
[  607.885500] L(14, 21): 466 	
[  607.910712] L(19, 21): 452 	
[  607.936512] L(20, 21): 463 	
[  607.962407] L(21, 21): 465 	
[  607.983079] L(10, 13): 371 	
[  608.003706] L(13, 13): 370 	
[  608.024363] L(11, 13): 370 	
[  608.044947] L(12, 13): 369 	
[  608.065516] L(15, 13): 369 	
[  608.085810] L( 6, 13): 364 	
[  608.106570] L( 8, 13): 372 	
[  608.127170] L(16, 13): 369 	
[  608.148226] L(17, 13): 378 	
[  608.168789] L( 7, 13): 369 	
[  608.189591] L(18, 13): 373 	
[  608.210406] L( 9, 13): 373 	
[  608.231223] L(14, 13): 373 	
[  608.251880] L(19, 13): 370 	
[  608.272644] L(20, 13): 372 	
[  608.293269] L(21, 13): 370 	
[  608.313872] L(10, 12): 369 	
[  608.334438] L(13, 12): 369 	
[  608.355032] L(11, 12): 369 	
[  608.375638] L(12, 12): 369 	
[  608.396237] L(15, 12): 369 	
[  608.416474] L( 6, 12): 363 	
[  608.437081] L( 8, 12): 369 	
[  608.457677] L(16, 12): 369 	
[  608.478276] L(17, 12): 369 	
[  608.498850] L( 7, 12): 369 	
[  608.519441] L(18, 12): 369 	
[  608.540036] L( 9, 12): 369 	
[  608.560640] L(14, 12): 369 	
[  608.581236] L(19, 12): 369 	
[  608.601807] L(20, 12): 369 	
[  608.622409] L(21, 12): 369 	
[  608.646681] L(10, 20): 435 	
[  608.667342] L(13, 20): 370 	
[  608.691821] L(11, 20): 439 	
[  608.712422] L(12, 20): 369 	
[  608.739592] L(15, 20): 488 	
[  608.763306] L( 6, 20): 425 	
[  608.787419] L( 8, 20): 433 	
[  608.814686] L(16, 20): 489 	
[  608.841821] L(17, 20): 487 	
[  608.865769] L( 7, 20): 430 	
[  608.892364] L(18, 20): 477 	
[  608.916814] L( 9, 20): 439 	
[  608.941498] L(14, 20): 443 	
[  608.968909] L(19, 20): 492 	
[  608.995689] L(20, 20): 481 	
[  609.022179] L(21, 20): 475 	
[  609.046926] L(10, 18): 444 	
[  609.067688] L(13, 18): 372 	
[  609.091895] L(11, 18): 434 	
[  609.112487] L(12, 18): 369 	
[  609.139471] L(15, 18): 484 	
[  609.163189] L( 6, 18): 425 	
[  609.187479] L( 8, 18): 436 	
[  609.214525] L(16, 18): 485 	
[  609.241497] L(17, 18): 484 	
[  609.265188] L( 7, 18): 425 	
[  609.292555] L(18, 18): 491 	
[  609.316885] L( 9, 18): 436 	
[  609.341694] L(14, 18): 445 	
[  609.368823] L(19, 18): 487 	
[  609.396141] L(20, 18): 490 	
[  609.422103] L(21, 18): 466 	
[  609.446353] L(10, 17): 435 	
[  609.466951] L(13, 17): 369 	
[  609.491871] L(11, 17): 447 	
[  609.512462] L(12, 17): 369 	
[  609.540496] L(15, 17): 503 	
[  609.564759] L( 6, 17): 435 	
[  609.589591] L( 8, 17): 446 	
[  609.616997] L(16, 17): 492 	
[  609.644877] L(17, 17): 500 	
[  609.669432] L( 7, 17): 441 	
[  609.696370] L(18, 17): 483 	
[  609.720381] L( 9, 17): 431 	
[  609.745643] L(14, 17): 453 	
[  609.772533] L(19, 17): 483 	
[  609.800052] L(20, 17): 494 	
[  609.825833] L(21, 17): 463 	
[  609.845810] Remove module 
