sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  708.572795] Insert module 
[  708.594510] L(19,  8): 388 	
[  708.616077] L(17,  8): 387 	
[  708.637994] L(18,  8): 393 	
[  708.658580] L( 7,  8): 369 	
[  708.678845] L( 6,  8): 363 	
[  708.699417] L(11,  8): 369 	
[  708.720636] L(21,  8): 380 	
[  708.742501] L(15,  8): 392 	
[  708.763105] L( 9,  8): 369 	
[  708.783667] L( 8,  8): 369 	
[  708.804932] L(20,  8): 381 	
[  708.825808] L(12,  8): 374 	
[  708.846403] L(10,  8): 369 	
[  708.868015] L(16,  8): 388 	
[  708.889702] L(14,  8): 389 	
[  708.910743] L(13,  8): 377 	
[  708.932983] L(19, 14): 399 	
[  708.955718] L(17, 14): 408 	
[  708.978182] L(18, 14): 402 	
[  708.999852] L( 7, 14): 389 	
[  709.021141] L( 6, 14): 382 	
[  709.042940] L(11, 14): 391 	
[  709.064610] L(21, 14): 389 	
[  709.087841] L(15, 14): 417 	
[  709.109150] L( 9, 14): 382 	
[  709.131005] L( 8, 14): 392 	
[  709.152492] L(20, 14): 385 	
[  709.173778] L(12, 14): 382 	
[  709.195532] L(10, 14): 390 	
[  709.218815] L(16, 14): 418 	
[  709.242024] L(14, 14): 416 	
[  709.263806] L(13, 14): 391 	
[  709.286373] L(19, 13): 405 	
[  709.308280] L(17, 13): 393 	
[  709.330586] L(18, 13): 400 	
[  709.351909] L( 7, 13): 382 	
[  709.373128] L( 6, 13): 380 	
[  709.394351] L(11, 13): 380 	
[  709.416245] L(21, 13): 393 	
[  709.439004] L(15, 13): 408 	
[  709.460434] L( 9, 13): 384 	
[  709.481573] L( 8, 13): 379 	
[  709.503531] L(20, 13): 394 	
[  709.525397] L(12, 13): 392 	
[  709.546546] L(10, 13): 379 	
[  709.568260] L(16, 13): 389 	
[  709.589871] L(14, 13): 388 	
[  709.612159] L(13, 13): 400 	
[  709.633759] L(19,  9): 387 	
[  709.655781] L(17,  9): 395 	
[  709.677644] L(18,  9): 392 	
[  709.698221] L( 7,  9): 369 	
[  709.718440] L( 6,  9): 362 	
[  709.739034] L(11,  9): 369 	
[  709.760338] L(21,  9): 382 	
[  709.782062] L(15,  9): 390 	
[  709.802651] L( 9,  9): 369 	
[  709.823244] L( 8,  9): 369 	
[  709.844469] L(20,  9): 380 	
[  709.865587] L(12,  9): 379 	
[  709.886174] L(10,  9): 369 	
[  709.908091] L(16,  9): 393 	
[  709.929734] L(14,  9): 388 	
[  709.951015] L(13,  9): 382 	
[  709.973343] L(19, 15): 400 	
[  709.996345] L(17, 15): 413 	
[  710.019315] L(18, 15): 412 	
[  710.040784] L( 7, 15): 385 	
[  710.062252] L( 6, 15): 385 	
[  710.084244] L(11, 15): 394 	
[  710.106490] L(21, 15): 399 	
[  710.129522] L(15, 15): 413 	
[  710.151135] L( 9, 15): 388 	
[  710.173205] L( 8, 15): 396 	
[  710.195764] L(20, 15): 405 	
[  710.217064] L(12, 15): 382 	
[  710.238418] L(10, 15): 383 	
[  710.261212] L(16, 15): 409 	
[  710.283747] L(14, 15): 404 	
[  710.305995] L(13, 15): 399 	
[  710.327618] L(19, 12): 388 	
[  710.349057] L(17, 12): 384 	
[  710.370851] L(18, 12): 391 	
[  710.391882] L( 7, 12): 377 	
[  710.412862] L( 6, 12): 376 	
[  710.433875] L(11, 12): 377 	
[  710.455489] L(21, 12): 388 	
[  710.476859] L(15, 12): 383 	
[  710.497730] L( 9, 12): 374 	
[  710.518622] L( 8, 12): 375 	
[  710.540632] L(20, 12): 395 	
[  710.562171] L(12, 12): 386 	
[  710.583062] L(10, 12): 375 	
[  710.604513] L(16, 12): 385 	
[  710.625624] L(14, 12): 379 	
[  710.646926] L(13, 12): 382 	
[  710.669427] L(19, 20): 404 	
[  710.691281] L(17, 20): 392 	
[  710.712932] L(18, 20): 388 	
[  710.734158] L( 7, 20): 381 	
[  710.754917] L( 6, 20): 372 	
[  710.776011] L(11, 20): 378 	
[  710.797219] L(21, 20): 380 	
[  710.819490] L(15, 20): 399 	
[  710.840658] L( 9, 20): 379 	
[  710.862132] L( 8, 20): 385 	
[  710.883718] L(20, 20): 387 	
[  710.905709] L(12, 20): 394 	
[  710.926747] L(10, 20): 377 	
[  710.948934] L(16, 20): 398 	
[  710.970711] L(14, 20): 391 	
[  710.992192] L(13, 20): 385 	
[  711.013945] L(19, 11): 390 	
[  711.035618] L(17, 11): 389 	
[  711.057590] L(18, 11): 394 	
[  711.078189] L( 7, 11): 369 	
[  711.098409] L( 6, 11): 362 	
[  711.118981] L(11, 11): 369 	
[  711.140024] L(21, 11): 377 	
[  711.161704] L(15, 11): 389 	
[  711.182303] L( 9, 11): 369 	
[  711.202901] L( 8, 11): 369 	
[  711.224153] L(20, 11): 381 	
[  711.245192] L(12, 11): 377 	
[  711.265748] L(10, 11): 369 	
[  711.287115] L(16, 11): 383 	
[  711.309085] L(14, 11): 394 	
[  711.330222] L(13, 11): 379 	
[  711.352660] L(19, 16): 402 	
[  711.375723] L(17, 16): 413 	
[  711.399242] L(18, 16): 422 	
[  711.420941] L( 7, 16): 389 	
[  711.442398] L( 6, 16): 385 	
[  711.463822] L(11, 16): 384 	
[  711.485568] L(21, 16): 390 	
[  711.509090] L(15, 16): 422 	
[  711.530728] L( 9, 16): 388 	
[  711.552393] L( 8, 16): 388 	
[  711.575065] L(20, 16): 407 	
[  711.597518] L(12, 16): 402 	
[  711.619833] L(10, 16): 400 	
[  711.642419] L(16, 16): 405 	
[  711.665938] L(14, 16): 422 	
[  711.687845] L(13, 16): 393 	
[  711.709875] L(19, 21): 395 	
[  711.731065] L(17, 21): 380 	
[  711.752784] L(18, 21): 389 	
[  711.773713] L( 7, 21): 375 	
[  711.794344] L( 6, 21): 370 	
[  711.815417] L(11, 21): 378 	
[  711.836924] L(21, 21): 386 	
[  711.858421] L(15, 21): 385 	
[  711.879466] L( 9, 21): 377 	
[  711.900463] L( 8, 21): 376 	
[  711.921654] L(20, 21): 380 	
[  711.943788] L(12, 21): 397 	
[  711.965468] L(10, 21): 389 	
[  711.987636] L(16, 21): 398 	
[  712.010095] L(14, 21): 403 	
[  712.032157] L(13, 21): 395 	
[  712.054201] L(19, 18): 395 	
[  712.077186] L(17, 18): 412 	
[  712.100295] L(18, 18): 414 	
[  712.122371] L( 7, 18): 396 	
[  712.144203] L( 6, 18): 392 	
[  712.165806] L(11, 18): 387 	
[  712.188171] L(21, 18): 401 	
[  712.210687] L(15, 18): 404 	
[  712.232628] L( 9, 18): 393 	
[  712.254311] L( 8, 18): 389 	
[  712.276315] L(20, 18): 395 	
[  712.297965] L(12, 18): 388 	
[  712.319681] L(10, 18): 389 	
[  712.342825] L(16, 18): 415 	
[  712.365799] L(14, 18): 412 	
[  712.387480] L(13, 18): 389 	
[  712.408909] L(19, 10): 384 	
[  712.430542] L(17, 10): 388 	
[  712.452095] L(18, 10): 386 	
[  712.472689] L( 7, 10): 369 	
[  712.492932] L( 6, 10): 363 	
[  712.513520] L(11, 10): 369 	
