sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  609.932444] Insert module 
[  609.953228] L(17, 12): 372 	
[  609.973833] L(16, 12): 369 	
[  609.994450] L(12, 12): 370 	
[  610.015041] L(18, 12): 369 	
[  610.035296] L( 6, 12): 363 	
[  610.056000] L( 7, 12): 371 	
[  610.076603] L(10, 12): 369 	
[  610.097196] L(15, 12): 369 	
[  610.117775] L(21, 12): 369 	
[  610.138479] L(13, 12): 370 	
[  610.159081] L( 9, 12): 369 	
[  610.179690] L(14, 12): 369 	
[  610.200254] L(11, 12): 369 	
[  610.220851] L(20, 12): 369 	
[  610.241458] L( 8, 12): 369 	
[  610.262054] L(19, 12): 369 	
[  610.289350] L(17, 15): 490 	
[  610.317087] L(16, 15): 498 	
[  610.337689] L(12, 15): 369 	
[  610.364780] L(18, 15): 486 	
[  610.388195] L( 6, 15): 420 	
[  610.412468] L( 7, 15): 435 	
[  610.436533] L(10, 15): 432 	
[  610.463397] L(15, 15): 482 	
[  610.488767] L(21, 15): 454 	
[  610.509756] L(13, 15): 376 	
[  610.533764] L( 9, 15): 431 	
[  610.558099] L(14, 15): 437 	
[  610.581213] L(11, 15): 415 	
[  610.607763] L(20, 15): 476 	
[  610.631788] L( 8, 15): 431 	
[  610.658597] L(19, 15): 481 	
[  610.683166] L(17,  7): 441 	
[  610.707254] L(16,  7): 432 	
[  610.727838] L(12,  7): 369 	
[  610.751250] L(18,  7): 420 	
[  610.771488] L( 6,  7): 363 	
[  610.792076] L( 7,  7): 369 	
[  610.812669] L(10,  7): 369 	
[  610.836775] L(15,  7): 432 	
[  610.859399] L(21,  7): 406 	
[  610.880166] L(13,  7): 372 	
[  610.900709] L( 9,  7): 368 	
[  610.922997] L(14,  7): 400 	
[  610.943588] L(11,  7): 369 	
[  610.967277] L(20,  7): 425 	
[  610.987875] L( 8,  7): 369 	
[  611.011971] L(19,  7): 432 	
[  611.038318] L(17, 20): 473 	
[  611.064427] L(16, 20): 468 	
[  611.084990] L(12, 20): 369 	
[  611.110929] L(18, 20): 465 	
[  611.133890] L( 6, 20): 412 	
[  611.157960] L( 7, 20): 431 	
[  611.181714] L(10, 20): 426 	
[  611.208406] L(15, 20): 479 	
[  611.233087] L(21, 20): 443 	
[  611.254162] L(13, 20): 378 	
[  611.278158] L( 9, 20): 430 	
[  611.303219] L(14, 20): 450 	
[  611.327191] L(11, 20): 430 	
[  611.354013] L(20, 20): 481 	
[  611.377775] L( 8, 20): 426 	
[  611.403525] L(19, 20): 462 	
[  611.427719] L(17, 11): 434 	
[  611.451551] L(16, 11): 427 	
[  611.472144] L(12, 11): 369 	
[  611.496004] L(18, 11): 427 	
[  611.516228] L( 6, 11): 363 	
[  611.536818] L( 7, 11): 369 	
[  611.557417] L(10, 11): 369 	
[  611.581179] L(15, 11): 426 	
[  611.604037] L(21, 11): 410 	
[  611.624914] L(13, 11): 374 	
[  611.645510] L( 9, 11): 369 	
[  611.667064] L(14, 11): 386 	
[  611.687662] L(11, 11): 369 	
[  611.710879] L(20, 11): 416 	
[  611.731459] L( 8, 11): 369 	
[  611.755482] L(19, 11): 431 	
[  611.782344] L(17, 18): 482 	
[  611.809772] L(16, 18): 492 	
[  611.830373] L(12, 18): 369 	
[  611.856942] L(18, 18): 477 	
[  611.880233] L( 6, 18): 418 	
[  611.903856] L( 7, 18): 424 	
[  611.927788] L(10, 18): 429 	
[  611.954516] L(15, 18): 480 	
[  611.979771] L(21, 18): 453 	
[  612.000896] L(13, 18): 379 	
[  612.024710] L( 9, 18): 427 	
[  612.049643] L(14, 18): 447 	
[  612.073561] L(11, 18): 429 	
[  612.099343] L(20, 18): 463 	
[  612.123821] L( 8, 18): 439 	
[  612.149297] L(19, 18): 457 	
[  612.170158] L(17, 13): 373 	
[  612.190984] L(16, 13): 373 	
[  612.211584] L(12, 13): 369 	
[  612.232682] L(18, 13): 378 	
[  612.252987] L( 6, 13): 364 	
[  612.273755] L( 7, 13): 372 	
[  612.294515] L(10, 13): 372 	
[  612.315367] L(15, 13): 374 	
[  612.336116] L(21, 13): 372 	
[  612.356885] L(13, 13): 372 	
[  612.377490] L( 9, 13): 369 	
[  612.398499] L(14, 13): 377 	
[  612.419089] L(11, 13): 369 	
[  612.439837] L(20, 13): 372 	
[  612.460547] L( 8, 13): 371 	
[  612.481566] L(19, 13): 377 	
[  612.505694] L(17,  8): 433 	
[  612.529614] L(16,  8): 429 	
[  612.550183] L(12,  8): 369 	
[  612.574551] L(18,  8): 437 	
[  612.594775] L( 6,  8): 363 	
[  612.615343] L( 7,  8): 369 	
[  612.635934] L(10,  8): 369 	
[  612.660143] L(15,  8): 434 	
[  612.682736] L(21,  8): 405 	
[  612.703336] L(13,  8): 369 	
[  612.723925] L( 9,  8): 369 	
[  612.745448] L(14,  8): 386 	
[  612.765998] L(11,  8): 368 	
[  612.789764] L(20,  8): 426 	
[  612.810358] L( 8,  8): 369 	
[  612.834639] L(19,  8): 436 	
[  612.858692] L(17,  9): 431 	
[  612.882263] L(16,  9): 423 	
[  612.902859] L(12,  9): 369 	
[  612.927268] L(18,  9): 438 	
[  612.947487] L( 6,  9): 362 	
[  612.968057] L( 7,  9): 369 	
[  612.988655] L(10,  9): 369 	
[  613.013147] L(15,  9): 439 	
[  613.036043] L(21,  9): 406 	
[  613.056717] L(13,  9): 371 	
[  613.077316] L( 9,  9): 369 	
[  613.098815] L(14,  9): 386 	
[  613.119401] L(11,  9): 369 	
[  613.143229] L(20,  9): 427 	
[  613.163829] L( 8,  9): 369 	
[  613.187945] L(19,  9): 433 	
[  613.211836] L(17,  6): 428 	
[  613.235563] L(16,  6): 426 	
[  613.255831] L(12,  6): 363 	
[  613.279275] L(18,  6): 421 	
[  613.299496] L( 6,  6): 362 	
[  613.319746] L( 7,  6): 363 	
[  613.339974] L(10,  6): 363 	
[  613.363580] L(15,  6): 423 	
[  613.386067] L(21,  6): 403 	
[  613.406413] L(13,  6): 365 	
[  613.426653] L( 9,  6): 363 	
[  613.448016] L(14,  6): 383 	
[  613.468223] L(11,  6): 362 	
[  613.492064] L(20,  6): 428 	
[  613.512292] L( 8,  6): 363 	
[  613.535636] L(19,  6): 419 	
[  613.562722] L(17, 16): 486 	
[  613.590575] L(16, 16): 500 	
[  613.611215] L(12, 16): 370 	
[  613.638602] L(18, 16): 491 	
[  613.662497] L( 6, 16): 429 	
[  613.686351] L( 7, 16): 428 	
[  613.710773] L(10, 16): 438 	
[  613.738165] L(15, 16): 492 	
[  613.763776] L(21, 16): 460 	
[  613.784381] L(13, 16): 369 	
[  613.808646] L( 9, 16): 435 	
