sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  674.542521] Insert module 
[  678.083229] L(14, 19): 418 	
[  678.104565] L(12, 19): 383 	
[  678.127684] L(15, 19): 415 	
[  678.151289] L(17, 19): 423 	
[  678.173305] L( 9, 19): 395 	
[  678.195322] L(10, 19): 395 	
[  678.217693] L( 8, 19): 401 	
[  678.240044] L(21, 19): 401 	
[  678.262661] L(20, 19): 406 	
[  678.286336] L(19, 19): 425 	
[  678.308407] L(11, 19): 396 	
[  678.330430] L( 7, 19): 395 	
[  678.352155] L( 6, 19): 390 	
[  678.374690] L(18, 13): 404 	
[  678.397216] L(13, 13): 404 	
[  678.419312] L(16, 13): 396 	
[  678.442198] L(14, 13): 410 	
[  678.463114] L(12, 13): 375 	
[  678.485388] L(15, 13): 399 	
[  678.507780] L(17, 13): 401 	
[  678.529480] L( 9, 13): 389 	
[  678.550924] L(10, 13): 385 	
[  678.572348] L( 8, 13): 384 	
[  678.594564] L(21, 13): 398 	
[  678.616756] L(20, 13): 398 	
[  678.640262] L(19, 13): 422 	
[  678.662005] L(11, 13): 390 	
[  678.683625] L( 7, 13): 388 	
[  678.704551] L( 6, 13): 375 	
[  678.727511] L(18, 17): 412 	
[  678.749924] L(13, 17): 402 	
[  678.773938] L(16, 17): 431 	
[  678.797505] L(14, 17): 423 	
[  678.818152] L(12, 17): 370 	
[  678.840765] L(15, 17): 406 	
[  678.864084] L(17, 17): 418 	
[  678.885844] L( 9, 17): 390 	
[  678.907643] L(10, 17): 391 	
[  678.929657] L( 8, 17): 395 	
[  678.952096] L(21, 17): 402 	
[  678.974962] L(20, 17): 410 	
[  678.998695] L(19, 17): 426 	
[  679.020299] L(11, 17): 387 	
[  679.042633] L( 7, 17): 400 	
[  679.064659] L( 6, 17): 395 	
[  679.088100] L(18, 18): 420 	
[  679.110191] L(13, 18): 396 	
[  679.133999] L(16, 18): 427 	
[  679.156984] L(14, 18): 412 	
[  679.177946] L(12, 18): 376 	
[  679.201604] L(15, 18): 424 	
[  679.224013] L(17, 18): 402 	
[  679.245428] L( 9, 18): 384 	
[  679.267197] L(10, 18): 390 	
[  679.288934] L( 8, 18): 390 	
[  679.311707] L(21, 18): 408 	
[  679.334453] L(20, 18): 408 	
[  679.356745] L(19, 18): 400 	
[  679.378380] L(11, 18): 388 	
[  679.399768] L( 7, 18): 384 	
[  679.421453] L( 6, 18): 389 	
[  679.444882] L(18, 16): 420 	
[  679.467220] L(13, 16): 401 	
[  679.491012] L(16, 16): 427 	
[  679.514355] L(14, 16): 419 	
[  679.535534] L(12, 16): 380 	
[  679.559140] L(15, 16): 423 	
[  679.582954] L(17, 16): 427 	
[  679.605081] L( 9, 16): 397 	
[  679.627265] L(10, 16): 398 	
[  679.649685] L( 8, 16): 402 	
[  679.672487] L(21, 16): 409 	
[  679.696173] L(20, 16): 425 	
[  679.719319] L(19, 16): 415 	
[  679.740962] L(11, 16): 388 	
[  679.763526] L( 7, 16): 405 	
[  679.785520] L( 6, 16): 394 	
[  679.808294] L(18, 20): 408 	
[  679.830970] L(13, 20): 407 	
[  679.854033] L(16, 20): 414 	
[  679.877206] L(14, 20): 416 	
[  679.898229] L(12, 20): 377 	
[  679.921360] L(15, 20): 415 	
[  679.944640] L(17, 20): 418 	
[  679.965828] L( 9, 20): 380 	
[  679.987411] L(10, 20): 387 	
[  680.009321] L( 8, 20): 393 	
[  680.031903] L(21, 20): 405 	
[  680.055033] L(20, 20): 415 	
[  680.077242] L(19, 20): 398 	
[  680.098739] L(11, 20): 385 	
[  680.120532] L( 7, 20): 391 	
[  680.141694] L( 6, 20): 379 	
[  680.160997] Remove module 
