sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  731.199500] Insert module 
[  731.220472] L(12,  7): 376 	
[  731.240738] L( 6,  7): 363 	
[  731.261370] L( 8,  7): 370 	
[  731.283631] L(17,  7): 399 	
[  731.305857] L(15,  7): 399 	
[  731.327478] L(13,  7): 388 	
[  731.348125] L(11,  7): 370 	
[  731.368775] L( 7,  7): 370 	
[  731.390209] L(21,  7): 384 	
[  731.412260] L(20,  7): 395 	
[  731.434728] L(16,  7): 403 	
[  731.457164] L(19,  7): 402 	
[  731.477794] L(10,  7): 370 	
[  731.500249] L(14,  7): 403 	
[  731.520877] L( 9,  7): 370 	
[  731.542859] L(18,  7): 394 	
[  731.563755] L(12, 12): 375 	
[  731.584223] L( 6, 12): 367 	
[  731.605146] L( 8, 12): 375 	
[  731.625978] L(17, 12): 373 	
[  731.646910] L(15, 12): 375 	
[  731.667689] L(13, 12): 373 	
[  731.688460] L(11, 12): 372 	
[  731.709450] L( 7, 12): 376 	
[  731.730894] L(21, 12): 385 	
[  731.751870] L(20, 12): 376 	
[  731.772569] L(16, 12): 371 	
[  731.793611] L(19, 12): 377 	
[  731.814433] L(10, 12): 373 	
[  731.835100] L(14, 12): 371 	
[  731.855973] L( 9, 12): 374 	
[  731.876768] L(18, 12): 373 	
[  731.897406] L(12,  8): 370 	
[  731.917626] L( 6,  8): 362 	
[  731.938216] L( 8,  8): 369 	
[  731.960198] L(17,  8): 394 	
[  731.982208] L(15,  8): 395 	
[  732.003460] L(13,  8): 381 	
[  732.024045] L(11,  8): 369 	
[  732.044644] L( 7,  8): 369 	
[  732.066355] L(21,  8): 389 	
[  732.087884] L(20,  8): 386 	
[  732.110070] L(16,  8): 398 	
[  732.132381] L(19,  8): 400 	
[  732.152975] L(10,  8): 369 	
[  732.174768] L(14,  8): 391 	
[  732.195355] L( 9,  8): 369 	
[  732.216633] L(18,  8): 382 	
[  732.237558] L(12, 11): 375 	
[  732.257802] L( 6, 11): 363 	
[  732.278404] L( 8, 11): 369 	
[  732.300389] L(17, 11): 394 	
[  732.322792] L(15, 11): 402 	
[  732.344654] L(13, 11): 392 	
[  732.365218] L(11, 11): 369 	
[  732.385804] L( 7, 11): 369 	
[  732.407560] L(21, 11): 390 	
[  732.429251] L(20, 11): 389 	
[  732.451193] L(16, 11): 393 	
[  732.472988] L(19, 11): 391 	
[  732.493580] L(10, 11): 369 	
[  732.515251] L(14, 11): 389 	
[  732.535831] L( 9, 11): 369 	
[  732.557693] L(18, 11): 392 	
[  732.578775] L(12, 15): 378 	
[  732.600481] L( 6, 15): 389 	
[  732.622776] L( 8, 15): 400 	
[  732.645907] L(17, 15): 415 	
[  732.669732] L(15, 15): 427 	
[  732.691991] L(13, 15): 399 	
[  732.714757] L(11, 15): 408 	
[  732.737145] L( 7, 15): 402 	
[  732.760015] L(21, 15): 410 	
[  732.782402] L(20, 15): 401 	
[  732.805765] L(16, 15): 419 	
[  732.829845] L(19, 15): 432 	
[  732.852512] L(10, 15): 406 	
[  732.876109] L(14, 15): 423 	
[  732.898490] L( 9, 15): 401 	
[  732.921554] L(18, 15): 414 	
[  732.942374] L(12, 13): 373 	
[  732.963811] L( 6, 13): 384 	
[  732.985311] L( 8, 13): 386 	
[  733.007674] L(17, 13): 401 	
[  733.030591] L(15, 13): 411 	
[  733.052788] L(13, 13): 398 	
[  733.074482] L(11, 13): 389 	
[  733.096011] L( 7, 13): 386 	
[  733.119495] L(21, 13): 421 	
[  733.142014] L(20, 13): 404 	
[  733.164340] L(16, 13): 400 	
[  733.186975] L(19, 13): 406 	
[  733.208886] L(10, 13): 393 	
[  733.231703] L(14, 13): 409 	
[  733.253041] L( 9, 13): 383 	
[  733.274936] L(18, 13): 393 	
[  733.295737] L(12, 20): 373 	
[  733.317186] L( 6, 20): 385 	
[  733.338495] L( 8, 20): 382 	
[  733.360689] L(17, 20): 398 	
[  733.383600] L(15, 20): 411 	
[  733.406828] L(13, 20): 417 	
[  733.428522] L(11, 20): 389 	
[  733.450026] L( 7, 20): 386 	
[  733.472880] L(21, 20): 410 	
[  733.496036] L(20, 20): 415 	
[  733.518574] L(16, 20): 404 	
[  733.541749] L(19, 20): 416 	
[  733.563120] L(10, 20): 383 	
[  733.586087] L(14, 20): 412 	
[  733.607670] L( 9, 20): 387 	
[  733.629584] L(18, 20): 393 	
[  733.650255] L(12,  9): 371 	
[  733.670511] L( 6,  9): 363 	
[  733.691103] L( 8,  9): 369 	
[  733.713777] L(17,  9): 407 	
[  733.736324] L(15,  9): 404 	
[  733.757685] L(13,  9): 383 	
[  733.778277] L(11,  9): 369 	
[  733.798841] L( 7,  9): 369 	
[  733.820481] L(21,  9): 388 	
[  733.841975] L(20,  9): 385 	
[  733.864105] L(16,  9): 397 	
[  733.885768] L(19,  9): 388 	
[  733.906363] L(10,  9): 369 	
[  733.927510] L(14,  9): 379 	
[  733.948095] L( 9,  9): 369 	
[  733.969937] L(18,  9): 392 	
[  733.990910] L(12, 18): 376 	
[  734.012668] L( 6, 18): 390 	
[  734.034172] L( 8, 18): 386 	
[  734.057374] L(17, 18): 416 	
[  734.080053] L(15, 18): 407 	
[  734.102409] L(13, 18): 401 	
[  734.124369] L(11, 18): 394 	
[  734.146440] L( 7, 18): 396 	
[  734.168947] L(21, 18): 404 	
[  734.192045] L(20, 18): 414 	
[  734.215130] L(16, 18): 414 	
[  734.237876] L(19, 18): 408 	
[  734.259513] L(10, 18): 388 	
[  734.283552] L(14, 18): 431 	
[  734.305354] L( 9, 18): 391 	
[  734.328347] L(18, 18): 412 	
[  734.348961] L(12, 17): 370 	
[  734.370777] L( 6, 17): 391 	
[  734.393282] L( 8, 17): 404 	
[  734.417174] L(17, 17): 429 	
[  734.440904] L(15, 17): 426 	
[  734.462972] L(13, 17): 396 	
[  734.485243] L(11, 17): 399 	
[  734.507363] L( 7, 17): 397 	
[  734.529734] L(21, 17): 401 	
[  734.551626] L(20, 17): 393 	
[  734.575858] L(16, 17): 433 	
[  734.602096] L(19, 17): 425 	
[  734.624623] L(10, 17): 404 	
[  734.648906] L(14, 17): 436 	
[  734.671319] L( 9, 17): 402 	
[  734.694169] L(18, 17): 410 	
[  734.715239] L(12, 16): 378 	
[  734.736931] L( 6, 16): 389 	
[  734.759383] L( 8, 16): 403 	
[  734.782379] L(17, 16): 412 	
[  734.806066] L(15, 16): 425 	
[  734.828213] L(13, 16): 397 	
[  734.850757] L(11, 16): 404 	
[  734.873100] L( 7, 16): 401 	
[  734.895775] L(21, 16): 407 	
[  734.918711] L(20, 16): 411 	
[  734.943046] L(16, 16): 437 	
[  734.966819] L(19, 16): 426 	
[  734.988898] L(10, 16): 396 	
[  735.012533] L(14, 16): 424 	
[  735.034642] L( 9, 16): 396 	
[  735.057585] L(18, 16): 411 	
[  735.078458] L(12, 10): 374 	
[  735.098627] L( 6, 10): 362 	
[  735.119206] L( 8, 10): 369 	
[  735.142046] L(17, 10): 410 	
[  735.164442] L(15, 10): 402 	
[  735.185878] L(13, 10): 384 	
[  735.206456] L(11, 10): 369 	
[  735.227035] L( 7, 10): 369 	
[  735.248546] L(21, 10): 386 	
[  735.270045] L(20, 10): 386 	
[  735.292229] L(16, 10): 398 	
[  735.314734] L(19, 10): 404 	
[  735.335280] L(10, 10): 368 	
[  735.356649] L(14, 10): 383 	
[  735.377230] L( 9, 10): 369 	
[  735.398771] L(18, 10): 386 	
[  735.419214] L(12,  6): 367 	
[  735.439476] L( 6,  6): 363 	
[  735.459708] L( 8,  6): 363 	
[  735.481823] L(17,  6): 397 	
[  735.503806] L(15,  6): 394 	
[  735.525106] L(13,  6): 382 	
[  735.545346] L(11,  6): 363 	
[  735.565516] L( 7,  6): 362 	
[  735.586494] L(21,  6): 376 	
[  735.607905] L(20,  6): 384 	
[  735.629688] L(16,  6): 391 	
[  735.651191] L(19,  6): 386 	
[  735.671407] L(10,  6): 362 	
[  735.692922] L(14,  6): 386 	
[  735.713175] L( 9,  6): 363 	
[  735.734518] L(18,  6): 383 	
[  735.755396] L(12, 19): 374 	
[  735.777202] L( 6, 19): 391 	
[  735.799683] L( 8, 19): 403 	
[  735.822821] L(17, 19): 415 	
[  735.847347] L(15, 19): 440 	
[  735.870095] L(13, 19): 408 	
[  735.892387] L(11, 19): 400 	
[  735.914396] L( 7, 19): 395 	
[  735.937072] L(21, 19): 407 	
[  735.959928] L(20, 19): 410 	
[  735.983653] L(16, 19): 426 	
[  736.007381] L(19, 19): 426 	
[  736.029014] L(10, 19): 388 	
[  736.052284] L(14, 19): 417 	
[  736.074903] L( 9, 19): 406 	
[  736.098468] L(18, 19): 423 	
[  736.119901] L(12, 21): 384 	
[  736.140815] L( 6, 21): 375 	
[  736.162448] L( 8, 21): 388 	
[  736.184540] L(17, 21): 396 	
[  736.207818] L(15, 21): 418 	
[  736.230636] L(13, 21): 409 	
[  736.251910] L(11, 21): 381 	
[  736.273603] L( 7, 21): 389 	
[  736.296850] L(21, 21): 417 	
[  736.319087] L(20, 21): 399 	
[  736.342213] L(16, 21): 415 	
[  736.365085] L(19, 21): 410 	
[  736.386873] L(10, 21): 391 	
[  736.409758] L(14, 21): 410 	
[  736.431066] L( 9, 21): 382 	
[  736.453608] L(18, 21): 404 	
[  736.474359] L(12, 14): 372 	
[  736.495827] L( 6, 14): 385 	
[  736.517769] L( 8, 14): 393 	
[  736.541686] L(17, 14): 429 	
[  736.565748] L(15, 14): 432 	
[  736.588896] L(13, 14): 415 	
[  736.611080] L(11, 14): 398 	
[  736.633179] L( 7, 14): 396 	
[  736.655781] L(21, 14): 405 	
[  736.678521] L(20, 14): 408 	
[  736.702615] L(16, 14): 432 	
[  736.725397] L(19, 14): 409 	
[  736.747194] L(10, 14): 391 	
[  736.770359] L(14, 14): 416 	
[  736.792158] L( 9, 14): 391 	
[  736.816349] L(18, 14): 434 	
[  736.838533] Remove module 
