sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  680.225630] Insert module 
[  680.248172] L(20, 17): 404 	
[  680.270733] L(17, 17): 405 	
[  680.292200] L( 6, 17): 385 	
[  680.314843] L(13, 17): 406 	
[  680.336445] L(11, 17): 387 	
[  680.357982] L( 8, 17): 386 	
[  680.381017] L(19, 17): 413 	
[  680.402682] L(10, 17): 388 	
[  680.425502] L(14, 17): 409 	
[  680.448000] L(16, 17): 403 	
[  680.470125] L(21, 17): 397 	
[  680.491936] L( 9, 17): 391 	
[  680.514490] L(18, 17): 404 	
[  680.535725] L( 7, 17): 381 	
[  680.558465] L(15, 17): 408 	
[  680.579733] L(12, 17): 381 	
[  680.601288] L(20, 10): 387 	
[  680.622601] L(17, 10): 382 	
[  680.642843] L( 6, 10): 363 	
[  680.664581] L(13, 10): 390 	
[  680.685152] L(11, 10): 369 	
[  680.705745] L( 8, 10): 369 	
[  680.727173] L(19, 10): 384 	
[  680.747758] L(10, 10): 369 	
[  680.769202] L(14, 10): 385 	
[  680.790798] L(16, 10): 387 	
[  680.812259] L(21, 10): 385 	
[  680.832825] L( 9, 10): 369 	
[  680.854718] L(18, 10): 393 	
[  680.875299] L( 7, 10): 369 	
[  680.896941] L(15, 10): 388 	
[  680.917935] L(12, 10): 376 	
[  680.940389] L(20, 15): 403 	
[  680.963134] L(17, 15): 408 	
[  680.984768] L( 6, 15): 388 	
[  681.007434] L(13, 15): 407 	
[  681.029176] L(11, 15): 390 	
[  681.050779] L( 8, 15): 387 	
[  681.072413] L(19, 15): 388 	
[  681.094468] L(10, 15): 396 	
[  681.116965] L(14, 15): 403 	
[  681.138845] L(16, 15): 392 	
[  681.160849] L(21, 15): 395 	
[  681.182733] L( 9, 15): 392 	
[  681.205280] L(18, 15): 404 	
[  681.227532] L( 7, 15): 399 	
[  681.249831] L(15, 15): 400 	
[  681.271162] L(12, 15): 382 	
[  681.292202] L(20,  7): 377 	
[  681.313783] L(17,  7): 387 	
[  681.333955] L( 6,  7): 362 	
[  681.355484] L(13,  7): 386 	
[  681.376090] L(11,  7): 369 	
[  681.396672] L( 8,  7): 369 	
[  681.418011] L(19,  7): 383 	
[  681.438594] L(10,  7): 369 	
[  681.459902] L(14,  7): 382 	
[  681.481530] L(16,  7): 388 	
[  681.502478] L(21,  7): 376 	
[  681.523065] L( 9,  7): 369 	
[  681.544916] L(18,  7): 392 	
[  681.565459] L( 7,  7): 368 	
[  681.587284] L(15,  7): 391 	
[  681.608151] L(12,  7): 374 	
[  681.630895] L(20, 18): 408 	
[  681.653448] L(17, 18): 404 	
[  681.674631] L( 6, 18): 380 	
[  681.697401] L(13, 18): 408 	
[  681.719116] L(11, 18): 389 	
[  681.740732] L( 8, 18): 388 	
[  681.763315] L(19, 18): 405 	
[  681.784793] L(10, 18): 385 	
[  681.806979] L(14, 18): 398 	
[  681.829845] L(16, 18): 410 	
[  681.851825] L(21, 18): 394 	
[  681.873784] L( 9, 18): 394 	
[  681.895986] L(18, 18): 398 	
[  681.917529] L( 7, 18): 386 	
[  681.940164] L(15, 18): 406 	
[  681.961513] L(12, 18): 383 	
[  681.984779] L(20, 16): 417 	
[  682.007182] L(17, 16): 402 	
[  682.028482] L( 6, 16): 382 	
[  682.050911] L(13, 16): 402 	
[  682.072386] L(11, 16): 385 	
[  682.093853] L( 8, 16): 385 	
[  682.116393] L(19, 16): 404 	
[  682.138035] L(10, 16): 388 	
[  682.161169] L(14, 16): 415 	
[  682.183330] L(16, 16): 397 	
[  682.205539] L(21, 16): 398 	
[  682.226966] L( 9, 16): 384 	
[  682.249940] L(18, 16): 412 	
[  682.271359] L( 7, 16): 384 	
[  682.294115] L(15, 16): 408 	
[  682.315470] L(12, 16): 383 	
[  682.338274] L(20, 13): 409 	
[  682.360753] L(17, 13): 403 	
[  682.382180] L( 6, 13): 384 	
[  682.404627] L(13, 13): 403 	
[  682.426700] L(11, 13): 396 	
[  682.448533] L( 8, 13): 392 	
[  682.470841] L(19, 13): 400 	
[  682.492805] L(10, 13): 394 	
[  682.515302] L(14, 13): 403 	
[  682.537861] L(16, 13): 405 	
[  682.560325] L(21, 13): 403 	
[  682.581788] L( 9, 13): 385 	
[  682.603875] L(18, 13): 396 	
[  682.625501] L( 7, 13): 388 	
[  682.648735] L(15, 13): 417 	
[  682.670111] L(12, 13): 383 	
[  682.691466] L(20, 19): 383 	
[  682.714706] L(17, 19): 417 	
[  682.736171] L( 6, 19): 382 	
[  682.759016] L(13, 19): 410 	
[  682.780485] L(11, 19): 385 	
[  682.801875] L( 8, 19): 384 	
[  682.824085] L(19, 19): 398 	
[  682.845505] L(10, 19): 384 	
[  682.867679] L(14, 19): 398 	
[  682.889723] L(16, 19): 395 	
[  682.912132] L(21, 19): 402 	
[  682.933250] L( 9, 19): 379 	
[  682.955621] L(18, 19): 401 	
[  682.977204] L( 7, 19): 387 	
[  682.999015] L(15, 19): 391 	
[  683.020442] L(12, 19): 384 	
[  683.041310] L(20,  6): 374 	
[  683.062354] L(17,  6): 377 	
[  683.082589] L( 6,  6): 363 	
[  683.103856] L(13,  6): 381 	
[  683.124110] L(11,  6): 363 	
[  683.144345] L( 8,  6): 363 	
[  683.165519] L(19,  6): 380 	
[  683.185765] L(10,  6): 363 	
[  683.206621] L(14,  6): 374 	
[  683.227783] L(16,  6): 379 	
[  683.248726] L(21,  6): 376 	
[  683.268960] L( 9,  6): 363 	
[  683.289674] L(18,  6): 371 	
[  683.309905] L( 7,  6): 363 	
[  683.331170] L(15,  6): 381 	
[  683.351729] L(12,  6): 369 	
[  683.373786] L(20, 20): 396 	
[  683.396443] L(17, 20): 406 	
[  683.417344] L( 6, 20): 375 	
[  683.440055] L(13, 20): 407 	
[  683.461154] L(11, 20): 378 	
[  683.482587] L( 8, 20): 384 	
[  683.504197] L(19, 20): 388 	
[  683.525561] L(10, 20): 383 	
[  683.547600] L(14, 20): 395 	
[  683.570552] L(16, 20): 412 	
[  683.593546] L(21, 20): 412 	
[  683.614829] L( 9, 20): 381 	
[  683.637508] L(18, 20): 407 	
[  683.658712] L( 7, 20): 380 	
[  683.681247] L(15, 20): 404 	
[  683.702624] L(12, 20): 383 	
[  683.724712] L(20, 21): 396 	
[  683.746658] L(17, 21): 394 	
[  683.767560] L( 6, 21): 375 	
[  683.789828] L(13, 21): 399 	
[  683.810761] L(11, 21): 375 	
[  683.832215] L( 8, 21): 385 	
[  683.853867] L(19, 21): 388 	
[  683.875186] L(10, 21): 382 	
[  683.896783] L(14, 21): 387 	
[  683.918512] L(16, 21): 390 	
