sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  719.810655] Insert module 
[  719.832602] L(21,  9): 393 	
[  719.853571] L(12,  9): 376 	
[  719.875436] L(16,  9): 392 	
[  719.897179] L(14,  9): 390 	
[  719.917742] L( 7,  9): 369 	
[  719.940036] L(15,  9): 400 	
[  719.960656] L(11,  9): 370 	
[  719.981288] L( 8,  9): 370 	
[  720.001507] L( 6,  9): 362 	
[  720.022095] L( 9,  9): 369 	
[  720.042694] L(10,  9): 369 	
[  720.064271] L(20,  9): 387 	
[  720.085647] L(13,  9): 383 	
[  720.107289] L(17,  9): 388 	
[  720.128916] L(18,  9): 388 	
[  720.150633] L(19,  9): 389 	
[  720.174422] L(21, 14): 427 	
[  720.195561] L(12, 14): 379 	
[  720.218384] L(16, 14): 409 	
[  720.241198] L(14, 14): 409 	
[  720.263052] L( 7, 14): 392 	
[  720.286473] L(15, 14): 420 	
[  720.308494] L(11, 14): 395 	
[  720.330188] L( 8, 14): 389 	
[  720.351632] L( 6, 14): 385 	
[  720.373313] L( 9, 14): 389 	
[  720.395174] L(10, 14): 392 	
[  720.418177] L(20, 14): 413 	
[  720.441178] L(13, 14): 413 	
[  720.464347] L(17, 14): 416 	
[  720.487049] L(18, 14): 407 	
[  720.509472] L(19, 14): 402 	
[  720.531003] L(21,  7): 386 	
[  720.551902] L(12,  7): 375 	
[  720.574033] L(16,  7): 397 	
[  720.595945] L(14,  7): 393 	
[  720.616507] L( 7,  7): 369 	
[  720.638522] L(15,  7): 395 	
[  720.659110] L(11,  7): 369 	
[  720.679711] L( 8,  7): 369 	
[  720.699925] L( 6,  7): 362 	
[  720.720514] L( 9,  7): 369 	
[  720.741114] L(10,  7): 369 	
[  720.762918] L(20,  7): 391 	
[  720.784255] L(13,  7): 383 	
[  720.806333] L(17,  7): 396 	
[  720.827765] L(18,  7): 384 	
[  720.849706] L(19,  7): 393 	
[  720.871726] L(21, 10): 395 	
[  720.892481] L(12, 10): 372 	
[  720.914825] L(16, 10): 401 	
[  720.936818] L(14, 10): 394 	
[  720.957414] L( 7, 10): 369 	
[  720.979718] L(15, 10): 400 	
[  721.000273] L(11, 10): 369 	
[  721.020880] L( 8, 10): 369 	
