sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  639.749182] Insert module 
[  639.770410] L(12, 18): 376 	
[  639.794774] L(16, 18): 437 	
[  639.817984] L( 8, 18): 416 	
[  639.842754] L(14, 18): 444 	
[  639.865744] L(11, 18): 412 	
[  639.888213] L( 6, 18): 403 	
[  639.910873] L(10, 18): 406 	
[  639.934972] L(15, 18): 432 	
[  639.957725] L( 7, 18): 408 	
[  639.982597] L(18, 18): 446 	
[  640.005699] L(21, 18): 414 	
[  640.028755] L( 9, 18): 414 	
[  640.050200] L(13, 18): 385 	
[  640.073786] L(17, 18): 423 	
[  640.097776] L(20, 18): 430 	
[  640.121400] L(19, 18): 424 	
[  640.142112] L(12, 20): 371 	
[  640.165792] L(16, 20): 425 	
[  640.187813] L( 8, 20): 395 	
[  640.212873] L(14, 20): 450 	
[  640.234994] L(11, 20): 396 	
[  640.256202] L( 6, 20): 380 	
[  640.278055] L(10, 20): 392 	
[  640.302591] L(15, 20): 440 	
[  640.324389] L( 7, 20): 391 	
[  640.348375] L(18, 20): 430 	
[  640.371995] L(21, 20): 424 	
[  640.393795] L( 9, 20): 391 	
[  640.415692] L(13, 20): 393 	
[  640.439221] L(17, 20): 422 	
[  640.463426] L(20, 20): 434 	
[  640.486804] L(19, 20): 419 	
[  640.507504] L(12, 11): 371 	
[  640.530352] L(16, 11): 410 	
[  640.550909] L( 8, 11): 369 	
[  640.573203] L(14, 11): 400 	
[  640.593801] L(11, 11): 369 	
[  640.614037] L( 6, 11): 363 	
[  640.634596] L(10, 11): 369 	
[  640.657324] L(15, 11): 408 	
[  640.677908] L( 7, 11): 369 	
[  640.700327] L(18, 11): 402 	
[  640.722181] L(21, 11): 392 	
[  640.742797] L( 9, 11): 369 	
[  640.763946] L(13, 11): 379 	
[  640.786091] L(17, 11): 397 	
[  640.807885] L(20, 11): 391 	
[  640.830014] L(19, 11): 397 	
[  640.850697] L(12,  8): 370 	
[  640.873372] L(16,  8): 407 	
[  640.893956] L( 8,  8): 369 	
[  640.916051] L(14,  8): 396 	
[  640.936672] L(11,  8): 369 	
[  640.956932] L( 6,  8): 363 	
[  640.977524] L(10,  8): 369 	
[  641.000555] L(15,  8): 413 	
[  641.021141] L( 7,  8): 369 	
[  641.044368] L(18,  8): 417 	
[  641.066685] L(21,  8): 400 	
[  641.087269] L( 9,  8): 369 	
[  641.108531] L(13,  8): 381 	
[  641.130820] L(17,  8): 400 	
[  641.152913] L(20,  8): 396 	
[  641.174938] L(19,  8): 395 	
[  641.195614] L(12, 21): 371 	
[  641.219022] L(16, 21): 420 	
[  641.240874] L( 8, 21): 392 	
[  641.264320] L(14, 21): 420 	
[  641.286040] L(11, 21): 389 	
[  641.307337] L( 6, 21): 382 	
[  641.329191] L(10, 21): 392 	
[  641.352297] L(15, 21): 414 	
[  641.374367] L( 7, 21): 396 	
[  641.397772] L(18, 21): 420 	
[  641.421047] L(21, 21): 417 	
[  641.442844] L( 9, 21): 391 	
[  641.467269] L(13, 21): 438 	
[  641.490256] L(17, 21): 412 	
[  641.513045] L(20, 21): 409 	
[  641.535940] L(19, 21): 411 	
[  641.556292] L(12,  6): 365 	
[  641.579032] L(16,  6): 408 	
[  641.599235] L( 8,  6): 362 	
[  641.620977] L(14,  6): 390 	
[  641.641225] L(11,  6): 363 	
[  641.661503] L( 6,  6): 364 	
[  641.681768] L(10,  6): 363 	
[  641.704878] L(15,  6): 414 	
[  641.725111] L( 7,  6): 363 	
[  641.747844] L(18,  6): 408 	
[  641.768909] L(21,  6): 378 	
[  641.789141] L( 9,  6): 363 	
[  641.809918] L(13,  6): 373 	
[  641.832237] L(17,  6): 400 	
[  641.853659] L(20,  6): 384 	
[  641.875755] L(19,  6): 396 	
[  641.896352] L(12,  7): 369 	
[  641.918954] L(16,  7): 405 	
[  641.939546] L( 8,  7): 369 	
[  641.961766] L(14,  7): 398 	
[  641.982349] L(11,  7): 369 	
[  642.002592] L( 6,  7): 363 	
[  642.023181] L(10,  7): 369 	
[  642.046411] L(15,  7): 417 	
[  642.066970] L( 7,  7): 369 	
[  642.090139] L(18,  7): 416 	
[  642.111671] L(21,  7): 386 	
[  642.132227] L( 9,  7): 369 	
[  642.153654] L(13,  7): 384 	
[  642.176115] L(17,  7): 403 	
[  642.198391] L(20,  7): 400 	
[  642.220898] L(19,  7): 404 	
[  642.241607] L(12, 17): 371 	
[  642.265698] L(16, 17): 432 	
[  642.288108] L( 8, 17): 402 	
[  642.311921] L(14, 17): 427 	
[  642.334518] L(11, 17): 405 	
[  642.356641] L( 6, 17): 397 	
[  642.379147] L(10, 17): 404 	
[  642.404053] L(15, 17): 447 	
[  642.426285] L( 7, 17): 399 	
[  642.449389] L(18, 17): 414 	
[  642.472701] L(21, 17): 418 	
[  642.495052] L( 9, 17): 401 	
[  642.516465] L(13, 17): 384 	
[  642.540495] L(17, 17): 431 	
[  642.564825] L(20, 17): 436 	
[  642.589102] L(19, 17): 436 	
[  642.609704] L(12, 12): 369 	
[  642.630427] L(16, 12): 372 	
[  642.651103] L( 8, 12): 371 	
[  642.671790] L(14, 12): 371 	
[  642.692450] L(11, 12): 370 	
[  642.712705] L( 6, 12): 363 	
[  642.733386] L(10, 12): 371 	
[  642.754018] L(15, 12): 370 	
[  642.774665] L( 7, 12): 370 	
[  642.795302] L(18, 12): 370 	
[  642.815951] L(21, 12): 370 	
[  642.836603] L( 9, 12): 370 	
[  642.857305] L(13, 12): 371 	
[  642.878133] L(17, 12): 373 	
[  642.898825] L(20, 12): 370 	
[  642.920028] L(19, 12): 380 	
[  642.940793] L(12, 13): 372 	
[  642.962892] L(16, 13): 396 	
[  642.984095] L( 8, 13): 380 	
[  643.006072] L(14, 13): 394 	
[  643.027964] L(11, 13): 387 	
[  643.048887] L( 6, 13): 375 	
[  643.069878] L(10, 13): 376 	
[  643.091450] L(15, 13): 387 	
[  643.112911] L( 7, 13): 385 	
[  643.134502] L(18, 13): 387 	
[  643.157622] L(21, 13): 415 	
[  643.178576] L( 9, 13): 375 	
[  643.200290] L(13, 13): 389 	
[  643.222112] L(17, 13): 391 	
[  643.244514] L(20, 13): 402 	
[  643.266789] L(19, 13): 399 	
[  643.287635] L(12, 19): 374 	
[  643.311543] L(16, 19): 429 	
[  643.334251] L( 8, 19): 407 	
[  643.358649] L(14, 19): 438 	
[  643.381050] L(11, 19): 402 	
[  643.402742] L( 6, 19): 389 	
[  643.424756] L(10, 19): 395 	
[  643.448649] L(15, 19): 429 	
[  643.470988] L( 7, 19): 401 	
[  643.494987] L(18, 19): 431 	
[  643.518010] L(21, 19): 413 	
[  643.540245] L( 9, 19): 399 	
[  643.562488] L(13, 19): 399 	
[  643.588124] L(17, 19): 460 	
[  643.612324] L(20, 19): 434 	
[  643.636926] L(19, 19): 441 	
[  643.657526] L(12,  9): 369 	
[  643.680200] L(16,  9): 407 	
[  643.700809] L( 8,  9): 369 	
[  643.723380] L(14,  9): 405 	
[  643.743976] L(11,  9): 369 	
[  643.764206] L( 6,  9): 363 	
[  643.784769] L(10,  9): 369 	
[  643.808432] L(15,  9): 424 	
[  643.829026] L( 7,  9): 369 	
[  643.851534] L(18,  9): 403 	
[  643.873390] L(21,  9): 392 	
[  643.893979] L( 9,  9): 369 	
[  643.915234] L(13,  9): 380 	
[  643.937777] L(17,  9): 404 	
[  643.959611] L(20,  9): 392 	
[  643.981825] L(19,  9): 398 	
[  644.002573] L(12, 14): 372 	
[  644.027012] L(16, 14): 438 	
[  644.049595] L( 8, 14): 405 	
[  644.074210] L(14, 14): 442 	
[  644.096336] L(11, 14): 397 	
[  644.118323] L( 6, 14): 394 	
[  644.140181] L(10, 14): 392 	
[  644.164650] L(15, 14): 439 	
[  644.186758] L( 7, 14): 396 	
[  644.210417] L(18, 14): 424 	
[  644.233625] L(21, 14): 416 	
[  644.255650] L( 9, 14): 395 	
[  644.277348] L(13, 14): 389 	
[  644.301613] L(17, 14): 435 	
[  644.326310] L(20, 14): 443 	
[  644.350640] L(19, 14): 436 	
[  644.371244] L(12, 16): 369 	
[  644.395958] L(16, 16): 443 	
[  644.418495] L( 8, 16): 404 	
[  644.443001] L(14, 16): 440 	
[  644.466017] L(11, 16): 413 	
[  644.488864] L( 6, 16): 410 	
[  644.511320] L(10, 16): 403 	
[  644.535793] L(15, 16): 439 	
[  644.558688] L( 7, 16): 411 	
[  644.582722] L(18, 16): 431 	
[  644.605970] L(21, 16): 417 	
[  644.628576] L( 9, 16): 405 	
[  644.650472] L(13, 16): 393 	
[  644.674646] L(17, 16): 434 	
[  644.698081] L(20, 16): 420 	
[  644.721400] L(19, 16): 418 	
[  644.742155] L(12, 10): 372 	
[  644.764926] L(16, 10): 408 	
[  644.785525] L( 8, 10): 369 	
[  644.808072] L(14, 10): 404 	
[  644.828666] L(11, 10): 369 	
[  644.848886] L( 6, 10): 362 	
[  644.869469] L(10, 10): 369 	
[  644.892265] L(15, 10): 409 	
[  644.912848] L( 7, 10): 369 	
[  644.935708] L(18, 10): 409 	
[  644.957317] L(21, 10): 387 	
[  644.977910] L( 9, 10): 369 	
[  644.999084] L(13, 10): 380 	
[  645.021279] L(17, 10): 398 	
[  645.043610] L(20, 10): 400 	
[  645.065769] L(19, 10): 397 	
[  645.086377] L(12, 15): 369 	
[  645.111527] L(16, 15): 451 	
[  645.134666] L( 8, 15): 415 	
[  645.158400] L(14, 15): 426 	
