sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  668.805443] Insert module 
[  668.826600] L(12, 15): 378 	
[  668.848827] L( 9, 15): 399 	
[  668.871974] L(21, 15): 415 	
[  668.895994] L(16, 15): 431 	
[  668.918208] L(11, 15): 398 	
[  668.940139] L( 8, 15): 393 	
[  668.963590] L(18, 15): 421 	
[  668.986541] L(15, 15): 412 	
[  669.008899] L( 7, 15): 401 	
[  669.030934] L(10, 15): 395 	
[  669.054667] L(20, 15): 426 	
[  669.077229] L(13, 15): 405 	
[  669.101512] L(14, 15): 436 	
[  669.123539] L( 6, 15): 395 	
[  669.146740] L(19, 15): 416 	
[  669.170583] L(17, 15): 428 	
[  669.191416] L(12, 14): 374 	
[  669.213395] L( 9, 14): 394 	
[  669.235908] L(21, 14): 404 	
[  669.260258] L(16, 14): 437 	
[  669.281926] L(11, 14): 389 	
[  669.303844] L( 8, 14): 393 	
[  669.327337] L(18, 14): 421 	
[  669.350583] L(15, 14): 417 	
[  669.372441] L( 7, 14): 392 	
[  669.393910] L(10, 14): 385 	
[  669.417146] L(20, 14): 417 	
[  669.439362] L(13, 14): 398 	
[  669.462521] L(14, 14): 415 	
[  669.484299] L( 6, 14): 391 	
[  669.507662] L(19, 14): 419 	
[  669.531225] L(17, 14): 423 	
[  669.552004] L(12,  7): 373 	
[  669.572580] L( 9,  7): 369 	
[  669.594321] L(21,  7): 390 	
[  669.616194] L(16,  7): 392 	
[  669.636768] L(11,  7): 369 	
[  669.657367] L( 8,  7): 369 	
[  669.678773] L(18,  7): 384 	
[  669.700969] L(15,  7): 398 	
[  669.721562] L( 7,  7): 369 	
[  669.742133] L(10,  7): 369 	
[  669.764039] L(20,  7): 393 	
[  669.785599] L(13,  7): 386 	
[  669.807232] L(14,  7): 388 	
[  669.827484] L( 6,  7): 363 	
[  669.848937] L(19,  7): 384 	
[  669.870955] L(17,  7): 395 	
[  669.891901] L(12, 18): 376 	
[  669.913640] L( 9, 18): 390 	
[  669.935902] L(21, 18): 399 	
[  669.959046] L(16, 18): 415 	
[  669.981110] L(11, 18): 396 	
