sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  627.848466] Insert module 
[  627.872164] L(20,  8): 424 	
[  627.892838] L(10,  8): 370 	
[  627.914933] L(14,  8): 396 	
[  627.938793] L(16,  8): 428 	
[  627.962365] L(17,  8): 423 	
[  627.986764] L(15,  8): 438 	
[  628.008961] L(21,  8): 398 	
[  628.029557] L( 9,  8): 369 	
[  628.053686] L(18,  8): 433 	
[  628.074285] L( 7,  8): 369 	
[  628.094522] L( 6,  8): 363 	
[  628.115107] L(11,  8): 369 	
[  628.135685] L( 8,  8): 369 	
[  628.159459] L(19,  8): 426 	
[  628.180065] L(12,  8): 369 	
[  628.200732] L(13,  8): 371 	
[  628.224923] L(20, 21): 434 	
[  628.247594] L(10, 21): 407 	
[  628.272860] L(14, 21): 453 	
[  628.297190] L(16, 21): 436 	
[  628.322108] L(17, 21): 447 	
[  628.347025] L(15, 21): 447 	
[  628.372459] L(21, 21): 456 	
[  628.395027] L( 9, 21): 405 	
[  628.420286] L(18, 21): 453 	
[  628.442893] L( 7, 21): 405 	
[  628.465495] L( 6, 21): 405 	
[  628.488326] L(11, 21): 409 	
[  628.511441] L( 8, 21): 415 	
[  628.535962] L(19, 21): 440 	
[  628.556612] L(12, 21): 369 	
[  628.577823] L(13, 21): 380 	
[  628.603803] L(20, 16): 466 	
[  628.627902] L(10, 16): 432 	
[  628.652661] L(14, 16): 444 	
[  628.679728] L(16, 16): 485 	
[  628.706189] L(17, 16): 475 	
[  628.732488] L(15, 16): 472 	
[  628.757449] L(21, 16): 448 	
[  628.781535] L( 9, 16): 432 	
[  628.808522] L(18, 16): 484 	
[  628.832477] L( 7, 16): 430 	
[  628.856539] L( 6, 16): 431 	
[  628.880845] L(11, 16): 436 	
[  628.905117] L( 8, 16): 435 	
[  628.931716] L(19, 16): 477 	
[  628.952311] L(12, 16): 369 	
[  628.973250] L(13, 16): 375 	
[  628.999771] L(20, 15): 476 	
[  629.023807] L(10, 15): 431 	
[  629.048128] L(14, 15): 436 	
[  629.075098] L(16, 15): 484 	
[  629.101685] L(17, 15): 477 	
[  629.128015] L(15, 15): 472 	
[  629.153235] L(21, 15): 452 	
[  629.177008] L( 9, 15): 426 	
[  629.204113] L(18, 15): 486 	
[  629.227781] L( 7, 15): 425 	
[  629.251471] L( 6, 15): 425 	
[  629.275514] L(11, 15): 431 	
[  629.299474] L( 8, 15): 430 	
[  629.325860] L(19, 15): 473 	
[  629.346464] L(12, 15): 369 	
[  629.367271] L(13, 15): 373 	
[  629.392501] L(20, 17): 453 	
[  629.416288] L(10, 17): 427 	
[  629.441078] L(14, 17): 445 	
[  629.466935] L(16, 17): 464 	
[  629.494058] L(17, 17): 484 	
[  629.520235] L(15, 17): 470 	
[  629.545144] L(21, 17): 447 	
[  629.568835] L( 9, 17): 425 	
[  629.595909] L(18, 17): 485 	
[  629.619491] L( 7, 17): 423 	
[  629.643160] L( 6, 17): 425 	
[  629.667275] L(11, 17): 433 	
[  629.691051] L( 8, 17): 427 	
[  629.717275] L(19, 17): 471 	
[  629.737929] L(12, 17): 370 	
[  629.759321] L(13, 17): 384 	
[  629.784231] L(20, 14): 447 	
[  629.806160] L(10, 14): 393 	
[  629.830770] L(14, 14): 441 	
[  629.855344] L(16, 14): 441 	
[  629.880603] L(17, 14): 453 	
[  629.904983] L(15, 14): 437 	
[  629.931210] L(21, 14): 470 	
[  629.953149] L( 9, 14): 393 	
[  629.977767] L(18, 14): 442 	
[  629.999416] L( 7, 14): 388 	
[  630.021426] L( 6, 14): 395 	
[  630.043066] L(11, 14): 388 	
[  630.064837] L( 8, 14): 389 	
[  630.089583] L(19, 14): 444 	
[  630.110181] L(12, 14): 369 	
[  630.131137] L(13, 14): 376 	
[  630.156975] L(20, 20): 464 	
[  630.180129] L(10, 20): 415 	
[  630.204592] L(14, 20): 439 	
[  630.230487] L(16, 20): 465 	
[  630.255978] L(17, 20): 457 	
[  630.282061] L(15, 20): 468 	
[  630.306473] L(21, 20): 438 	
[  630.330353] L( 9, 20): 428 	
[  630.355046] L(18, 20): 443 	
[  630.378647] L( 7, 20): 423 	
[  630.401960] L( 6, 20): 418 	
[  630.424947] L(11, 20): 412 	
[  630.448691] L( 8, 20): 426 	
[  630.472855] L(19, 20): 433 	
[  630.493449] L(12, 20): 369 	
[  630.515069] L(13, 20): 388 	
[  630.538222] L(20,  7): 415 	
[  630.558818] L(10,  7): 369 	
[  630.580946] L(14,  7): 397 	
[  630.605500] L(16,  7): 440 	
[  630.629320] L(17,  7): 427 	
[  630.653053] L(15,  7): 426 	
[  630.675564] L(21,  7): 404 	
[  630.696149] L( 9,  7): 369 	
[  630.719436] L(18,  7): 418 	
[  630.740027] L( 7,  7): 369 	
[  630.760256] L( 6,  7): 363 	
[  630.780834] L(11,  7): 369 	
[  630.801398] L( 8,  7): 369 	
[  630.825108] L(19,  7): 425 	
[  630.845712] L(12,  7): 369 	
[  630.866628] L(13,  7): 375 	
[  630.890057] L(20,  9): 420 	
[  630.910649] L(10,  9): 369 	
[  630.932626] L(14,  9): 394 	
[  630.957140] L(16,  9): 439 	
[  630.980866] L(17,  9): 426 	
[  631.004873] L(15,  9): 431 	
[  631.028371] L(21,  9): 416 	
[  631.048968] L( 9,  9): 369 	
[  631.073252] L(18,  9): 436 	
[  631.093853] L( 7,  9): 369 	
[  631.114084] L( 6,  9): 363 	
[  631.134641] L(11,  9): 369 	
[  631.155240] L( 8,  9): 369 	
[  631.178944] L(19,  9): 425 	
[  631.199511] L(12,  9): 369 	
[  631.220272] L(13,  9): 372 	
[  631.240862] L(20, 12): 369 	
[  631.261486] L(10, 12): 370 	
[  631.282061] L(14, 12): 369 	
[  631.302658] L(16, 12): 369 	
[  631.323267] L(17, 12): 369 	
[  631.343865] L(15, 12): 369 	
[  631.364462] L(21, 12): 369 	
[  631.385039] L( 9, 12): 369 	
[  631.405630] L(18, 12): 369 	
[  631.426230] L( 7, 12): 369 	
[  631.446508] L( 6, 12): 364 	
[  631.467057] L(11, 12): 368 	
[  631.487657] L( 8, 12): 369 	
[  631.508255] L(19, 12): 369 	
[  631.528843] L(12, 12): 369 	
[  631.549407] L(13, 12): 369 	
[  631.574295] L(20, 19): 447 	
[  631.599117] L(10, 19): 444 	
[  631.624171] L(14, 19): 449 	
[  631.650641] L(16, 19): 475 	
[  631.676434] L(17, 19): 463 	
[  631.703255] L(15, 19): 481 	
[  631.728076] L(21, 19): 445 	
[  631.751958] L( 9, 19): 428 	
[  631.777912] L(18, 19): 466 	
[  631.801596] L( 7, 19): 425 	
[  631.824694] L( 6, 19): 414 	
[  631.848195] L(11, 19): 421 	
[  631.871937] L( 8, 19): 426 	
[  631.898476] L(19, 19): 476 	
[  631.919065] L(12, 19): 369 	
