sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  645.526875] Insert module 
[  645.547252] L(11,  6): 365 	
[  645.567447] L( 7,  6): 362 	
[  645.587707] L( 9,  6): 363 	
[  645.610885] L(19,  6): 416 	
[  645.632762] L(20,  6): 392 	
[  645.653106] L(12,  6): 365 	
[  645.676230] L(17,  6): 415 	
[  645.696515] L( 6,  6): 364 	
[  645.716748] L(10,  6): 363 	
[  645.736996] L( 8,  6): 363 	
[  645.760233] L(16,  6): 417 	
[  645.780840] L(13,  6): 369 	
[  645.803819] L(18,  6): 412 	
[  645.826129] L(14,  6): 400 	
[  645.848800] L(21,  6): 406 	
[  645.871972] L(15,  6): 416 	
[  645.895748] L(11, 17): 426 	
[  645.919534] L( 7, 17): 427 	
[  645.943085] L( 9, 17): 422 	
[  645.969343] L(19, 17): 471 	
[  645.994175] L(20, 17): 445 	
[  646.014777] L(12, 17): 369 	
[  646.041206] L(17, 17): 474 	
[  646.064336] L( 6, 17): 415 	
[  646.088186] L(10, 17): 428 	
[  646.112057] L( 8, 17): 428 	
[  646.138256] L(16, 17): 470 	
[  646.159503] L(13, 17): 381 	
[  646.185780] L(18, 17): 472 	
[  646.211207] L(14, 17): 456 	
[  646.235912] L(21, 17): 443 	
[  646.261521] L(15, 17): 459 	
[  646.282307] L(11, 12): 373 	
[  646.302954] L( 7, 12): 370 	
[  646.323547] L( 9, 12): 369 	
[  646.344144] L(19, 12): 369 	
[  646.364743] L(20, 12): 369 	
[  646.385333] L(12, 12): 369 	
[  646.405942] L(17, 12): 369 	
[  646.426223] L( 6, 12): 364 	
[  646.446818] L(10, 12): 369 	
[  646.467389] L( 8, 12): 369 	
[  646.487985] L(16, 12): 369 	
[  646.508580] L(13, 12): 369 	
[  646.529188] L(18, 12): 369 	
[  646.549753] L(14, 12): 369 	
[  646.570352] L(21, 12): 369 	
[  646.590958] L(15, 12): 369 	
[  646.611544] L(11,  9): 369 	
[  646.632104] L( 7,  9): 369 	
[  646.652700] L( 9,  9): 369 	
[  646.675805] L(19,  9): 414 	
[  646.697934] L(20,  9): 397 	
[  646.718508] L(12,  9): 369 	
[  646.742063] L(17,  9): 422 	
[  646.762330] L( 6,  9): 363 	
[  646.782882] L(10,  9): 368 	
[  646.803466] L( 8,  9): 369 	
[  646.827032] L(16,  9): 423 	
[  646.847844] L(13,  9): 373 	
[  646.871422] L(18,  9): 423 	
[  646.893388] L(14,  9): 394 	
[  646.916519] L(21,  9): 415 	
[  646.940231] L(15,  9): 425 	
[  646.964112] L(11, 16): 428 	
[  646.987525] L( 7, 16): 420 	
[  647.010955] L( 9, 16): 420 	
[  647.036205] L(19, 16): 453 	
[  647.061209] L(20, 16): 449 	
[  647.081785] L(12, 16): 369 	
[  647.108360] L(17, 16): 477 	
[  647.131247] L( 6, 16): 411 	
[  647.154822] L(10, 16): 423 	
[  647.178533] L( 8, 16): 425 	
[  647.203778] L(16, 16): 453 	
[  647.225139] L(13, 16): 383 	
[  647.251464] L(18, 16): 472 	
[  647.277086] L(14, 16): 460 	
[  647.301682] L(21, 16): 441 	
[  647.327904] L(15, 16): 471 	
[  647.350441] L(11, 20): 404 	
[  647.372393] L( 7, 20): 394 	
[  647.394848] L( 9, 20): 403 	
[  647.419279] L(19, 20): 438 	
[  647.443482] L(20, 20): 434 	
[  647.464084] L(12, 20): 369 	
[  647.488740] L(17, 20): 442 	
[  647.510714] L( 6, 20): 394 	
[  647.532982] L(10, 20): 399 	
[  647.554937] L( 8, 20): 394 	
[  647.579516] L(16, 20): 441 	
[  647.601440] L(13, 20): 393 	
[  647.625767] L(18, 20): 436 	
[  647.650266] L(14, 20): 440 	
[  647.673680] L(21, 20): 420 	
[  647.698466] L(15, 20): 445 	
[  647.719026] L(11,  7): 369 	
[  647.739609] L( 7,  7): 369 	
[  647.760197] L( 9,  7): 369 	
[  647.783206] L(19,  7): 413 	
[  647.805660] L(20,  7): 403 	
[  647.826258] L(12,  7): 369 	
[  647.849931] L(17,  7): 425 	
[  647.870199] L( 6,  7): 363 	
[  647.890790] L(10,  7): 369 	
[  647.911374] L( 8,  7): 369 	
[  647.935177] L(16,  7): 427 	
[  647.955836] L(13,  7): 370 	
[  647.979336] L(18,  7): 422 	
[  648.001604] L(14,  7): 399 	
[  648.024499] L(21,  7): 410 	
[  648.048162] L(15,  7): 424 	
[  648.071344] L(11, 21): 416 	
[  648.094347] L( 7, 21): 413 	
[  648.117874] L( 9, 21): 422 	
[  648.143092] L(19, 21): 452 	
[  648.166022] L(20, 21): 411 	
[  648.186619] L(12, 21): 369 	
[  648.211312] L(17, 21): 443 	
[  648.233690] L( 6, 21): 401 	
[  648.257081] L(10, 21): 420 	
[  648.279655] L( 8, 21): 405 	
[  648.304824] L(16, 21): 452 	
[  648.326583] L(13, 21): 390 	
[  648.352493] L(18, 21): 465 	
[  648.376724] L(14, 21): 435 	
[  648.401842] L(21, 21): 451 	
[  648.426549] L(15, 21): 443 	
[  648.447141] L(11, 10): 369 	
[  648.467695] L( 7, 10): 368 	
[  648.488282] L( 9, 10): 369 	
[  648.511724] L(19, 10): 420 	
[  648.534415] L(20, 10): 407 	
[  648.555004] L(12, 10): 369 	
[  648.580459] L(17, 10): 457 	
[  648.600727] L( 6, 10): 363 	
[  648.621330] L(10, 10): 369 	
[  648.641925] L( 8, 10): 369 	
[  648.665392] L(16, 10): 421 	
[  648.686249] L(13, 10): 374 	
[  648.709788] L(18, 10): 422 	
[  648.732055] L(14, 10): 399 	
[  648.755339] L(21, 10): 418 	
[  648.778989] L(15, 10): 424 	
[  648.801040] L(11, 14): 395 	
[  648.823221] L( 7, 14): 398 	
[  648.844854] L( 9, 14): 388 	
[  648.870005] L(19, 14): 451 	
[  648.894788] L(20, 14): 445 	
[  648.915422] L(12, 14): 369 	
[  648.940814] L(17, 14): 456 	
[  648.962644] L( 6, 14): 391 	
[  648.984905] L(10, 14): 399 	
[  649.006973] L( 8, 14): 396 	
[  649.032078] L(16, 14): 450 	
[  649.053605] L(13, 14): 386 	
[  649.078854] L(18, 14): 453 	
[  649.103993] L(14, 14): 451 	
[  649.128324] L(21, 14): 436 	
[  649.152968] L(15, 14): 442 	
[  649.173556] L(11, 11): 369 	
[  649.194153] L( 7, 11): 369 	
[  649.214741] L( 9, 11): 369 	
[  649.238536] L(19, 11): 427 	
[  649.261483] L(20, 11): 412 	
[  649.282055] L(12, 11): 369 	
[  649.306029] L(17, 11): 430 	
[  649.326287] L( 6, 11): 363 	
[  649.346869] L(10, 11): 369 	
[  649.367429] L( 8, 11): 369 	
[  649.390807] L(16, 11): 419 	
[  649.411723] L(13, 11): 375 	
[  649.435467] L(18, 11): 426 	
[  649.457106] L(14, 11): 388 	
[  649.480769] L(21, 11): 424 	
[  649.504449] L(15, 11): 425 	
[  649.525315] L(11, 13): 374 	
[  649.546246] L( 7, 13): 375 	
[  649.566976] L( 9, 13): 372 	
[  649.588561] L(19, 13): 387 	
[  649.610543] L(20, 13): 394 	
[  649.631147] L(12, 13): 369 	
[  649.652552] L(17, 13): 384 	
[  649.672997] L( 6, 13): 367 	
[  649.694035] L(10, 13): 377 	
[  649.714784] L( 8, 13): 372 	
[  649.735784] L(16, 13): 377 	
[  649.756855] L(13, 13): 378 	
[  649.777819] L(18, 13): 376 	
[  649.798881] L(14, 13): 378 	
[  649.820711] L(21, 13): 391 	
[  649.842184] L(15, 13): 385 	
[  649.862785] L(11,  8): 369 	
[  649.883337] L( 7,  8): 368 	
[  649.903932] L( 9,  8): 369 	
[  649.927204] L(19,  8): 417 	
[  649.949734] L(20,  8): 404 	
[  649.970358] L(12,  8): 370 	
[  649.993792] L(17,  8): 420 	
[  650.014051] L( 6,  8): 363 	
[  650.034613] L(10,  8): 369 	
[  650.055197] L( 8,  8): 369 	
[  650.078627] L(16,  8): 420 	
[  650.099194] L(13,  8): 369 	
[  650.122690] L(18,  8): 421 	
[  650.145144] L(14,  8): 403 	
[  650.168498] L(21,  8): 419 	
[  650.192270] L(15,  8): 426 	
[  650.215298] L(11, 19): 413 	
[  650.238735] L( 7, 19): 420 	
[  650.262621] L( 9, 19): 428 	
[  650.288393] L(19, 19): 462 	
[  650.313301] L(20, 19): 447 	
[  650.333904] L(12, 19): 369 	
[  650.359772] L(17, 19): 464 	
[  650.383142] L( 6, 19): 419 	
[  650.406523] L(10, 19): 419 	
[  650.429733] L( 8, 19): 416 	
[  650.455212] L(16, 19): 457 	
