sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  633.805766] Insert module 
[  633.829413] L(19, 11): 422 	
[  633.850030] L( 8, 11): 369 	
[  633.873815] L(18, 11): 427 	
[  633.894432] L( 9, 11): 370 	
[  633.916587] L(14, 11): 397 	
[  633.940583] L(17, 11): 430 	
[  633.961214] L( 7, 11): 370 	
[  633.985783] L(15, 11): 441 	
[  634.006389] L(10, 11): 369 	
[  634.027032] L(12, 11): 369 	
[  634.047634] L(11, 11): 369 	
[  634.070442] L(21, 11): 409 	
[  634.093769] L(16, 11): 418 	
[  634.116802] L(20, 11): 413 	
[  634.137828] L(13, 11): 377 	
[  634.158043] L( 6, 11): 362 	
[  634.181646] L(19,  9): 423 	
[  634.202201] L( 8,  9): 369 	
[  634.225922] L(18,  9): 426 	
[  634.246512] L( 9,  9): 369 	
[  634.269252] L(14,  9): 408 	
[  634.292691] L(17,  9): 420 	
[  634.313273] L( 7,  9): 369 	
[  634.337341] L(15,  9): 432 	
[  634.357939] L(10,  9): 369 	
[  634.378524] L(12,  9): 369 	
[  634.399079] L(11,  9): 369 	
[  634.421969] L(21,  9): 411 	
[  634.445282] L(16,  9): 418 	
[  634.468141] L(20,  9): 410 	
[  634.489078] L(13,  9): 375 	
[  634.509315] L( 6,  9): 363 	
[  634.530380] L(19, 13): 378 	
[  634.551331] L( 8, 13): 376 	
[  634.572691] L(18, 13): 383 	
[  634.593517] L( 9, 13): 373 	
[  634.614682] L(14, 13): 379 	
[  634.635735] L(17, 13): 377 	
[  634.656554] L( 7, 13): 373 	
[  634.678005] L(15, 13): 385 	
[  634.698962] L(10, 13): 375 	
[  634.719672] L(12, 13): 371 	
[  634.740430] L(11, 13): 372 	
[  634.761755] L(21, 13): 382 	
[  634.783105] L(16, 13): 383 	
[  634.804755] L(20, 13): 388 	
[  634.825835] L(13, 13): 378 	
[  634.846334] L( 6, 13): 368 	
[  634.871580] L(19, 18): 453 	
[  634.895696] L( 8, 18): 433 	
[  634.922189] L(18, 18): 475 	
[  634.946486] L( 9, 18): 436 	
[  634.971131] L(14, 18): 442 	
[  634.997954] L(17, 18): 481 	
[  635.021487] L( 7, 18): 422 	
[  635.047455] L(15, 18): 466 	
[  635.071037] L(10, 18): 423 	
[  635.091738] L(12, 18): 371 	
[  635.115313] L(11, 18): 423 	
[  635.141012] L(21, 18): 461 	
[  635.167641] L(16, 18): 478 	
[  635.193261] L(20, 18): 460 	
[  635.214705] L(13, 18): 384 	
[  635.237721] L( 6, 18): 413 	
[  635.263625] L(19, 16): 465 	
[  635.286691] L( 8, 16): 414 	
[  635.313950] L(18, 16): 489 	
[  635.337216] L( 9, 16): 417 	
[  635.362262] L(14, 16): 449 	
[  635.388709] L(17, 16): 475 	
[  635.412482] L( 7, 16): 426 	
[  635.437708] L(15, 16): 452 	
[  635.460845] L(10, 16): 415 	
[  635.481434] L(12, 16): 369 	
[  635.505086] L(11, 16): 424 	
[  635.530107] L(21, 16): 449 	
[  635.556522] L(16, 16): 474 	
[  635.581936] L(20, 16): 456 	
[  635.603160] L(13, 16): 381 	
[  635.626414] L( 6, 16): 416 	
[  635.649542] L(19,  8): 415 	
[  635.670272] L( 8,  8): 372 	
[  635.694129] L(18,  8): 428 	
[  635.714808] L( 9,  8): 371 	
[  635.737086] L(14,  8): 399 	
[  635.760783] L(17,  8): 425 	
[  635.781456] L( 7,  8): 371 	
[  635.805488] L(15,  8): 431 	
[  635.826217] L(10,  8): 371 	
[  635.846839] L(12,  8): 369 	
[  635.867408] L(11,  8): 369 	
[  635.890517] L(21,  8): 414 	
[  635.913630] L(16,  8): 415 	
[  635.936171] L(20,  8): 404 	
[  635.956893] L(13,  8): 372 	
[  635.977159] L( 6,  8): 363 	
[  636.002539] L(19, 14): 455 	
[  636.024604] L( 8, 14): 395 	
[  636.048928] L(18, 14): 436 	
[  636.071059] L( 9, 14): 397 	
[  636.095356] L(14, 14): 436 	
[  636.120285] L(17, 14): 447 	
[  636.142466] L( 7, 14): 398 	
[  636.167255] L(15, 14): 445 	
[  636.189374] L(10, 14): 397 	
[  636.209978] L(12, 14): 369 	
[  636.232405] L(11, 14): 402 	
[  636.256552] L(21, 14): 433 	
[  636.281726] L(16, 14): 451 	
[  636.306879] L(20, 14): 451 	
[  636.328045] L(13, 14): 380 	
[  636.349597] L( 6, 14): 386 	
[  636.373084] L(19, 10): 421 	
[  636.393679] L( 8, 10): 369 	
[  636.416808] L(18, 10): 415 	
[  636.437397] L( 9, 10): 369 	
[  636.459530] L(14, 10): 397 	
[  636.483043] L(17, 10): 422 	
[  636.503636] L( 7, 10): 369 	
[  636.528121] L(15, 10): 439 	
[  636.548679] L(10, 10): 369 	
[  636.569275] L(12, 10): 369 	
[  636.589856] L(11, 10): 369 	
[  636.613076] L(21, 10): 416 	
[  636.636427] L(16, 10): 419 	
[  636.659154] L(20, 10): 408 	
[  636.680030] L(13, 10): 374 	
[  636.700214] L( 6, 10): 362 	
[  636.723425] L(19,  7): 416 	
[  636.744072] L( 8,  7): 370 	
[  636.767703] L(18,  7): 424 	
[  636.788297] L( 9,  7): 369 	
[  636.810645] L(14,  7): 401 	
[  636.834708] L(17,  7): 432 	
[  636.855351] L( 7,  7): 369 	
[  636.879442] L(15,  7): 432 	
[  636.900000] L(10,  7): 369 	
[  636.920603] L(12,  7): 369 	
[  636.941183] L(11,  7): 369 	
[  636.964412] L(21,  7): 417 	
[  636.987926] L(16,  7): 422 	
[  637.010703] L(20,  7): 409 	
[  637.032245] L(13,  7): 381 	
[  637.052509] L( 6,  7): 363 	
[  637.077209] L(19, 21): 443 	
[  637.100077] L( 8, 21): 410 	
[  637.125576] L(18, 21): 458 	
[  637.148720] L( 9, 21): 415 	
[  637.172668] L(14, 21): 430 	
[  637.197432] L(17, 21): 444 	
[  637.220671] L( 7, 21): 417 	
[  637.245323] L(15, 21): 442 	
[  637.267909] L(10, 21): 405 	
[  637.288495] L(12, 21): 369 	
[  637.311829] L(11, 21): 419 	
[  637.336826] L(21, 21): 448 	
[  637.362103] L(16, 21): 454 	
[  637.384950] L(20, 21): 410 	
[  637.407038] L(13, 21): 396 	
[  637.429382] L( 6, 21): 401 	
[  637.455596] L(19, 19): 470 	
[  637.479471] L( 8, 19): 428 	
[  637.504630] L(18, 19): 451 	
[  637.528067] L( 9, 19): 420 	
[  637.553497] L(14, 19): 456 	
[  637.581198] L(17, 19): 497 	
[  637.604338] L( 7, 19): 415 	
[  637.630757] L(15, 19): 474 	
[  637.654223] L(10, 19): 420 	
[  637.674833] L(12, 19): 369 	
[  637.698313] L(11, 19): 421 	
[  637.723569] L(21, 19): 453 	
[  637.749296] L(16, 19): 462 	
[  637.774748] L(20, 19): 456 	
[  637.795893] L(13, 19): 379 	
[  637.818838] L( 6, 19): 412 	
[  637.844501] L(19, 20): 460 	
[  637.867407] L( 8, 20): 410 	
[  637.893015] L(18, 20): 459 	
[  637.915992] L( 9, 20): 412 	
[  637.940370] L(14, 20): 437 	
[  637.965029] L(17, 20): 442 	
[  637.987800] L( 7, 20): 408 	
[  638.012877] L(15, 20): 450 	
[  638.035857] L(10, 20): 412 	
[  638.056453] L(12, 20): 369 	
[  638.079519] L(11, 20): 414 	
[  638.102620] L(21, 20): 414 	
[  638.128347] L(16, 20): 462 	
[  638.154075] L(20, 20): 462 	
[  638.175941] L(13, 20): 392 	
[  638.198714] L( 6, 20): 408 	
[  638.219311] L(19, 12): 369 	
[  638.239909] L( 8, 12): 369 	
[  638.260522] L(18, 12): 370 	
[  638.281121] L( 9, 12): 369 	
[  638.301690] L(14, 12): 369 	
[  638.322297] L(17, 12): 369 	
[  638.342895] L( 7, 12): 369 	
[  638.363499] L(15, 12): 369 	
[  638.384070] L(10, 12): 369 	
[  638.404671] L(12, 12): 369 	
[  638.425272] L(11, 12): 369 	
[  638.445879] L(21, 12): 369 	
[  638.466444] L(16, 12): 369 	
[  638.487050] L(20, 12): 369 	
[  638.507653] L(13, 12): 369 	
[  638.527919] L( 6, 12): 363 	
[  638.554685] L(19, 17): 480 	
[  638.578230] L( 8, 17): 422 	
[  638.604967] L(18, 17): 480 	
[  638.628339] L( 9, 17): 419 	
[  638.653731] L(14, 17): 456 	
[  638.679817] L(17, 17): 468 	
[  638.703549] L( 7, 17): 426 	
[  638.729703] L(15, 17): 469 	
[  638.753217] L(10, 17): 422 	
[  638.773825] L(12, 17): 369 	
[  638.797366] L(11, 17): 422 	
[  638.822546] L(21, 17): 452 	
[  638.849466] L(16, 17): 483 	
[  638.874489] L(20, 17): 449 	
[  638.896006] L(13, 17): 385 	
[  638.919139] L( 6, 17): 415 	
[  638.942258] L(19,  6): 415 	
[  638.962523] L( 8,  6): 363 	
[  638.986029] L(18,  6): 422 	
[  639.006288] L( 9,  6): 363 	
[  639.028303] L(14,  6): 395 	
[  639.051593] L(17,  6): 418 	
[  639.071846] L( 7,  6): 363 	
[  639.095774] L(15,  6): 429 	
[  639.115972] L(10,  6): 362 	
[  639.136245] L(12,  6): 363 	
[  639.156451] L(11,  6): 362 	
[  639.179300] L(21,  6): 410 	
[  639.202334] L(16,  6): 413 	
[  639.225267] L(20,  6): 411 	
[  639.245871] L(13,  6): 369 	
[  639.266096] L( 6,  6): 363 	
[  639.292419] L(19, 15): 472 	
[  639.315929] L( 8, 15): 422 	
[  639.342551] L(18, 15): 478 	
[  639.366337] L( 9, 15): 427 	
[  639.390590] L(14, 15): 435 	
[  639.416925] L(17, 15): 473 	
[  639.440634] L( 7, 15): 425 	
[  639.467311] L(15, 15): 479 	
[  639.491296] L(10, 15): 430 	
[  639.511884] L(12, 15): 369 	
[  639.536005] L(11, 15): 433 	
[  639.560481] L(21, 15): 439 	
[  639.586371] L(16, 15): 465 	
[  639.611269] L(20, 15): 447 	
[  639.632707] L(13, 15): 384 	
[  639.656412] L( 6, 15): 425 	
[  639.676129] Remove module 
