sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  621.876381] Insert module 
[  621.897866] L(13, 10): 383 	
[  621.918450] L( 9, 10): 369 	
[  621.942445] L(16, 10): 430 	
[  621.962721] L( 6, 10): 363 	
[  621.983289] L(11, 10): 369 	
[  622.006255] L(20, 10): 412 	
[  622.026859] L(10, 10): 369 	
[  622.050011] L(21, 10): 415 	
[  622.070622] L(12, 10): 370 	
[  622.094441] L(18, 10): 427 	
[  622.118074] L(19, 10): 424 	
[  622.138671] L( 7, 10): 369 	
[  622.162497] L(17, 10): 427 	
[  622.184503] L(14, 10): 395 	
[  622.205086] L( 8, 10): 369 	
[  622.229517] L(15, 10): 438 	
[  622.250309] L(13, 13): 373 	
[  622.271230] L( 9, 13): 375 	
[  622.292233] L(16, 13): 377 	
[  622.312779] L( 6, 13): 368 	
[  622.333396] L(11, 13): 370 	
[  622.355241] L(20, 13): 392 	
[  622.375948] L(10, 13): 371 	
[  622.397460] L(21, 13): 386 	
[  622.418101] L(12, 13): 369 	
[  622.439324] L(18, 13): 381 	
[  622.460526] L(19, 13): 380 	
[  622.481292] L( 7, 13): 372 	
[  622.502078] L(17, 13): 373 	
[  622.523190] L(14, 13): 379 	
[  622.544063] L( 8, 13): 374 	
[  622.565238] L(15, 13): 380 	
[  622.586225] L(13, 16): 376 	
[  622.610311] L( 9, 16): 432 	
[  622.636730] L(16, 16): 474 	
[  622.660236] L( 6, 16): 422 	
[  622.683917] L(11, 16): 425 	
[  622.708954] L(20, 16): 449 	
[  622.733343] L(10, 16): 438 	
[  622.759341] L(21, 16): 466 	
[  622.779934] L(12, 16): 369 	
[  622.806021] L(18, 16): 468 	
[  622.832379] L(19, 16): 473 	
[  622.856453] L( 7, 16): 432 	
[  622.883491] L(17, 16): 485 	
[  622.908263] L(14, 16): 444 	
[  622.932392] L( 8, 16): 433 	
[  622.959189] L(15, 16): 481 	
[  622.980008] L(13,  8): 373 	
[  623.000570] L( 9,  8): 369 	
[  623.024442] L(16,  8): 428 	
[  623.044702] L( 6,  8): 363 	
[  623.065268] L(11,  8): 369 	
[  623.088034] L(20,  8): 408 	
[  623.108629] L(10,  8): 369 	
[  623.131357] L(21,  8): 408 	
[  623.151924] L(12,  8): 369 	
[  623.176017] L(18,  8): 432 	
[  623.199968] L(19,  8): 430 	
[  623.220567] L( 7,  8): 369 	
[  623.245035] L(17,  8): 439 	
[  623.266851] L(14,  8): 391 	
[  623.287451] L( 8,  8): 369 	
[  623.311538] L(15,  8): 432 	
[  623.332698] L(13, 17): 379 	
[  623.357232] L( 9, 17): 440 	
[  623.383767] L(16, 17): 476 	
[  623.407821] L( 6, 17): 431 	
[  623.432149] L(11, 17): 436 	
[  623.458032] L(20, 17): 464 	
[  623.481732] L(10, 17): 425 	
[  623.507094] L(21, 17): 455 	
[  623.527732] L(12, 17): 369 	
[  623.553619] L(18, 17): 464 	
[  623.579435] L(19, 17): 463 	
[  623.603494] L( 7, 17): 432 	
[  623.630403] L(17, 17): 483 	
[  623.655534] L(14, 17): 451 	
[  623.679629] L( 8, 17): 432 	
[  623.706182] L(15, 17): 476 	
[  623.727037] L(13,  7): 374 	
[  623.747632] L( 9,  7): 369 	
[  623.772074] L(16,  7): 438 	
[  623.792356] L( 6,  7): 363 	
[  623.812954] L(11,  7): 369 	
[  623.836143] L(20,  7): 416 	
[  623.856752] L(10,  7): 369 	
[  623.879932] L(21,  7): 416 	
[  623.900495] L(12,  7): 369 	
[  623.924267] L(18,  7): 426 	
[  623.948021] L(19,  7): 426 	
[  623.968591] L( 7,  7): 369 	
[  623.992522] L(17,  7): 429 	
[  624.014316] L(14,  7): 391 	
[  624.034879] L( 8,  7): 369 	
[  624.059134] L(15,  7): 435 	
[  624.080718] L(13, 20): 387 	
[  624.104240] L( 9, 20): 422 	
[  624.129934] L(16, 20): 461 	
[  624.152537] L( 6, 20): 405 	
[  624.175823] L(11, 20): 418 	
[  624.201043] L(20, 20): 452 	
[  624.224156] L(10, 20): 415 	
[  624.248789] L(21, 20): 442 	
[  624.269402] L(12, 20): 370 	
[  624.295005] L(18, 20): 459 	
[  624.320545] L(19, 20): 458 	
[  624.343710] L( 7, 20): 416 	
[  624.370177] L(17, 20): 475 	
[  624.394676] L(14, 20): 440 	
[  624.417812] L( 8, 20): 415 	
[  624.442873] L(15, 20): 450 	
[  624.463698] L(13, 11): 373 	
[  624.484252] L( 9, 11): 368 	
[  624.508517] L(16, 11): 435 	
[  624.528752] L( 6, 11): 363 	
[  624.549303] L(11, 11): 368 	
[  624.572203] L(20, 11): 411 	
[  624.592791] L(10, 11): 369 	
[  624.616092] L(21, 11): 418 	
[  624.636691] L(12, 11): 369 	
[  624.660237] L(18, 11): 422 	
[  624.684359] L(19, 11): 433 	
[  624.704947] L( 7, 11): 369 	
[  624.729311] L(17, 11): 437 	
[  624.751354] L(14, 11): 395 	
[  624.771940] L( 8, 11): 369 	
[  624.796356] L(15, 11): 438 	
[  624.817469] L(13, 14): 378 	
[  624.839504] L( 9, 14): 395 	
[  624.864153] L(16, 14): 442 	
[  624.885855] L( 6, 14): 389 	
[  624.907651] L(11, 14): 391 	
[  624.932727] L(20, 14): 450 	
[  624.954596] L(10, 14): 392 	
[  624.980308] L(21, 14): 460 	
[  625.000879] L(12, 14): 369 	
[  625.026734] L(18, 14): 459 	
[  625.052333] L(19, 14): 459 	
[  625.073927] L( 7, 14): 387 	
[  625.099166] L(17, 14): 453 	
[  625.123723] L(14, 14): 441 	
[  625.145522] L( 8, 14): 391 	
[  625.170524] L(15, 14): 449 	
[  625.191656] L(13, 15): 379 	
[  625.215943] L( 9, 15): 436 	
[  625.242687] L(16, 15): 480 	
[  625.266612] L( 6, 15): 429 	
[  625.290921] L(11, 15): 436 	
[  625.315701] L(20, 15): 445 	
[  625.340012] L(10, 15): 436 	
[  625.365672] L(21, 15): 460 	
[  625.386287] L(12, 15): 369 	
[  625.411423] L(18, 15): 451 	
[  625.437781] L(19, 15): 473 	
[  625.461977] L( 7, 15): 434 	
[  625.488700] L(17, 15): 479 	
[  625.513072] L(14, 15): 437 	
[  625.537134] L( 8, 15): 432 	
[  625.564098] L(15, 15): 483 	
[  625.586503] L(13, 12): 402 	
[  625.607139] L( 9, 12): 370 	
[  625.627745] L(16, 12): 369 	
[  625.648007] L( 6, 12): 363 	
[  625.668586] L(11, 12): 369 	
[  625.689190] L(20, 12): 369 	
[  625.709795] L(10, 12): 369 	
[  625.730401] L(21, 12): 369 	
[  625.750968] L(12, 12): 369 	
[  625.771565] L(18, 12): 369 	
[  625.792168] L(19, 12): 369 	
[  625.812770] L( 7, 12): 369 	
[  625.833404] L(17, 12): 369 	
[  625.854026] L(14, 12): 370 	
[  625.874624] L( 8, 12): 369 	
[  625.895232] L(15, 12): 369 	
[  625.915751] L(13,  6): 368 	
[  625.935979] L( 9,  6): 363 	
[  625.959295] L(16,  6): 418 	
[  625.979588] L( 6,  6): 364 	
[  625.999782] L(11,  6): 362 	
[  626.022973] L(20,  6): 416 	
[  626.043208] L(10,  6): 363 	
[  626.066128] L(21,  6): 411 	
[  626.086407] L(12,  6): 364 	
[  626.110286] L(18,  6): 428 	
[  626.133314] L(19,  6): 413 	
[  626.153570] L( 7,  6): 363 	
[  626.177668] L(17,  6): 432 	
[  626.199123] L(14,  6): 385 	
[  626.219359] L( 8,  6): 363 	
[  626.243351] L(15,  6): 430 	
[  626.264508] L(13, 18): 379 	
[  626.288197] L( 9, 18): 425 	
[  626.313699] L(16, 18): 458 	
[  626.337062] L( 6, 18): 419 	
[  626.360665] L(11, 18): 423 	
[  626.386093] L(20, 18): 456 	
[  626.410186] L(10, 18): 432 	
[  626.435218] L(21, 18): 449 	
[  626.455811] L(12, 18): 369 	
[  626.482513] L(18, 18): 479 	
[  626.509507] L(19, 18): 484 	
[  626.532767] L( 7, 18): 417 	
[  626.558939] L(17, 18): 470 	
[  626.583965] L(14, 18): 449 	
[  626.607956] L( 8, 18): 430 	
[  626.633406] L(15, 18): 457 	
[  626.654546] L(13, 19): 379 	
[  626.678662] L( 9, 19): 432 	
[  626.705292] L(16, 19): 478 	
[  626.728480] L( 6, 19): 416 	
[  626.751884] L(11, 19): 420 	
[  626.776751] L(20, 19): 446 	
[  626.800267] L(10, 19): 422 	
