sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  725.491207] Insert module 
[  725.511959] L(10, 11): 372 	
[  725.532576] L( 7, 11): 370 	
[  725.554543] L(19, 11): 394 	
[  725.576315] L(13, 11): 390 	
[  725.598542] L(15, 11): 399 	
[  725.620190] L(14, 11): 388 	
[  725.641610] L(20, 11): 384 	
[  725.663635] L(16, 11): 395 	
[  725.685086] L(21, 11): 385 	
[  725.705341] L( 6, 11): 363 	
[  725.727418] L(18, 11): 396 	
[  725.748032] L(11, 11): 370 	
[  725.770076] L(17, 11): 395 	
[  725.790664] L( 8, 11): 369 	
[  725.811266] L( 9, 11): 369 	
[  725.831961] L(12, 11): 371 	
[  725.854043] L(10, 16): 396 	
[  725.875853] L( 7, 16): 391 	
[  725.898383] L(19, 16): 404 	
[  725.920686] L(13, 16): 400 	
[  725.945090] L(15, 16): 438 	
[  725.968436] L(14, 16): 419 	
[  725.990493] L(20, 16): 396 	
[  726.014477] L(16, 16): 430 	
[  726.036337] L(21, 16): 392 	
[  726.058584] L( 6, 16): 399 	
[  726.081763] L(18, 16): 416 	
[  726.103765] L(11, 16): 395 	
[  726.128295] L(17, 16): 440 	
[  726.150718] L( 8, 16): 402 	
[  726.172743] L( 9, 16): 395 	
[  726.193427] L(12, 16): 371 	
[  726.215165] L(10, 14): 390 	
[  726.236463] L( 7, 14): 382 	
[  726.259386] L(19, 14): 411 	
[  726.282482] L(13, 14): 414 	
[  726.306823] L(15, 14): 437 	
[  726.329821] L(14, 14): 413 	
[  726.352889] L(20, 14): 414 	
[  726.376600] L(16, 14): 425 	
[  726.398551] L(21, 14): 394 	
[  726.420010] L( 6, 14): 385 	
[  726.443969] L(18, 14): 430 	
[  726.465747] L(11, 14): 391 	
[  726.488817] L(17, 14): 414 	
[  726.510461] L( 8, 14): 388 	
[  726.532510] L( 9, 14): 395 	
[  726.553565] L(12, 14): 378 	
[  726.574767] L(10, 21): 380 	
[  726.596229] L( 7, 21): 385 	
[  726.618509] L(19, 21): 400 	
[  726.641176] L(13, 21): 406 	
[  726.663666] L(15, 21): 403 	
[  726.685938] L(14, 21): 399 	
[  726.707646] L(20, 21): 389 	
[  726.729927] L(16, 21): 400 	
[  726.752813] L(21, 21): 410 	
[  726.773833] L( 6, 21): 377 	
[  726.796540] L(18, 21): 407 	
[  726.817546] L(11, 21): 377 	
[  726.839593] L(17, 21): 395 	
[  726.860690] L( 8, 21): 378 	
[  726.882009] L( 9, 21): 382 	
[  726.904001] L(12, 21): 394 	
[  726.925784] L(10, 19): 391 	
[  726.947844] L( 7, 19): 396 	
[  726.971347] L(19, 19): 422 	
[  726.994514] L(13, 19): 416 	
[  727.017717] L(15, 19): 416 	
[  727.041192] L(14, 19): 421 	
[  727.064485] L(20, 19): 418 	
[  727.087595] L(16, 19): 415 	
[  727.110204] L(21, 19): 405 	
[  727.131974] L( 6, 19): 390 	
