sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  651.457298] Insert module 
[  651.480112] L(11, 21): 409 	
[  651.504622] L(17, 21): 440 	
[  651.528894] L(19, 21): 435 	
[  651.549464] L(12, 21): 369 	
[  651.573059] L(20, 21): 423 	
[  651.595572] L( 9, 21): 404 	
[  651.617886] L( 8, 21): 400 	
[  651.640784] L( 7, 21): 411 	
[  651.664837] L(18, 21): 431 	
[  651.689751] L(21, 21): 447 	
[  651.714541] L(16, 21): 445 	
[  651.739208] L(15, 21): 443 	
[  651.761936] L(10, 21): 408 	
[  651.786086] L(14, 21): 433 	
[  651.809014] L(13, 21): 411 	
[  651.830725] L( 6, 21): 389 	
[  651.853741] L(11, 18): 413 	
[  651.878545] L(17, 18): 445 	
[  651.904353] L(19, 18): 463 	
[  651.924946] L(12, 18): 369 	
[  651.949477] L(20, 18): 440 	
[  651.972378] L( 9, 18): 411 	
[  651.995779] L( 8, 18): 420 	
[  652.019029] L( 7, 18): 417 	
[  652.044387] L(18, 18): 455 	
[  652.068791] L(21, 18): 438 	
[  652.094079] L(16, 18): 454 	
[  652.119675] L(15, 18): 459 	
[  652.142886] L(10, 18): 416 	
[  652.166966] L(14, 18): 432 	
[  652.188471] L(13, 18): 386 	
[  652.211678] L( 6, 18): 416 	
[  652.232242] L(11, 10): 369 	
[  652.255511] L(17, 10): 417 	
[  652.278612] L(19, 10): 414 	
[  652.299182] L(12, 10): 369 	
[  652.321786] L(20, 10): 405 	
[  652.342378] L( 9, 10): 369 	
[  652.362972] L( 8, 10): 369 	
[  652.383528] L( 7, 10): 369 	
[  652.406749] L(18, 10): 417 	
[  652.429573] L(21, 10): 409 	
[  652.452655] L(16, 10): 414 	
[  652.475928] L(15, 10): 417 	
[  652.496513] L(10, 10): 369 	
[  652.518888] L(14, 10): 401 	
[  652.539876] L(13, 10): 376 	
[  652.560114] L( 6, 10): 363 	
[  652.583363] L(11, 17): 417 	
[  652.609397] L(17, 17): 467 	
[  652.634934] L(19, 17): 458 	
[  652.655541] L(12, 17): 369 	
[  652.679612] L(20, 17): 432 	
[  652.703027] L( 9, 17): 420 	
[  652.726353] L( 8, 17): 418 	
[  652.750101] L( 7, 17): 426 	
[  652.775127] L(18, 17): 449 	
[  652.800153] L(21, 17): 449 	
[  652.825225] L(16, 17): 450 	
[  652.850979] L(15, 17): 462 	
[  652.874092] L(10, 17): 415 	
[  652.898610] L(14, 17): 440 	
[  652.920148] L(13, 17): 386 	
[  652.942893] L( 6, 17): 408 	
[  652.963982] L(11, 13): 378 	
[  652.985343] L(17, 13): 383 	
[  653.007296] L(19, 13): 394 	
[  653.027884] L(12, 13): 369 	
[  653.049503] L(20, 13): 388 	
[  653.070588] L( 9, 13): 378 	
[  653.091453] L( 8, 13): 374 	
[  653.112382] L( 7, 13): 375 	
[  653.134043] L(18, 13): 388 	
[  653.156948] L(21, 13): 411 	
[  653.178260] L(16, 13): 382 	
[  653.199731] L(15, 13): 385 	
[  653.220827] L(10, 13): 378 	
[  653.242222] L(14, 13): 384 	
[  653.263523] L(13, 13): 382 	
[  653.284481] L( 6, 13): 376 	
[  653.305073] L(11,  7): 369 	
[  653.328456] L(17,  7): 419 	
[  653.351048] L(19,  7): 405 	
[  653.371638] L(12,  7): 369 	
[  653.394098] L(20,  7): 403 	
[  653.414690] L( 9,  7): 369 	
[  653.435249] L( 8,  7): 369 	
[  653.455842] L( 7,  7): 369 	
[  653.478954] L(18,  7): 415 	
[  653.501436] L(21,  7): 403 	
[  653.524336] L(16,  7): 411 	
[  653.547233] L(15,  7): 411 	
[  653.567799] L(10,  7): 369 	
[  653.590028] L(14,  7): 399 	
[  653.611002] L(13,  7): 376 	
[  653.631255] L( 6,  7): 363 	
[  653.651808] L(11,  9): 368 	
[  653.675573] L(17,  9): 426 	
[  653.698718] L(19,  9): 415 	
[  653.719303] L(12,  9): 369 	
[  653.742031] L(20,  9): 408 	
[  653.762630] L( 9,  9): 369 	
[  653.783180] L( 8,  9): 368 	
[  653.803777] L( 7,  9): 369 	
[  653.826663] L(18,  9): 410 	
[  653.849245] L(21,  9): 405 	
[  653.872299] L(16,  9): 413 	
[  653.894972] L(15,  9): 407 	
[  653.915532] L(10,  9): 369 	
[  653.938007] L(14,  9): 403 	
[  653.959125] L(13,  9): 379 	
[  653.979415] L( 6,  9): 364 	
[  654.001567] L(11, 14): 397 	
[  654.026501] L(17, 14): 447 	
[  654.051805] L(19, 14): 454 	
[  654.072395] L(12, 14): 369 	
[  654.097797] L(20, 14): 456 	
[  654.120332] L( 9, 14): 404 	
[  654.142510] L( 8, 14): 398 	
[  654.164961] L( 7, 14): 403 	
[  654.189798] L(18, 14): 446 	
[  654.214162] L(21, 14): 437 	
[  654.239038] L(16, 14): 446 	
[  654.263640] L(15, 14): 441 	
[  654.285903] L(10, 14): 399 	
[  654.310607] L(14, 14): 443 	
[  654.332835] L(13, 14): 399 	
[  654.354750] L( 6, 14): 393 	
[  654.377524] L(11, 19): 408 	
[  654.403137] L(17, 19): 460 	
[  654.428339] L(19, 19): 452 	
[  654.448913] L(12, 19): 369 	
[  654.474598] L(20, 19): 461 	
[  654.497156] L( 9, 19): 405 	
[  654.519965] L( 8, 19): 409 	
[  654.542910] L( 7, 19): 412 	
[  654.568655] L(18, 19): 462 	
[  654.594192] L(21, 19): 458 	
[  654.619259] L(16, 19): 450 	
[  654.644154] L(15, 19): 447 	
[  654.666909] L(10, 19): 408 	
[  654.692528] L(14, 19): 460 	
[  654.714113] L(13, 19): 387 	
[  654.736543] L( 6, 19): 402 	
[  654.756797] L(11,  6): 363 	
[  654.779253] L(17,  6): 403 	
[  654.802192] L(19,  6): 411 	
