sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  663.057583] Insert module 
[  663.080093] L(18,  8): 400 	
[  663.102376] L(19,  8): 399 	
[  663.124860] L(17,  8): 403 	
[  663.146834] L(15,  8): 394 	
[  663.167394] L(11,  8): 369 	
[  663.189812] L(16,  8): 402 	
[  663.210071] L( 6,  8): 363 	
[  663.231499] L(13,  8): 384 	
[  663.253664] L(14,  8): 397 	
[  663.274483] L(12,  8): 373 	
[  663.295078] L( 7,  8): 369 	
[  663.315648] L( 8,  8): 369 	
[  663.336238] L( 9,  8): 369 	
[  663.356842] L(10,  8): 369 	
[  663.378665] L(21,  8): 391 	
[  663.400319] L(20,  8): 388 	
[  663.422559] L(18,  9): 399 	
[  663.444183] L(19,  9): 388 	
[  663.466971] L(17,  9): 408 	
[  663.489597] L(15,  9): 406 	
[  663.510184] L(11,  9): 369 	
[  663.532174] L(16,  9): 394 	
[  663.552427] L( 6,  9): 363 	
[  663.573564] L(13,  9): 379 	
[  663.595706] L(14,  9): 397 	
[  663.616498] L(12,  9): 373 	
[  663.637087] L( 7,  9): 369 	
[  663.657689] L( 8,  9): 369 	
[  663.678283] L( 9,  9): 369 	
[  663.698837] L(10,  9): 369 	
[  663.720311] L(21,  9): 385 	
[  663.742051] L(20,  9): 390 	
[  663.766101] L(18, 17): 431 	
[  663.789983] L(19, 17): 428 	
[  663.814276] L(17, 17): 436 	
[  663.839136] L(15, 17): 446 	
[  663.861644] L(11, 17): 403 	
[  663.885202] L(16, 17): 423 	
[  663.907112] L( 6, 17): 393 	
[  663.928563] L(13, 17): 385 	
[  663.952540] L(14, 17): 430 	
[  663.973399] L(12, 17): 374 	
[  663.996193] L( 7, 17): 409 	
[  664.018506] L( 8, 17): 400 	
[  664.041718] L( 9, 17): 416 	
[  664.064396] L(10, 17): 407 	
[  664.087031] L(21, 17): 406 	
[  664.110113] L(20, 17): 414 	
[  664.133503] L(18, 14): 420 	
[  664.156650] L(19, 14): 415 	
[  664.181389] L(17, 14): 444 	
[  664.205883] L(15, 14): 439 	
[  664.228229] L(11, 14): 401 	
[  664.252095] L(16, 14): 428 	
[  664.273717] L( 6, 14): 388 	
[  664.295862] L(13, 14): 397 	
[  664.319563] L(14, 14): 425 	
[  664.340443] L(12, 14): 374 	
[  664.362903] L( 7, 14): 403 	
[  664.384723] L( 8, 14): 391 	
[  664.406918] L( 9, 14): 397 	
[  664.428833] L(10, 14): 393 	
[  664.451989] L(21, 14): 415 	
[  664.475395] L(20, 14): 420 	
[  664.499463] L(18, 16): 431 	
[  664.523090] L(19, 16): 424 	
