sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  702.885786] Insert module 
[  702.908412] L(11, 16): 405 	
[  702.930821] L( 8, 16): 402 	
[  702.952868] L( 9, 16): 395 	
[  702.976288] L(16, 16): 420 	
[  702.998052] L( 6, 16): 390 	
[  703.020720] L(20, 16): 402 	
[  703.044704] L( 7, 16): 405 	
[  703.067904] L(17, 16): 416 	
[  703.090888] L(18, 16): 412 	
[  703.113990] L(15, 16): 414 	
[  703.137056] L(19, 16): 414 	
[  703.159698] L(21, 16): 406 	
[  703.183212] L(14, 16): 422 	
[  703.205833] L(10, 16): 406 	
[  703.226761] L(12, 16): 375 	
[  703.248910] L(13, 16): 397 	
[  703.271047] L(11, 18): 397 	
[  703.292680] L( 8, 18): 388 	
[  703.314843] L( 9, 18): 396 	
[  703.337623] L(16, 18): 409 	
[  703.359580] L( 6, 18): 394 	
[  703.382247] L(20, 18): 407 	
[  703.404539] L( 7, 18): 400 	
[  703.428014] L(17, 18): 421 	
[  703.451035] L(18, 18): 413 	
[  703.473678] L(15, 18): 406 	
[  703.496496] L(19, 18): 409 	
[  703.519363] L(21, 18): 410 	
[  703.542129] L(14, 18): 408 	
[  703.564041] L(10, 18): 393 	
[  703.585256] L(12, 18): 380 	
[  703.607286] L(13, 18): 395 	
[  703.628051] L(11, 12): 372 	
[  703.648771] L( 8, 12): 371 	
[  703.669588] L( 9, 12): 373 	
[  703.690634] L(16, 12): 377 	
[  703.711173] L( 6, 12): 368 	
[  703.732226] L(20, 12): 377 	
[  703.752931] L( 7, 12): 371 	
[  703.773872] L(17, 12): 375 	
[  703.795273] L(18, 12): 384 	
[  703.816398] L(15, 12): 379 	
[  703.837514] L(19, 12): 379 	
[  703.858695] L(21, 12): 379 	
[  703.879917] L(14, 12): 381 	
[  703.900761] L(10, 12): 374 	
[  703.921761] L(12, 12): 377 	
[  703.942696] L(13, 12): 375 	
[  703.963312] L(11,  7): 370 	
[  703.983880] L( 8,  7): 369 	
[  704.004470] L( 9,  7): 369 	
[  704.026614] L(16,  7): 397 	
[  704.046843] L( 6,  7): 363 	
[  704.068511] L(20,  7): 389 	
[  704.089108] L( 7,  7): 369 	
[  704.110852] L(17,  7): 390 	
[  704.133171] L(18,  7): 400 	
[  704.155137] L(15,  7): 394 	
[  704.177143] L(19,  7): 394 	
[  704.198705] L(21,  7): 387 	
[  704.220666] L(14,  7): 394 	
[  704.241266] L(10,  7): 369 	
[  704.262146] L(12,  7): 374 	
[  704.283588] L(13,  7): 384 	
[  704.304180] L(11, 11): 369 	
[  704.324773] L( 8, 11): 369 	
[  704.345443] L( 9, 11): 369 	
[  704.368160] L(16, 11): 407 	
[  704.388413] L( 6, 11): 363 	
[  704.410547] L(20, 11): 397 	
[  704.431147] L( 7, 11): 369 	
[  704.453078] L(17, 11): 393 	
[  704.475047] L(18, 11): 394 	
[  704.496856] L(15, 11): 391 	
[  704.518456] L(19, 11): 387 	
[  704.540096] L(21, 11): 388 	
[  704.562117] L(14, 11): 395 	
[  704.582666] L(10, 11): 368 	
[  704.603434] L(12, 11): 372 	
[  704.625287] L(13, 11): 392 	
[  704.645875] L(11,  8): 369 	
[  704.666439] L( 8,  8): 369 	
[  704.687029] L( 9,  8): 369 	
[  704.709156] L(16,  8): 397 	
[  704.729417] L( 6,  8): 363 	
[  704.750907] L(20,  8): 385 	
[  704.771501] L( 7,  8): 369 	
[  704.793470] L(17,  8): 394 	
[  704.815732] L(18,  8): 399 	
[  704.837975] L(15,  8): 399 	
[  704.860017] L(19,  8): 395 	
[  704.881746] L(21,  8): 390 	
[  704.903535] L(14,  8): 391 	
[  704.924123] L(10,  8): 369 	
[  704.945107] L(12,  8): 376 	
[  704.966350] L(13,  8): 381 	
[  704.988480] L(11, 15): 397 	
[  705.010561] L( 8, 15): 396 	
[  705.032497] L( 9, 15): 393 	
[  705.055686] L(16, 15): 416 	
[  705.077442] L( 6, 15): 390 	
[  705.100352] L(20, 15): 411 	
[  705.122864] L( 7, 15): 404 	
[  705.145702] L(17, 15): 410 	
[  705.168895] L(18, 15): 416 	
[  705.192887] L(15, 15): 430 	
[  705.216684] L(19, 15): 427 	
[  705.239721] L(21, 15): 413 	
[  705.263158] L(14, 15): 420 	
[  705.284916] L(10, 15): 390 	
[  705.306059] L(12, 15): 379 	
[  705.329048] L(13, 15): 412 	
[  705.349255] L(11,  6): 362 	
[  705.369594] L( 8,  6): 363 	
[  705.389793] L( 9,  6): 362 	
[  705.411497] L(16,  6): 389 	
[  705.431749] L( 6,  6): 363 	
[  705.453561] L(20,  6): 391 	
[  705.473812] L( 7,  6): 363 	
[  705.495593] L(17,  6): 391 	
[  705.516909] L(18,  6): 382 	
[  705.538992] L(15,  6): 396 	
[  705.560380] L(19,  6): 384 	
[  705.581613] L(21,  6): 381 	
[  705.603219] L(14,  6): 387 	
[  705.623425] L(10,  6): 362 	
[  705.644074] L(12,  6): 370 	
[  705.665343] L(13,  6): 381 	
[  705.686802] L(11, 13): 385 	
[  705.708228] L( 8, 13): 384 	
[  705.729748] L( 9, 13): 386 	
[  705.752239] L(16, 13): 403 	
[  705.773549] L( 6, 13): 382 	
[  705.796529] L(20, 13): 412 	
[  705.817915] L( 7, 13): 383 	
[  705.840302] L(17, 13): 401 	
[  705.863162] L(18, 13): 410 	
[  705.885745] L(15, 13): 405 	
[  705.908407] L(19, 13): 406 	
[  705.930397] L(21, 13): 394 	
[  705.952276] L(14, 13): 392 	
[  705.973801] L(10, 13): 386 	
[  705.995330] L(12, 13): 386 	
[  706.017714] L(13, 13): 401 	
