sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  697.177246] Insert module 
[  697.200119] L(14, 20): 410 	
[  697.221433] L( 9, 20): 382 	
[  697.243825] L(13, 20): 402 	
[  697.266251] L(15, 20): 402 	
[  697.287723] L( 8, 20): 385 	
[  697.310784] L(16, 20): 414 	
[  697.331704] L( 6, 20): 375 	
[  697.353036] L(10, 20): 382 	
[  697.374352] L(11, 20): 382 	
[  697.396882] L(17, 20): 404 	
[  697.419061] L(20, 20): 398 	
[  697.440601] L(21, 20): 386 	
[  697.462028] L(12, 20): 384 	
[  697.484577] L(19, 20): 404 	
[  697.506322] L( 7, 20): 390 	
[  697.528449] L(18, 20): 397 	
[  697.551235] L(14, 21): 409 	
[  697.572976] L( 9, 21): 390 	
[  697.595773] L(13, 21): 409 	
[  697.618010] L(15, 21): 399 	
[  697.639258] L( 8, 21): 381 	
[  697.662513] L(16, 21): 417 	
[  697.683783] L( 6, 21): 381 	
[  697.705357] L(10, 21): 387 	
[  697.726776] L(11, 21): 384 	
[  697.749819] L(17, 21): 413 	
[  697.771725] L(20, 21): 393 	
[  697.794460] L(21, 21): 408 	
[  697.815703] L(12, 21): 381 	
[  697.839405] L(19, 21): 425 	
[  697.860984] L( 7, 21): 387 	
[  697.883679] L(18, 21): 407 	
[  697.904511] L(14, 12): 374 	
[  697.925325] L( 9, 12): 373 	
[  697.946455] L(13, 12): 379 	
[  697.967288] L(15, 12): 373 	
[  697.988051] L( 8, 12): 372 	
[  698.009297] L(16, 12): 381 	
[  698.029789] L( 6, 12): 367 	
[  698.050673] L(10, 12): 374 	
[  698.071544] L(11, 12): 374 	
[  698.092483] L(17, 12): 375 	
[  698.113831] L(20, 12): 383 	
[  698.135022] L(21, 12): 380 	
[  698.156355] L(12, 12): 383 	
[  698.177497] L(19, 12): 379 	
[  698.198529] L( 7, 12): 377 	
[  698.219751] L(18, 12): 380 	
[  698.242019] L(14,  7): 399 	
[  698.262654] L( 9,  7): 370 	
[  698.283951] L(13,  7): 382 	
[  698.305991] L(15,  7): 395 	
[  698.326600] L( 8,  7): 369 	
[  698.348795] L(16,  7): 398 	
[  698.369100] L( 6,  7): 364 	
[  698.389700] L(10,  7): 369 	
[  698.410342] L(11,  7): 370 	
[  698.432710] L(17,  7): 401 	
[  698.454500] L(20,  7): 391 	
[  698.475751] L(21,  7): 381 	
[  698.496688] L(12,  7): 375 	
[  698.518578] L(19,  7): 393 	
[  698.539232] L( 7,  7): 370 	
[  698.561415] L(18,  7): 398 	
[  698.584901] L(14, 18): 421 	
[  698.606944] L( 9, 18): 395 	
[  698.630167] L(13, 18): 416 	
[  698.654151] L(15, 18): 430 	
[  698.675923] L( 8, 18): 390 	
[  698.698755] L(16, 18): 409 	
[  698.720347] L( 6, 18): 387 	
[  698.742426] L(10, 18): 396 	
[  698.764264] L(11, 18): 392 	
[  698.787809] L(17, 18): 422 	
[  698.810802] L(20, 18): 412 	
[  698.833891] L(21, 18): 414 	
[  698.854914] L(12, 18): 377 	
[  698.878971] L(19, 18): 432 	
[  698.900942] L( 7, 18): 394 	
[  698.924546] L(18, 18): 423 	
[  698.946900] L(14,  9): 401 	
[  698.967507] L( 9,  9): 369 	
[  698.989020] L(13,  9): 385 	
[  699.010889] L(15,  9): 392 	
[  699.031499] L( 8,  9): 370 	
[  699.053835] L(16,  9): 401 	
[  699.074108] L( 6,  9): 363 	
[  699.094728] L(10,  9): 370 	
[  699.115312] L(11,  9): 369 	
[  699.137672] L(17,  9): 401 	
[  699.158773] L(20,  9): 378 	
[  699.180380] L(21,  9): 387 	
[  699.201135] L(12,  9): 372 	
[  699.223540] L(19,  9): 402 	
[  699.244136] L( 7,  9): 369 	
[  699.265954] L(18,  9): 391 	
[  699.289070] L(14, 15): 415 	
[  699.310983] L( 9, 15): 393 	
[  699.333224] L(13, 15): 399 	
[  699.356274] L(15, 15): 413 	
[  699.379164] L( 8, 15): 411 	
[  699.402790] L(16, 15): 424 	
[  699.424539] L( 6, 15): 390 	
[  699.446662] L(10, 15): 397 	
[  699.469029] L(11, 15): 401 	
[  699.492751] L(17, 15): 426 	
[  699.515099] L(20, 15): 401 	
[  699.537435] L(21, 15): 401 	
[  699.558480] L(12, 15): 377 	
[  699.582459] L(19, 15): 430 	
[  699.604587] L( 7, 15): 397 	
[  699.627956] L(18, 15): 419 	
[  699.652057] L(14, 14): 432 	
[  699.674345] L( 9, 14): 400 	
[  699.696479] L(13, 14): 397 	
[  699.719677] L(15, 14): 416 	
[  699.741965] L( 8, 14): 400 	
[  699.766115] L(16, 14): 433 	
[  699.787866] L( 6, 14): 390 	
[  699.810261] L(10, 14): 402 	
[  699.832632] L(11, 14): 401 	
[  699.856501] L(17, 14): 428 	
[  699.878949] L(20, 14): 403 	
[  699.902293] L(21, 14): 419 	
[  699.923052] L(12, 14): 372 	
[  699.946381] L(19, 14): 418 	
[  699.968545] L( 7, 14): 397 	
[  699.993105] L(18, 14): 441 	
[  700.016884] L(14, 19): 426 	
[  700.039401] L( 9, 19): 404 	
[  700.061851] L(13, 19): 403 	
[  700.085739] L(15, 19): 429 	
[  700.108469] L( 8, 19): 408 	
[  700.131877] L(16, 19): 420 	
[  700.153344] L( 6, 19): 385 	
[  700.175367] L(10, 19): 395 	
[  700.197767] L(11, 19): 402 	
[  700.221086] L(17, 19): 418 	
[  700.243718] L(20, 19): 406 	
[  700.267407] L(21, 19): 425 	
[  700.288100] L(12, 19): 371 	
[  700.311561] L(19, 19): 421 	
[  700.333705] L( 7, 19): 397 	
[  700.357122] L(18, 19): 420 	
[  700.379093] L(14, 13): 394 	
[  700.400319] L( 9, 13): 381 	
[  700.422013] L(13, 13): 389 	
[  700.444063] L(15, 13): 395 	
[  700.465351] L( 8, 13): 382 	
[  700.487831] L(16, 13): 403 	
[  700.509079] L( 6, 13): 381 	
[  700.530507] L(10, 13): 384 	
[  700.551556] L(11, 13): 377 	
[  700.574622] L(17, 13): 414 	
[  700.598209] L(20, 13): 423 	
[  700.620755] L(21, 13): 404 	
[  700.641963] L(12, 13): 380 	
[  700.664452] L(19, 13): 403 	
[  700.685402] L( 7, 13): 376 	
[  700.707693] L(18, 13): 400 	
[  700.729325] L(14,  6): 388 	
[  700.749538] L( 9,  6): 362 	
[  700.770796] L(13,  6): 381 	
[  700.792648] L(15,  6): 392 	
[  700.812909] L( 8,  6): 363 	
[  700.834732] L(16,  6): 391 	
